	YuJ_2015__SZAXPI015257-56__bin.48	NielsenHB_2014__MH0088__bin.3	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.12	LiuW_2016__SRR3992985__bin.31	LouisS_2016__AS51_18__bin.6	SchirmerM_2016__G88882__bin.19	LeChatelierE_2013__MH0088__bin.44	LoombaR_2017__SID1052_baz__bin.27	YuJ_2015__SZAXPI017463-36__bin.18	LiuW_2016__SRR3992999__bin.9	LoombaR_2017__SID5631_soh__bin.8	VogtmannE_2016__MMRS24340226ST-27-0-0__bin.31	XieH_2016__YSZC12003_35551__bin.8	XieH_2016__YSZC12003_35704__bin.22	LiJ_2014__V1.CD1-3-PN__bin.53	LoombaR_2017__SID5362_xgk__bin.32	ChengpingW_2017__AS116raw__bin.16	LiJ_2014__V1.FI21__bin.16	LiJ_2014__V1.CD48-0__bin.41	CosteaPI_2017__donald4-11-7-0__bin.26	CosteaPI_2017__SID713A037-11-0-0__bin.26	QinJ_2012__NOM004__bin.11	Obregon-TitoAJ_2015__NO01__bin.17	QinJ_2012__DOM010__bin.30	LiJ_2014__V1.CD32-0__bin.41	YuJ_2015__SZAXPI015237-23__bin.17	ZellerG_2014__CCIS98512455ST-4-0__bin.12	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.49	XieH_2016__YSZC12003_37277__bin.2	VatanenT_2016__G80466__bin.21	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.45	LiJ_2014__V1.CD32-4__bin.69	VogtmannE_2016__MMRS31306426ST-27-0-0__bin.18	VogtmannE_2016__MMRS39415781ST-27-0-0__bin.24	FengQ_2015__SID531775__bin.44
CosteaPI_2017__SID713A037-11-0-0__bin.26	2371095.0	2019175.0	1786671.0	2340159.0	2149148.0	2230542.0	2148557.0	1223406.0	2194052.0	1966505.0	1753345.0	2279817.0	1509506.0	1985624.0	2002683.0	2196985.0	2294992.0	2084972.0	2201952.0	2257470.0	2506888.0	2286861.0	2265487.0	1613444.0	2169858.0	2406930.0	2169576.0	2115106.0	2135513.0	1873374.0	1995187.0	2189652.0	2236762.0	2372281.0	2169808.0
QinJ_2012__NOM004__bin.11	2473402.0	2123023.0	1803637.0	2445638.0	2233558.0	2345522.0	2256412.0	1313628.0	2330772.0	2071580.0	1845894.0	2400653.0	1585002.0	2092436.0	2076651.0	2320455.0	2433643.0	2190848.0	2338266.0	2420878.0	2286861.0	2985732.0	2369489.0	1699113.0	2269547.0	2485652.0	2255336.0	2242256.0	2235352.0	1993018.0	2110240.0	2307969.0	2346582.0	2501604.0	2263590.0
Obregon-TitoAJ_2015__NO01__bin.17	2467740.0	2121366.0	1850010.0	2458880.0	2304622.0	2376320.0	2228848.0	1316222.0	2315923.0	2076733.0	1897376.0	2423044.0	1625659.0	2105425.0	2074632.0	2290999.0	2439988.0	2203685.0	2525147.0	2397118.0	2265487.0	2369489.0	2938313.0	1694793.0	2311722.0	2513840.0	2369495.0	2339891.0	2280467.0	1986741.0	2095299.0	2339027.0	2386642.0	2443282.0	2324162.0
QinJ_2012__DOM010__bin.30	1754945.0	1569027.0	1262158.0	1741434.0	1637278.0	1698313.0	1651275.0	980891.0	1662629.0	1557313.0	1394091.0	1704953.0	1192599.0	1543031.0	1532959.0	1658293.0	1756704.0	1626214.0	1698665.0	1697227.0	1613444.0	1699113.0	1694793.0	1971625.0	1663976.0	1763373.0	1656795.0	1630976.0	1615528.0	1471078.0	1506692.0	1666379.0	1677897.0	1734102.0	1634524.0
LiJ_2014__V1.CD32-0__bin.41	2352706.0	2072955.0	1700194.0	2324471.0	2396794.0	2275032.0	2203430.0	1268159.0	2231244.0	2015106.0	1821528.0	2304893.0	1597698.0	2032563.0	2025070.0	2225680.0	2335005.0	2152172.0	2304694.0	2302701.0	2169858.0	2269547.0	2311722.0	1663976.0	3078916.0	2367924.0	2481412.0	2202720.0	2373526.0	1928549.0	2030216.0	2923946.0	2324182.0	2334552.0	2417882.0
YuJ_2015__SZAXPI015237-23__bin.17	2630635.0	2202859.0	1885661.0	2588749.0	2380817.0	2473642.0	2354054.0	1350946.0	2411479.0	2162880.0	1918473.0	2519072.0	1657267.0	2173247.0	2167443.0	2385622.0	2543427.0	2303331.0	2427469.0	2491829.0	2406930.0	2485652.0	2513840.0	1763373.0	2367924.0	2983932.0	2371022.0	2326830.0	2341126.0	2062646.0	2181524.0	2397086.0	2467249.0	2568579.0	2403936.0
ZellerG_2014__CCIS98512455ST-4-0__bin.12	2355244.0	2087767.0	1736664.0	2333773.0	2402393.0	2284301.0	2199712.0	1260201.0	2194220.0	2043289.0	1847064.0	2297488.0	1598610.0	2016511.0	2028184.0	2190326.0	2302749.0	2127106.0	2344422.0	2282741.0	2169576.0	2255336.0	2369495.0	1656795.0	2481412.0	2371022.0	2872478.0	2222650.0	2363987.0	1927819.0	2012157.0	2506350.0	2284746.0	2324583.0	2396651.0
VogtmannE_2016__MMRS62376181ST-27-0-0__bin.49	2310958.0	2030583.0	1716090.0	2309047.0	2167893.0	2242186.0	2149444.0	1286571.0	2195195.0	2009929.0	1808584.0	2286307.0	1562824.0	2029468.0	2014251.0	2149679.0	2295788.0	2106161.0	2284220.0	2260447.0	2115106.0	2242256.0	2339891.0	1630976.0	2202720.0	2326830.0	2222650.0	2601006.0	2173403.0	1918512.0	2025250.0	2210703.0	2250084.0	2278487.0	2222086.0
XieH_2016__YSZC12003_37277__bin.2	2282873.0	2018212.0	1700654.0	2286836.0	2340086.0	2243536.0	2133549.0	1233128.0	2187851.0	1991020.0	1799658.0	2280314.0	1583761.0	1991552.0	2017982.0	2169131.0	2280707.0	2076719.0	2256728.0	2276896.0	2135513.0	2235352.0	2280467.0	1615528.0	2373526.0	2341126.0	2363987.0	2173403.0	2740860.0	1903396.0	1988669.0	2410209.0	2276489.0	2283700.0	2377160.0
VatanenT_2016__G80466__bin.21	2041613.0	1821462.0	1520457.0	2048247.0	1946881.0	1990184.0	1927296.0	1142028.0	1990414.0	1815211.0	1630583.0	2006694.0	1398811.0	1807588.0	1796569.0	1947214.0	2023543.0	1890538.0	1962943.0	2011724.0	1873374.0	1993018.0	1986741.0	1471078.0	1928549.0	2062646.0	1927819.0	1918512.0	1903396.0	2265643.0	1778844.0	1947208.0	1964394.0	2057566.0	1915870.0
VogtmannE_2016__MMRS42780924ST-27-0-0__bin.45	2141674.0	1916155.0	1575975.0	2154649.0	2016367.0	2083502.0	2009651.0	1196484.0	2036107.0	1879967.0	1686324.0	2136927.0	1456257.0	1877147.0	1882305.0	2040164.0	2141747.0	1966334.0	2053250.0	2122472.0	1995187.0	2110240.0	2095299.0	1506692.0	2030216.0	2181524.0	2012157.0	2025250.0	1988669.0	1778844.0	2576379.0	2033787.0	2054938.0	2119709.0	2026200.0
LiJ_2014__V1.CD32-4__bin.69	2371252.0	2092256.0	1779833.0	2351762.0	2427983.0	2302467.0	2216873.0	1274573.0	2241517.0	2045506.0	1859974.0	2327112.0	1609355.0	2042659.0	2054695.0	2227708.0	2353750.0	2162942.0	2316521.0	2299815.0	2189652.0	2307969.0	2339027.0	1666379.0	2923946.0	2397086.0	2506350.0	2210703.0	2410209.0	1947208.0	2033787.0	3104985.0	2327685.0	2368160.0	2444463.0
VogtmannE_2016__MMRS31306426ST-27-0-0__bin.18	2470457.0	2071034.0	1779236.0	2400336.0	2294406.0	2337864.0	2237967.0	1316169.0	2290932.0	2068238.0	1855520.0	2406567.0	1600932.0	2059561.0	2067401.0	2264320.0	2401614.0	2168996.0	2379405.0	2432503.0	2236762.0	2346582.0	2386642.0	1677897.0	2324182.0	2467249.0	2284746.0	2250084.0	2276489.0	1964394.0	2054938.0	2327685.0	2891977.0	2397558.0	2383621.0
VogtmannE_2016__MMRS39415781ST-27-0-0__bin.24	2565365.0	2165327.0	1848043.0	2512279.0	2318144.0	2412130.0	2317487.0	1334287.0	2435489.0	2104756.0	1868962.0	2445729.0	1626503.0	2141996.0	2127275.0	2426162.0	2505808.0	2238343.0	2380598.0	2449094.0	2372281.0	2501604.0	2443282.0	1734102.0	2334552.0	2568579.0	2324583.0	2278487.0	2283700.0	2057566.0	2119709.0	2368160.0	2397558.0	2946405.0	2332085.0
FengQ_2015__SID531775__bin.44	2356925.0	2055562.0	1739617.0	2352071.0	2403940.0	2283929.0	2174453.0	1266742.0	2223164.0	2037487.0	1819785.0	2338830.0	1593798.0	2011149.0	2058318.0	2197283.0	2316133.0	2118556.0	2259753.0	2333134.0	2169808.0	2263590.0	2324162.0	1634524.0	2417882.0	2403936.0	2396651.0	2222086.0	2377160.0	1915870.0	2026200.0	2444463.0	2383621.0	2332085.0	2883856.0
