	ZeeviD_2015__PNP_Main_747__bin.3	ChengpingW_2017__AS96raw__bin.42	XieH_2016__YSZC12003_37798__bin.66	QinJ_2012__T2D-006__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.56	YuJ_2015__SZAXPI017593-158__bin.52	ChengpingW_2017__AS9raw__bin.36	QinN_2014__HD-40__bin.48	WenC_2017__RA024__bin.5	XieH_2016__YSZC12003_37332__bin.15	HeQ_2017__SZAXPI029584-102__bin.41	QinJ_2012__T2D-001__bin.1	LoombaR_2017__SID5566_wwo__bin.8	ZeeviD_2015__PNP_Main_586__bin.24	QinJ_2012__CON-044__bin.35	ZeeviD_2015__PNP_Main_134__bin.26	ZeeviD_2015__PNP_Main_698__bin.10	ZeeviD_2015__PNP_Validation_13__bin.51	QinN_2014__HD-63__bin.56	ZeeviD_2015__PNP_Main_252__bin.30	ZeeviD_2015__PNP_Main_714__bin.15	WenC_2017__N219__bin.12	ZellerG_2014__CCIS77252613ST-4-0__bin.20	YuJ_2015__SZAXPI003420-4__bin.8	QinJ_2012__CON-025__bin.53	ZeeviD_2015__PNP_Validation_48__bin.5	LiJ_2014__O2.UC13-1__bin.71	ZellerG_2014__CCIS81735969ST-20-0__bin.59	ZellerG_2014__CCIS11019776ST-4-0__bin.15	QinJ_2012__DOM012__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES30__bin.71	QinJ_2012__DLF010__bin.17	YuJ_2015__SZAXPI003411-6__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.66	YuJ_2015__SZAXPI015264-87__bin.52	ZellerG_2014__CCIS76563044ST-4-0__bin.51	ZeeviD_2015__PNP_Main_233__bin.35	QinN_2014__HD-43__bin.50
ZeeviD_2015__PNP_Main_714__bin.15	39525.0	41523.0	45522.0	43709.0	33547.0	31794.0	43703.0	35722.0	47939.0	46029.0	43456.0	42637.0	45873.0	46564.0	41179.0	45269.0	46103.0	45737.0	37811.0	24284.0	0.0	35008.0	44744.0	40781.0	42537.0	46651.0	53612.0	41122.0	36650.0	46938.0	41646.0	47244.0	38159.0	33229.0	33185.0	33788.0	41421.0	41932.0
WenC_2017__N219__bin.12	33221.0	34778.0	38127.0	36148.0	28418.0	27092.0	34154.0	29102.0	39726.0	39589.0	35603.0	33144.0	39002.0	39032.0	35869.0	38060.0	37879.0	39335.0	32537.0	20963.0	35008.0	0.0	35160.0	35509.0	34249.0	39222.0	42471.0	34765.0	30093.0	36459.0	34983.0	35653.0	29739.0	28240.0	27948.0	29735.0	33741.0	35809.0
ZellerG_2014__CCIS77252613ST-4-0__bin.20	42204.0	44215.0	46868.0	43429.0	35943.0	32367.0	33751.0	37452.0	47971.0	46426.0	45820.0	44052.0	46983.0	47499.0	44716.0	47952.0	45598.0	47092.0	40860.0	25740.0	44744.0	35160.0	0.0	44125.0	45107.0	47968.0	48912.0	42827.0	36775.0	44969.0	46414.0	45429.0	37284.0	36033.0	35185.0	35230.0	44516.0	44807.0
YuJ_2015__SZAXPI003420-4__bin.8	40549.0	41282.0	46666.0	43924.0	33039.0	32637.0	43350.0	34464.0	48965.0	45944.0	43345.0	42454.0	46533.0	45945.0	41092.0	46132.0	45912.0	45768.0	37714.0	24878.0	40781.0	35509.0	44125.0	0.0	41940.0	46645.0	54482.0	41804.0	35792.0	46332.0	41781.0	47727.0	38417.0	32276.0	30627.0	34964.0	40115.0	41536.0
QinJ_2012__CON-025__bin.53	41055.0	41904.0	47658.0	45014.0	34241.0	33268.0	44568.0	36698.0	49131.0	47089.0	44443.0	42331.0	47853.0	47208.0	43218.0	47035.0	46769.0	46501.0	38683.0	25300.0	42537.0	34249.0	45107.0	41940.0	0.0	47698.0	54777.0	41692.0	37686.0	47015.0	42615.0	47738.0	39158.0	33505.0	33870.0	35023.0	41319.0	42681.0
ZeeviD_2015__PNP_Validation_48__bin.5	44893.0	48451.0	21155.0	48673.0	38167.0	35319.0	49185.0	39773.0	52617.0	50116.0	52023.0	47403.0	2036.0	49713.0	47342.0	18706.0	19193.0	47900.0	44643.0	3235.0	46651.0	39222.0	47968.0	46645.0	47698.0	0.0	54759.0	43744.0	38599.0	52666.0	48877.0	51691.0	41122.0	37403.0	38121.0	36720.0	47080.0	49056.0
LiJ_2014__O2.UC13-1__bin.71	50552.0	54693.0	52260.0	50650.0	44524.0	36505.0	53940.0	45302.0	55103.0	54579.0	54426.0	51711.0	54874.0	53549.0	54428.0	52652.0	52912.0	54618.0	50008.0	29003.0	53612.0	42471.0	48912.0	54482.0	54777.0	54759.0	0.0	46067.0	39984.0	55212.0	54732.0	55351.0	46776.0	44788.0	45055.0	43455.0	52273.0	54792.0
ZellerG_2014__CCIS81735969ST-20-0__bin.59	40707.0	41407.0	44230.0	42567.0	34168.0	31654.0	43862.0	35819.0	46048.0	43609.0	44507.0	41530.0	43511.0	41643.0	41925.0	44620.0	42446.0	42616.0	38619.0	23818.0	41122.0	34765.0	42827.0	41804.0	41692.0	43744.0	46067.0	0.0	16283.0	45376.0	42952.0	46207.0	38148.0	34204.0	34209.0	34480.0	41412.0	42547.0
ZellerG_2014__CCIS11019776ST-4-0__bin.15	35022.0	37621.0	39804.0	37203.0	29090.0	25752.0	38715.0	32235.0	40107.0	39065.0	38518.0	37981.0	38494.0	37368.0	36341.0	39579.0	38577.0	38128.0	33619.0	18757.0	36650.0	30093.0	36775.0	35792.0	37686.0	38599.0	39984.0	16283.0	0.0	38833.0	37621.0	39275.0	33738.0	30298.0	30921.0	30009.0	36348.0	37334.0
QinJ_2012__DOM012__bin.11	44367.0	47392.0	50272.0	46364.0	38256.0	33834.0	45138.0	39183.0	50277.0	51551.0	48230.0	44470.0	51457.0	51924.0	46294.0	51008.0	50240.0	51452.0	43573.0	27074.0	46938.0	36459.0	44969.0	46332.0	47015.0	52666.0	55212.0	45376.0	38833.0	0.0	48554.0	24741.0	19008.0	37317.0	35109.0	38808.0	46588.0	48285.0
Bengtsson-PalmeJ_2015__TRAVELRES30__bin.71	40410.0	43327.0	47792.0	45501.0	34320.0	34001.0	45369.0	35737.0	50228.0	46821.0	45114.0	43414.0	48265.0	46804.0	43213.0	47126.0	46850.0	46481.0	36682.0	25477.0	41646.0	34983.0	46414.0	41781.0	42615.0	48877.0	54732.0	42952.0	37621.0	48554.0	0.0	48523.0	39050.0	34249.0	33073.0	35343.0	732.0	43588.0
QinJ_2012__DLF010__bin.17	44331.0	48103.0	49738.0	47326.0	38827.0	34290.0	45409.0	40281.0	51217.0	51705.0	47822.0	44261.0	50573.0	51736.0	48185.0	50959.0	49988.0	51523.0	44081.0	26600.0	47244.0	35653.0	45429.0	47727.0	47738.0	51691.0	55351.0	46207.0	39275.0	24741.0	48523.0	0.0	9186.0	38279.0	36902.0	39970.0	46611.0	49132.0
YuJ_2015__SZAXPI003411-6__bin.8	36763.0	38945.0	40487.0	38514.0	32720.0	28105.0	36167.0	31961.0	41415.0	42406.0	39255.0	35871.0	41080.0	42342.0	39853.0	40919.0	40710.0	41836.0	36327.0	22018.0	38159.0	29739.0	37284.0	38417.0	39158.0	41122.0	46776.0	38148.0	33738.0	19008.0	39050.0	9186.0	0.0	31683.0	30074.0	32483.0	37461.0	39648.0
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.66	33021.0	33049.0	37546.0	35027.0	928.0	25850.0	35988.0	27142.0	38277.0	36896.0	34546.0	34215.0	37201.0	36447.0	32390.0	36966.0	36810.0	36700.0	31094.0	20132.0	33229.0	28240.0	36033.0	32276.0	33505.0	37403.0	44788.0	34204.0	30298.0	37317.0	34249.0	38279.0	31683.0	0.0	26284.0	28510.0	32862.0	32846.0
YuJ_2015__SZAXPI015264-87__bin.52	31749.0	33921.0	38488.0	35616.0	27453.0	23841.0	35105.0	32032.0	39751.0	36056.0	35806.0	34261.0	38100.0	37032.0	32815.0	37595.0	37770.0	36856.0	31677.0	19228.0	33185.0	27948.0	35185.0	30627.0	33870.0	38121.0	45055.0	34209.0	30921.0	35109.0	33073.0	36902.0	30074.0	26284.0	0.0	26789.0	31530.0	33200.0
ZellerG_2014__CCIS76563044ST-4-0__bin.51	34189.0	33433.0	35930.0	37200.0	29639.0	27266.0	36237.0	28548.0	38836.0	35547.0	36760.0	35812.0	36065.0	35994.0	34260.0	35549.0	35876.0	35542.0	33019.0	20098.0	33788.0	29735.0	35230.0	34964.0	35023.0	36720.0	43455.0	34480.0	30009.0	38808.0	35343.0	39970.0	32483.0	28510.0	26789.0	0.0	34475.0	35839.0
ZeeviD_2015__PNP_Main_233__bin.35	38756.0	41636.0	45816.0	43881.0	33269.0	32863.0	44102.0	34370.0	48187.0	44885.0	43207.0	41718.0	46533.0	45076.0	41632.0	45439.0	45018.0	44358.0	35665.0	24608.0	41421.0	33741.0	44516.0	40115.0	41319.0	47080.0	52273.0	41412.0	36348.0	46588.0	732.0	46611.0	37461.0	32862.0	31530.0	34475.0	0.0	41876.0
QinN_2014__HD-43__bin.50	41514.0	42131.0	46812.0	44572.0	33137.0	32907.0	45115.0	32957.0	48860.0	45139.0	46769.0	42802.0	47955.0	45456.0	40060.0	47939.0	46182.0	45571.0	37246.0	25510.0	41932.0	35809.0	44807.0	41536.0	42681.0	49056.0	54792.0	42547.0	37334.0	48285.0	43588.0	49132.0	39648.0	32846.0	33200.0	35839.0	41876.0	0.0
