	CosteaPI_2017__thistle4-11-0-0__bin.41	NielsenHB_2014__O2_UC4_0__bin.8	XieH_2016__YSZC12003_36008__bin.105	VogtmannE_2016__MMRS11288076ST-27-0-0__bin.19	CosteaPI_2017__mickey4-11-30-0__bin.26	NielsenHB_2014__MH0100__bin.17	LeChatelierE_2013__MH0155__bin.40	NielsenHB_2014__V1_UC14_0__bin.2	ZeeviD_2015__PNP_Main_199__bin.73	FengQ_2015__SID31188__bin.3	HMP_2012__SRS021948__bin.39	NielsenHB_2014__O2_UC57_2__bin.22	ZeeviD_2015__PNP_Main_645__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.56	ZeeviD_2015__PNP_Main_506__bin.7	LeChatelierE_2013__MH0173__bin.2	CosteaPI_2017__SID713B032-11-0-0__bin.11	NielsenHB_2014__V1_UC1_0__bin.33	CosteaPI_2017__mickey2-11-7-0__bin.55	ZeeviD_2015__PNP_Main_183__bin.2	RaymondF_2016__P25C90__bin.75	YuJ_2015__SZAXPI015269-94__bin.36	NielsenHB_2014__MH0123__bin.27	LeChatelierE_2013__MH0100__bin.1	NielsenHB_2014__MH0173__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.87	XieH_2016__YSZC12003_35564__bin.83	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.19	NielsenHB_2014__O2_UC14_2__bin.16	NielsenHB_2014__MH0155__bin.9	LeChatelierE_2013__MH0123__bin.40	XieH_2016__YSZC12003_37196__bin.9	KarlssonFH_2013__S488__bin.4
NielsenHB_2014__MH0123__bin.27	2735.0	5655.0	6751.0	7965.0	4617.0	6483.0	4619.0	6176.0	6995.0	8861.0	5922.0	6676.0	6374.0	5902.0	4831.0	6198.0	6211.0	5786.0	5738.0	8951.0	9231.0	9816.0	0.0	6723.0	6218.0	6988.0	6200.0	5960.0	6097.0	4795.0	194.0	3703.0	5927.0
LeChatelierE_2013__MH0100__bin.1	7120.0	14088.0	19118.0	21647.0	13699.0	386.0	11291.0	17120.0	18731.0	24787.0	15854.0	16797.0	18796.0	17285.0	14176.0	17709.0	16675.0	14681.0	13706.0	23997.0	26939.0	24467.0	6723.0	0.0	17779.0	15617.0	18304.0	17452.0	17522.0	11444.0	7920.0	18775.0	12784.0
NielsenHB_2014__MH0173__bin.9	5166.0	10815.0	14354.0	20238.0	12136.0	17174.0	9289.0	16210.0	17525.0	24118.0	15845.0	15598.0	15766.0	13798.0	13257.0	133.0	17889.0	10966.0	13213.0	23058.0	24738.0	23811.0	6218.0	17779.0	0.0	14886.0	13840.0	14533.0	12979.0	8987.0	7445.0	16406.0	14234.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.87	6678.0	13644.0	15065.0	13327.0	11765.0	15590.0	10274.0	14896.0	12931.0	16543.0	10006.0	14748.0	14481.0	15061.0	11064.0	14681.0	15531.0	12469.0	12714.0	16117.0	17492.0	14026.0	6988.0	15617.0	14886.0	0.0	14165.0	14820.0	15245.0	10573.0	7920.0	14687.0	14450.0
XieH_2016__YSZC12003_35564__bin.83	3623.0	13058.0	10924.0	20214.0	13525.0	17917.0	9497.0	16682.0	17982.0	23574.0	15798.0	16348.0	16104.0	12989.0	12817.0	13855.0	18067.0	8294.0	13296.0	23579.0	25493.0	24298.0	6200.0	18304.0	13840.0	14165.0	0.0	13257.0	16004.0	9823.0	7480.0	18472.0	14123.0
Bengtsson-PalmeJ_2015__TRAVELRES60__bin.19	4207.0	12839.0	12146.0	19974.0	12401.0	16695.0	8025.0	15566.0	18265.0	24750.0	15719.0	13034.0	15506.0	691.0	13032.0	14164.0	18792.0	11145.0	12828.0	24095.0	26655.0	23984.0	5960.0	17452.0	14533.0	14820.0	13257.0	0.0	15781.0	8139.0	6607.0	16610.0	14495.0
NielsenHB_2014__O2_UC14_2__bin.16	6439.0	2567.0	17165.0	20182.0	11364.0	16646.0	9760.0	15333.0	18034.0	23879.0	14911.0	15592.0	16601.0	15860.0	12412.0	12732.0	17548.0	12800.0	12594.0	23002.0	25021.0	23458.0	6097.0	17522.0	12979.0	15245.0	16004.0	15781.0	0.0	9830.0	7147.0	16249.0	14843.0
NielsenHB_2014__MH0155__bin.9	4254.0	8859.0	9483.0	13444.0	8170.0	11292.0	112.0	10256.0	11782.0	14953.0	10109.0	7744.0	9498.0	8157.0	8847.0	9000.0	11331.0	7728.0	8674.0	14511.0	15741.0	15204.0	4795.0	11444.0	8987.0	10573.0	9823.0	8139.0	9830.0	0.0	5033.0	10277.0	9905.0
LeChatelierE_2013__MH0123__bin.40	3371.0	6551.0	8034.0	9657.0	5278.0	7882.0	4843.0	7156.0	8588.0	10117.0	7306.0	7669.0	7656.0	6460.0	5851.0	7670.0	7958.0	7060.0	6659.0	11014.0	10659.0	11996.0	194.0	7920.0	7445.0	7920.0	7480.0	6607.0	7147.0	5033.0	0.0	4410.0	7724.0
XieH_2016__YSZC12003_37196__bin.9	7233.0	12881.0	18132.0	19223.0	11354.0	18105.0	9980.0	15469.0	18714.0	24425.0	14982.0	16588.0	17138.0	16325.0	11362.0	16784.0	19651.0	14123.0	11814.0	23609.0	25827.0	24232.0	3703.0	18775.0	16406.0	14687.0	18472.0	16610.0	16249.0	10277.0	4410.0	0.0	15373.0
KarlssonFH_2013__S488__bin.4	6283.0	12310.0	14217.0	18174.0	11654.0	13054.0	9806.0	13529.0	17024.0	21419.0	14168.0	14746.0	15285.0	14870.0	11539.0	13916.0	13775.0	12113.0	12319.0	21160.0	22342.0	22310.0	5927.0	12784.0	14234.0	14450.0	14123.0	14495.0	14843.0	9905.0	7724.0	15373.0	0.0
