	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.41	LiuW_2016__SRR3992987__bin.37	BritoIL_2016__M2.46.ST__bin.22	LiJ_2014__MH0374__bin.24	ZeeviD_2015__PNP_Main_666__bin.22	BritoIL_2016__W1.41.ST__bin.20	LiJ_2014__O2.UC29-1__bin.21	BritoIL_2016__WL.43.ST__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.88	NielsenHB_2014__MH0117__bin.12	BritoIL_2016__W1.1.ST__bin.107	LiJ_2017__H2M614904__bin.51	CosteaPI_2017__SID713B063-11-0-0__bin.6	CM_madagascar__A94_03_1FE__bin.52	BritoIL_2016__W2.61.ST__bin.75	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.135	LeChatelierE_2013__MH0453__bin.19	ZeeviD_2015__PNP_Validation_66__bin.52	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.91	ZeeviD_2015__PNP_Validation_42__bin.79	CosteaPI_2017__SID713B040-11-90-0__bin.102	LeChatelierE_2013__MH0117__bin.8	XieH_2016__YSZC12003_35561__bin.73	LiJ_2014__MH0252__bin.98	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.105	XieH_2016__YSZC12003_37101__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.102	LeChatelierE_2013__MH0437__bin.41	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.18	CosteaPI_2017__SID713A028-11-0-0__bin.81	LiJ_2014__V1.CD6-0-PT__bin.11	BritoIL_2016__W1.2.ST__bin.59	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.5	LeChatelierE_2013__MH0448__bin.59	LeChatelierE_2013__MH0415__bin.94	XieH_2016__YSZC12003_37394__bin.51	BritoIL_2016__W1.5.ST__bin.20	LiuW_2016__SRR3993044__bin.27	XieH_2016__YSZC12003_37228__bin.62	ZeeviD_2015__PNP_Main_474__bin.41	XieH_2016__YSZC12003_36058__bin.52	XieH_2016__YSZC12003_37182R1__bin.71	LiJ_2017__H2M513938__bin.8	LiuW_2016__SRR3993055__bin.107	LiJ_2017__H3M517925__bin.78	BritoIL_2016__M2.49.ST__bin.104
Bengtsson-PalmeJ_2015__TRAVELRES49__bin.105	4903.0	5363.0	5633.0	4723.0	5637.0	3592.0	4249.0	2871.0	5369.0	4095.0	6084.0	5808.0	3629.0	4385.0	5883.0	622.0	3902.0	17800.0	5294.0	3043.0	4603.0	4913.0	5790.0	6207.0	0.0	4383.0	3680.0	16012.0	5166.0	5320.0	6084.0	5098.0	4207.0	4595.0	5768.0	3867.0	3948.0	3449.0	5667.0	2882.0	6070.0	5157.0	3422.0	6483.0	5143.0	4686.0
XieH_2016__YSZC12003_37101__bin.40	8026.0	8626.0	9042.0	5964.0	9113.0	5620.0	6654.0	4499.0	8582.0	6270.0	9495.0	9066.0	5919.0	6874.0	9224.0	7096.0	6511.0	27500.0	9245.0	2882.0	7680.0	7593.0	9021.0	9481.0	4383.0	0.0	5665.0	25315.0	8171.0	7874.0	9582.0	7807.0	7688.0	7375.0	9555.0	6513.0	6044.0	5565.0	8634.0	4578.0	9435.0	8077.0	5500.0	10006.0	8180.0	7155.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.102	443.0	5180.0	5400.0	6520.0	5602.0	2186.0	5504.0	2762.0	5291.0	4153.0	5611.0	5295.0	4013.0	4618.0	5590.0	5759.0	5546.0	22148.0	6209.0	3874.0	3116.0	4725.0	5494.0	6197.0	3680.0	5665.0	0.0	19941.0	4881.0	4081.0	6209.0	4956.0	5798.0	5664.0	5919.0	5382.0	3671.0	3387.0	5620.0	4033.0	5981.0	5372.0	3522.0	6390.0	5214.0	4477.0
LeChatelierE_2013__MH0437__bin.41	27394.0	23431.0	26818.0	27523.0	24326.0	18169.0	20362.0	14161.0	24399.0	16142.0	25713.0	25874.0	15870.0	17142.0	26639.0	27690.0	20378.0	23970.0	26976.0	17824.0	26871.0	20083.0	27372.0	24547.0	16012.0	25315.0	19941.0	0.0	25020.0	24362.0	24913.0	21849.0	28328.0	23679.0	27782.0	27528.0	16157.0	12995.0	22419.0	15940.0	27631.0	22729.0	15766.0	24229.0	24692.0	19999.0
FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.18	6890.0	5359.0	4260.0	8491.0	6352.0	4749.0	6781.0	2140.0	5915.0	4658.0	6404.0	5789.0	5863.0	5129.0	6098.0	8753.0	7331.0	27642.0	8195.0	5150.0	6712.0	5096.0	5617.0	7285.0	5166.0	8171.0	4881.0	25020.0	0.0	6937.0	7055.0	5218.0	8318.0	7575.0	4406.0	7955.0	4133.0	3886.0	5382.0	5124.0	7029.0	4605.0	2507.0	7624.0	5038.0	5065.0
CosteaPI_2017__SID713A028-11-0-0__bin.81	5614.0	7298.0	7806.0	8636.0	7946.0	2683.0	6936.0	3863.0	7221.0	5441.0	8016.0	7564.0	5529.0	5947.0	7692.0	8276.0	7083.0	26195.0	8341.0	5351.0	5067.0	6399.0	7818.0	8262.0	5320.0	7874.0	4081.0	24362.0	6937.0	0.0	8058.0	6551.0	8181.0	7471.0	7841.0	7833.0	5556.0	4726.0	7217.0	5127.0	7772.0	7380.0	4817.0	8422.0	7053.0	5903.0
LiJ_2014__V1.CD6-0-PT__bin.11	9110.0	7397.0	7885.0	10536.0	7240.0	5588.0	7974.0	3931.0	8032.0	5214.0	8614.0	7553.0	6586.0	5474.0	7390.0	10593.0	8170.0	27977.0	10356.0	6570.0	8982.0	6149.0	7617.0	7615.0	6084.0	9582.0	6209.0	24913.0	7055.0	8058.0	0.0	5651.0	10781.0	9038.0	8833.0	10642.0	4276.0	4429.0	7564.0	5994.0	3552.0	7337.0	4845.0	8218.0	6696.0	5219.0
BritoIL_2016__W1.2.ST__bin.59	7088.0	5074.0	5002.0	8313.0	5011.0	4638.0	6500.0	2691.0	4598.0	3997.0	4985.0	4994.0	5378.0	3794.0	339.0	8452.0	7373.0	25590.0	7592.0	5361.0	6891.0	4722.0	4856.0	5673.0	5098.0	7807.0	4956.0	21849.0	5218.0	6551.0	5651.0	0.0	8436.0	7662.0	5750.0	8101.0	3148.0	2827.0	5632.0	4846.0	5430.0	5162.0	3334.0	6042.0	4987.0	720.0
Bengtsson-PalmeJ_2015__TRAVELRES63__bin.5	8441.0	8600.0	9544.0	8073.0	9819.0	5565.0	5582.0	4841.0	9776.0	6676.0	10470.0	9915.0	6061.0	7559.0	10384.0	6506.0	2690.0	29156.0	10192.0	4950.0	7410.0	7855.0	9924.0	10185.0	4207.0	7688.0	5798.0	28328.0	8318.0	8181.0	10781.0	8436.0	0.0	7510.0	10266.0	6812.0	6309.0	5669.0	9017.0	4128.0	10864.0	8654.0	5627.0	10848.0	8682.0	7927.0
LeChatelierE_2013__MH0448__bin.59	7606.0	8034.0	8279.0	8324.0	8681.0	5234.0	6601.0	4286.0	8245.0	5926.0	9090.0	8200.0	5520.0	6330.0	8858.0	7340.0	6801.0	24889.0	8360.0	5094.0	7058.0	7149.0	8418.0	9136.0	4595.0	7375.0	5664.0	23679.0	7575.0	7471.0	9038.0	7662.0	7510.0	0.0	9020.0	7324.0	5601.0	5168.0	8192.0	4574.0	9142.0	7858.0	5386.0	9364.0	7909.0	7157.0
