	QinJ_2012__T2D-001__bin.17	VogtmannE_2016__MMRS92546335ST-27-0-0__bin.22	HMP_2012__SRS019601__bin.44	HMP_2012__SRS056259__bin.23	IjazUZ_2017__S48_a_WGS__bin.4	GeversD_2014__SKBSTL041__bin.6	IjazUZ_2017__S53_a_WGS__bin.7	SchirmerM_2016__G89004__bin.12	IjazUZ_2017__S15_a_WGS__bin.6	Obregon-TitoAJ_2015__NO11__bin.6	HeQ_2017__SZAXPI029473-40__bin.30	IjazUZ_2017__S16_a_WGS__bin.8	LiJ_2014__V1.CD2-0-PN__bin.3	XieH_2016__YSZC12003_37179__bin.52	BackhedF_2015__SID637_12M__bin.22	FengQ_2015__SID31137__bin.39	VatanenT_2016__G80291__bin.7	IjazUZ_2017__S57_a_WGS__bin.4	IjazUZ_2017__S54_a_WGS__bin.1	XieH_2016__YSZC12003_37297R1__bin.7	IjazUZ_2017__S56_a_WGS__bin.17	VogtmannE_2016__MMRS14602194ST-27-0-0__bin.25	Obregon-TitoAJ_2015__NO21__bin.9	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.58	GeversD_2014__SKBSTL016__bin.38	VogtmannE_2016__MMRS39415781ST-27-0-0__bin.25	LiJ_2014__MH0336__bin.26	IjazUZ_2017__S52_a_WGS__bin.9	CosteaPI_2017__pluto3-11-30-0__bin.40	VogtmannE_2016__MMRS65945127ST-27-0-0__bin.30	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.65	FengQ_2015__SID31450__bin.30	FengQ_2015__SID31416__bin.3	RaymondF_2016__P21E90__bin.79	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.30	LoombaR_2017__SID5639_uuc__bin.32	SchirmerM_2016__G89058__bin.13	LiJ_2014__O2.UC7-0__bin.29	VogtmannE_2016__MMRS47685461ST-27-0-0__bin.37	NielsenHB_2014__V1_UC11_5__bin.22	HMP_2012__SRS017521__bin.65	IjazUZ_2017__S14_a_WGS__bin.1
GeversD_2014__SKBSTL016__bin.38	19833.0	34131.0	362.0	3270.0	33792.0	364.0	31515.0	21706.0	853.0	736.0	5184.0	847.0	33393.0	37415.0	11149.0	2217.0	22047.0	32298.0	34008.0	2908.0	37177.0	10547.0	6051.0	30059.0	0.0	18100.0	25853.0	34600.0	12519.0	24728.0	2150.0	1642.0	25322.0	694.0	12892.0	33431.0	504.0	37701.0	346.0	26454.0	609.0	790.0
VogtmannE_2016__MMRS39415781ST-27-0-0__bin.25	14119.0	23201.0	16787.0	13280.0	23739.0	11035.0	21532.0	15710.0	16407.0	17164.0	16416.0	18112.0	23004.0	26844.0	11732.0	18256.0	15448.0	23823.0	23006.0	14709.0	27423.0	12127.0	8811.0	21284.0	18100.0	0.0	17327.0	23465.0	15588.0	17677.0	16536.0	18142.0	15529.0	9712.0	9567.0	24255.0	17953.0	27026.0	18352.0	19796.0	16516.0	17933.0
LiJ_2014__MH0336__bin.26	19347.0	26757.0	24519.0	18660.0	26560.0	16706.0	25006.0	17766.0	23478.0	24200.0	23173.0	25990.0	26454.0	27498.0	16463.0	25129.0	17464.0	25039.0	26372.0	19973.0	28416.0	16990.0	12528.0	24494.0	25853.0	17327.0	0.0	26713.0	22817.0	16082.0	23174.0	26037.0	19093.0	13990.0	8489.0	25636.0	25458.0	27358.0	25643.0	20881.0	24004.0	25738.0
IjazUZ_2017__S52_a_WGS__bin.9	18707.0	972.0	31804.0	20309.0	766.0	21121.0	316.0	446.0	31206.0	31614.0	31137.0	34809.0	1101.0	30162.0	18699.0	31830.0	1212.0	25929.0	324.0	25626.0	29397.0	22729.0	14608.0	1143.0	34600.0	23465.0	26713.0	0.0	31047.0	21319.0	28656.0	33903.0	30431.0	18090.0	13411.0	25521.0	33256.0	28604.0	34049.0	21346.0	30427.0	34660.0
CosteaPI_2017__pluto3-11-30-0__bin.40	16968.0	31329.0	11039.0	10293.0	31099.0	8021.0	28571.0	19876.0	10991.0	11427.0	13142.0	12367.0	30880.0	33627.0	4631.0	12616.0	19530.0	29134.0	30352.0	11027.0	34022.0	1697.0	4920.0	27631.0	12519.0	15588.0	22817.0	31047.0	0.0	21100.0	11545.0	12439.0	22014.0	7465.0	12337.0	29665.0	12160.0	32781.0	12477.0	23826.0	11074.0	12209.0
VogtmannE_2016__MMRS65945127ST-27-0-0__bin.30	18602.0	20958.0	22909.0	17460.0	21093.0	15352.0	20337.0	14538.0	21866.0	23217.0	22642.0	24667.0	21224.0	24530.0	15242.0	23367.0	13960.0	21882.0	21273.0	18142.0	25114.0	16116.0	12341.0	18965.0	24728.0	17677.0	16082.0	21319.0	21100.0	0.0	21488.0	23989.0	18356.0	13646.0	856.0	21986.0	24004.0	24577.0	24401.0	18070.0	22660.0	24763.0
VogtmannE_2016__MMRS72980899ST-27-0-0__bin.65	17849.0	29157.0	2107.0	3904.0	28953.0	1330.0	26934.0	19235.0	1862.0	2095.0	5233.0	2143.0	28836.0	30979.0	10201.0	2779.0	19659.0	27389.0	28442.0	3667.0	31070.0	9860.0	6054.0	26139.0	2150.0	16536.0	23174.0	28656.0	11545.0	21488.0	0.0	2252.0	22858.0	1261.0	10723.0	28079.0	2014.0	30216.0	2151.0	23165.0	2015.0	2123.0
FengQ_2015__SID31450__bin.30	19695.0	34020.0	686.0	3281.0	33006.0	397.0	30845.0	21199.0	1008.0	945.0	4656.0	1025.0	33140.0	36264.0	10844.0	1941.0	21609.0	31911.0	33329.0	2922.0	36722.0	10430.0	6014.0	29440.0	1642.0	18142.0	26037.0	33903.0	12439.0	23989.0	2252.0	0.0	25525.0	631.0	12712.0	33332.0	532.0	37148.0	679.0	26249.0	719.0	1107.0
FengQ_2015__SID31416__bin.3	20669.0	29521.0	23489.0	18082.0	29230.0	16153.0	28293.0	18938.0	23314.0	23831.0	23305.0	25778.0	29168.0	32018.0	16213.0	24922.0	18991.0	27457.0	29551.0	19814.0	31639.0	15909.0	11964.0	25799.0	25322.0	15529.0	19093.0	30431.0	22014.0	18356.0	22858.0	25525.0	0.0	13559.0	10337.0	27797.0	24861.0	30447.0	24984.0	21839.0	23057.0	25783.0
RaymondF_2016__P21E90__bin.79	11072.0	18121.0	719.0	1520.0	18002.0	493.0	17542.0	12666.0	614.0	616.0	2636.0	699.0	17653.0	19433.0	6782.0	1297.0	13215.0	17646.0	17767.0	1988.0	19661.0	6263.0	4075.0	16517.0	694.0	9712.0	13990.0	18090.0	7465.0	13646.0	1261.0	631.0	13559.0	0.0	5903.0	17950.0	721.0	19729.0	668.0	15718.0	899.0	724.0
VogtmannE_2016__MMRS68910755ST-27-0-0__bin.30	8885.0	14430.0	12801.0	7893.0	13007.0	6569.0	12152.0	8103.0	11576.0	11898.0	12777.0	12904.0	14260.0	14745.0	8063.0	11676.0	8113.0	11679.0	13785.0	9159.0	14802.0	8602.0	5932.0	11530.0	12892.0	9567.0	8489.0	13411.0	12337.0	856.0	10723.0	12712.0	10337.0	5903.0	0.0	12560.0	12320.0	14043.0	12984.0	9063.0	11413.0	12814.0
LoombaR_2017__SID5639_uuc__bin.32	22841.0	25627.0	31283.0	21975.0	25204.0	21764.0	23760.0	16759.0	29418.0	30846.0	29397.0	33110.0	25553.0	4730.0	20401.0	31347.0	16438.0	240.0	25168.0	25566.0	335.0	22133.0	16128.0	23283.0	33431.0	24255.0	25636.0	25521.0	29665.0	21986.0	28079.0	33332.0	27797.0	17950.0	12560.0	0.0	32141.0	1450.0	32914.0	3092.0	30879.0	32915.0
SchirmerM_2016__G89058__bin.13	19334.0	33139.0	339.0	3188.0	32612.0	284.0	30088.0	21490.0	895.0	575.0	4389.0	955.0	32315.0	36000.0	10964.0	1505.0	21621.0	31448.0	32704.0	2717.0	36114.0	10172.0	5916.0	29443.0	504.0	17953.0	25458.0	33256.0	12160.0	24004.0	2014.0	532.0	24861.0	721.0	12320.0	32141.0	0.0	35570.0	465.0	25541.0	511.0	780.0
LiJ_2014__O2.UC7-0__bin.29	25193.0	27911.0	34174.0	23896.0	27715.0	23430.0	26034.0	18340.0	32946.0	34199.0	32119.0	36971.0	28104.0	5984.0	22459.0	34181.0	17478.0	1237.0	27746.0	27578.0	1493.0	24655.0	17605.0	24914.0	37701.0	27026.0	27358.0	28604.0	32781.0	24577.0	30216.0	37148.0	30447.0	19729.0	14043.0	1450.0	35570.0	0.0	35768.0	3286.0	33797.0	36902.0
VogtmannE_2016__MMRS47685461ST-27-0-0__bin.37	19528.0	34170.0	444.0	3063.0	33918.0	335.0	31110.0	21442.0	392.0	453.0	5064.0	339.0	33287.0	38059.0	10868.0	2009.0	21933.0	32031.0	33322.0	2823.0	37176.0	10232.0	5884.0	30191.0	346.0	18352.0	25643.0	34049.0	12477.0	24401.0	2151.0	679.0	24984.0	668.0	12984.0	32914.0	465.0	35768.0	0.0	26389.0	620.0	366.0
NielsenHB_2014__V1_UC11_5__bin.22	18604.0	20924.0	25115.0	18360.0	20994.0	18092.0	19961.0	14858.0	23791.0	24883.0	23665.0	26606.0	20588.0	5976.0	16699.0	25184.0	13595.0	2915.0	20441.0	20374.0	3276.0	17957.0	13362.0	18826.0	26454.0	19796.0	20881.0	21346.0	23826.0	18070.0	23165.0	26249.0	21839.0	15718.0	9063.0	3092.0	25541.0	3286.0	26389.0	0.0	24388.0	26414.0
HMP_2012__SRS017521__bin.65	18766.0	30624.0	679.0	3255.0	29939.0	477.0	28403.0	19948.0	507.0	677.0	4473.0	655.0	30045.0	33382.0	10470.0	1608.0	20011.0	29699.0	30159.0	2740.0	33518.0	9481.0	5945.0	28556.0	609.0	16516.0	24004.0	30427.0	11074.0	22660.0	2015.0	719.0	23057.0	899.0	11413.0	30879.0	511.0	33797.0	620.0	24388.0	0.0	468.0
IjazUZ_2017__S14_a_WGS__bin.1	19586.0	34229.0	406.0	3141.0	33960.0	368.0	31718.0	21600.0	265.0	413.0	4635.0	230.0	33390.0	37391.0	11129.0	1941.0	21870.0	32241.0	34113.0	2850.0	36979.0	10393.0	5933.0	30040.0	790.0	17933.0	25738.0	34660.0	12209.0	24763.0	2123.0	1107.0	25783.0	724.0	12814.0	32915.0	780.0	36902.0	366.0	26414.0	468.0	0.0
