	Bengtsson-PalmeJ_2015__TRAVELRES38__bin.55	LiJ_2017__nHM612836__bin.3	LiJ_2014__V1.FI20__bin.60	FerrettiP_2018__CA_C10055MS2958FE_t0M16__bin.33	QinN_2014__LD-11__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES32__bin.14	LiJ_2014__O2.UC32-1__bin.49	WenC_2017__RA070__bin.15	LiJ_2017__H1M512854__bin.8	WenC_2017__N310__bin.77	QinN_2014__HD-6__bin.17	WenC_2017__RA040__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.82	LiJ_2017__nHM511615__bin.9	LiJ_2014__MH0327__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.8	LiJ_2017__nHF512818__bin.30	LiJ_2017__H1M412743__bin.8	LiJ_2017__nHM512834__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES31__bin.89	LouisS_2016__AS53_12__bin.8	ChengpingW_2017__AS71raw__bin.15	RaymondF_2016__P15E90__bin.53	ZeeviD_2015__PNP_Main_716__bin.31	QinJ_2012__T2D-048__bin.26	LiuW_2016__SRR3993026__bin.33	WenC_2017__RA051__bin.40	LiJ_2017__H2F514923__bin.31	ChengpingW_2017__AS42raw__bin.92	WenC_2017__N274__bin.13	ChengpingW_2017__AS68raw__bin.70	LiJ_2017__H2M411920__bin.37	WenC_2017__RA070__bin.9
LouisS_2016__AS53_12__bin.8	10741.0	14710.0	14980.0	9514.0	15109.0	14688.0	9636.0	5533.0	11991.0	14017.0	13587.0	11467.0	15348.0	15035.0	14474.0	15341.0	11480.0	14094.0	11377.0	13693.0	0.0	15833.0	15319.0	12041.0	13962.0	11704.0	13753.0	13777.0	14302.0	14785.0	13544.0	12839.0	9208.0
ChengpingW_2017__AS71raw__bin.15	15038.0	20617.0	22106.0	14816.0	20409.0	25516.0	17093.0	5561.0	16005.0	18877.0	18389.0	15836.0	21613.0	20992.0	20716.0	21836.0	13031.0	19275.0	14118.0	20835.0	15833.0	0.0	24866.0	21663.0	19282.0	15168.0	12722.0	16143.0	20503.0	20817.0	20146.0	17248.0	7466.0
RaymondF_2016__P15E90__bin.53	15087.0	20176.0	21598.0	14455.0	19861.0	22828.0	14956.0	9625.0	16180.0	19972.0	17827.0	16737.0	21212.0	20753.0	20394.0	21850.0	15619.0	19546.0	15757.0	18953.0	15319.0	24866.0	0.0	20077.0	20201.0	15393.0	20382.0	18715.0	18921.0	22064.0	18627.0	16899.0	12577.0
ZeeviD_2015__PNP_Main_716__bin.31	9152.0	19645.0	18889.0	7123.0	18549.0	19568.0	14523.0	7782.0	14717.0	16971.0	16113.0	15813.0	18537.0	18210.0	17371.0	18987.0	13459.0	16715.0	13420.0	16566.0	12041.0	21663.0	20077.0	0.0	17538.0	15086.0	17198.0	16929.0	17689.0	19319.0	17394.0	14812.0	11149.0
QinJ_2012__T2D-048__bin.26	14658.0	17157.0	19430.0	13893.0	16060.0	20758.0	13062.0	8661.0	13535.0	17527.0	13284.0	13275.0	17547.0	17404.0	17889.0	20217.0	12301.0	16231.0	11618.0	17674.0	13962.0	19282.0	20201.0	17538.0	0.0	11243.0	16119.0	15621.0	17539.0	18168.0	16623.0	14769.0	11713.0
LiuW_2016__SRR3993026__bin.33	11254.0	15103.0	15113.0	11201.0	6934.0	15149.0	9272.0	5780.0	11844.0	13384.0	7145.0	11974.0	14264.0	13038.0	15020.0	16384.0	11356.0	14614.0	7917.0	13539.0	11704.0	15168.0	15393.0	15086.0	11243.0	0.0	13613.0	12811.0	13184.0	14457.0	13889.0	13460.0	8283.0
WenC_2017__RA051__bin.40	13159.0	18386.0	18528.0	13049.0	16608.0	20145.0	12146.0	3560.0	13908.0	16591.0	15200.0	14848.0	17166.0	17240.0	17509.0	19570.0	11624.0	16530.0	12841.0	17419.0	13753.0	12722.0	20382.0	17198.0	16119.0	13613.0	0.0	14787.0	15394.0	17391.0	16274.0	14806.0	4823.0
LiJ_2017__H2F514923__bin.31	13467.0	17591.0	18503.0	12981.0	15773.0	19712.0	11325.0	5626.0	13402.0	13382.0	14581.0	14109.0	16484.0	17050.0	16516.0	19095.0	611.0	16167.0	12724.0	16722.0	13777.0	16143.0	18715.0	16929.0	15621.0	12811.0	14787.0	0.0	16243.0	7367.0	15190.0	14058.0	9057.0
ChengpingW_2017__AS42raw__bin.92	14169.0	17189.0	19053.0	12757.0	18566.0	21740.0	14109.0	9460.0	13287.0	16953.0	16026.0	13319.0	18584.0	17605.0	18317.0	20644.0	12224.0	15293.0	13780.0	17205.0	14302.0	20503.0	18921.0	17689.0	17539.0	13184.0	15394.0	16243.0	0.0	18594.0	15781.0	14014.0	10547.0
WenC_2017__N274__bin.13	15007.0	19332.0	20931.0	15549.0	19514.0	22959.0	15318.0	9153.0	14898.0	15295.0	16394.0	17163.0	18640.0	18297.0	18196.0	21347.0	5864.0	17616.0	14641.0	18688.0	14785.0	20817.0	22064.0	19319.0	18168.0	14457.0	17391.0	7367.0	18594.0	0.0	18638.0	16253.0	10778.0
ChengpingW_2017__AS68raw__bin.70	13679.0	17753.0	17519.0	13868.0	18108.0	18980.0	12783.0	7263.0	14433.0	17258.0	16076.0	14380.0	17901.0	16340.0	18255.0	19594.0	12033.0	16790.0	13362.0	17410.0	13544.0	20146.0	18627.0	17394.0	16623.0	13889.0	16274.0	15190.0	15781.0	18638.0	0.0	15593.0	11117.0
LiJ_2017__H2M411920__bin.37	12709.0	8895.0	16645.0	11680.0	15531.0	16578.0	10177.0	5584.0	6840.0	10172.0	13187.0	11577.0	14979.0	14317.0	15734.0	17095.0	11428.0	15263.0	11990.0	15187.0	12839.0	17248.0	16899.0	14812.0	14769.0	13460.0	14806.0	14058.0	14014.0	16253.0	15593.0	0.0	10266.0
WenC_2017__RA070__bin.9	9124.0	11585.0	12436.0	8577.0	11936.0	12764.0	7132.0	1019.0	9327.0	11021.0	10007.0	8567.0	11997.0	11627.0	11536.0	13442.0	7371.0	10760.0	7740.0	12020.0	9208.0	7466.0	12577.0	11149.0	11713.0	8283.0	4823.0	9057.0	10547.0	10778.0	11117.0	10266.0	0.0
