	BritoIL_2016__M1.57.ST__bin.49	CosteaPI_2017__SID713B002-11-90-0__bin.69	ZeeviD_2015__PNP_Main_415__bin.61	CosteaPI_2017__SID713A066-11-90-0__bin.37	CosteaPI_2017__SID713A078-11-0-0__bin.28	CosteaPI_2017__SID713B065-11-0-0__bin.55	CosteaPI_2017__SID713A066-11-0-0__bin.48	CM_madagascar__A46_01_1FE__bin.15	ZeeviD_2015__PNP_Main_51__bin.51	CosteaPI_2017__SID713B032-11-0-0__bin.37	Obregon-TitoAJ_2015__SM30__bin.13	CM_madagascar__A81_01_1FE__bin.24	CosteaPI_2017__SID713B042-11-0-0__bin.44	ZeeviD_2015__PNP_Main_587__bin.27	LiuW_2016__SRR3992983__bin.11	CosteaPI_2017__SID713A078-11-90-0__bin.4	CosteaPI_2017__SID713A073-11-90-0__bin.42	ZellerG_2014__CCIS74726977ST-3-0__bin.59	LiuW_2016__SRR3993058__bin.63	CosteaPI_2017__SID713A049-11-90-0__bin.34	CosteaPI_2017__SID713A073-11-0-0__bin.42	CosteaPI_2017__SID713B043-11-0-0__bin.37	ZeeviD_2015__PNP_Main_73__bin.17	HMP_2012__SRS017307__bin.40	CosteaPI_2017__SID713B042-11-90-0__bin.30	CosteaPI_2017__SID713B046-11-0-0__bin.20	CosteaPI_2017__SID713B037-11-90-0__bin.28	CM_madagascar__A62_01_1FE__bin.52	CosteaPI_2017__SID713B046-11-90-0__bin.62	LiuW_2016__SRR3993059__bin.71	RampelliS_2015__H9__bin.15	ZeeviD_2015__PNP_Main_293__bin.8	BritoIL_2016__M1.65.ST__bin.15	RampelliS_2015__H6__bin.15	ZeeviD_2015__PNP_Main_374__bin.24	CosteaPI_2017__SID713B032-11-90-0__bin.28	SchirmerM_2016__G88821__bin.15	HMP_2012__SRS049959__bin.25	CosteaPI_2017__SID713B065-11-90-0__bin.33	CosteaPI_2017__SID713B043-11-90-0__bin.27	CosteaPI_2017__SID713A049-11-0-0__bin.64
CosteaPI_2017__SID713B043-11-0-0__bin.37	29154.0	9123.0	31287.0	18510.0	29334.0	26464.0	22142.0	32349.0	29136.0	13613.0	31753.0	31708.0	971.0	26435.0	20481.0	30439.0	12975.0	30859.0	26968.0	9611.0	12498.0	0.0	28570.0	30631.0	1350.0	29370.0	28300.0	23809.0	28309.0	30138.0	53985.0	31328.0	29553.0	36405.0	30337.0	13484.0	23125.0	30255.0	23437.0	869.0	10695.0
ZeeviD_2015__PNP_Main_73__bin.17	29877.0	20824.0	31681.0	25696.0	27728.0	29728.0	34015.0	32703.0	14853.0	32998.0	31413.0	32007.0	32538.0	26654.0	20698.0	30768.0	32400.0	32800.0	28716.0	31207.0	31334.0	28570.0	0.0	34033.0	32577.0	33483.0	32629.0	24620.0	32179.0	32833.0	54370.0	33296.0	31320.0	35977.0	11918.0	32079.0	24192.0	33428.0	24416.0	32341.0	32470.0
HMP_2012__SRS017307__bin.40	32855.0	22907.0	36769.0	28706.0	30159.0	33657.0	38006.0	37698.0	34974.0	37515.0	35759.0	35874.0	37479.0	27130.0	21483.0	34597.0	35126.0	38962.0	31113.0	35511.0	33744.0	30631.0	34033.0	0.0	36997.0	36076.0	34855.0	27099.0	34999.0	34572.0	57861.0	20473.0	35571.0	38274.0	37534.0	37595.0	20494.0	26693.0	26800.0	37150.0	36928.0
CosteaPI_2017__SID713B042-11-90-0__bin.30	34306.0	10278.0	37302.0	20682.0	31899.0	29815.0	26151.0	37017.0	34331.0	16509.0	35912.0	36517.0	606.0	29002.0	21588.0	34901.0	15208.0	37010.0	29702.0	10963.0	13767.0	1350.0	32577.0	36997.0	0.0	34341.0	33319.0	25985.0	33539.0	35018.0	60784.0	38106.0	35520.0	40726.0	36041.0	16628.0	25606.0	36586.0	24809.0	1183.0	12619.0
CosteaPI_2017__SID713B046-11-0-0__bin.20	33819.0	22536.0	35718.0	30035.0	30454.0	29753.0	37963.0	37107.0	35938.0	35831.0	36259.0	37263.0	35862.0	27755.0	22265.0	34188.0	33141.0	37886.0	30980.0	32448.0	31363.0	29370.0	33483.0	36076.0	34341.0	0.0	10117.0	25957.0	644.0	34968.0	58805.0	37612.0	35613.0	40617.0	38371.0	35629.0	25477.0	35209.0	24547.0	35682.0	34512.0
CosteaPI_2017__SID713B037-11-90-0__bin.28	33502.0	22123.0	36062.0	28478.0	29722.0	28982.0	36675.0	35346.0	34175.0	33886.0	34535.0	35804.0	34504.0	27522.0	21144.0	31712.0	32634.0	35093.0	29644.0	32429.0	31031.0	28300.0	32629.0	34855.0	33319.0	10117.0	0.0	25642.0	8495.0	34018.0	57469.0	36706.0	35175.0	38591.0	36918.0	33774.0	24504.0	34042.0	24170.0	34262.0	34910.0
CM_madagascar__A62_01_1FE__bin.52	23566.0	19313.0	25877.0	21528.0	24104.0	26250.0	26326.0	24817.0	24512.0	26648.0	26043.0	26541.0	25932.0	22659.0	19013.0	25543.0	25787.0	26093.0	24501.0	24778.0	25316.0	23809.0	24620.0	27099.0	25985.0	25957.0	25642.0	0.0	25813.0	27046.0	43093.0	26924.0	24729.0	29004.0	25450.0	26717.0	21657.0	27198.0	23035.0	25756.0	25705.0
CosteaPI_2017__SID713B046-11-90-0__bin.62	32818.0	21814.0	34184.0	28441.0	29422.0	29737.0	36507.0	35787.0	34225.0	34503.0	35327.0	36806.0	33527.0	27698.0	21584.0	32272.0	31521.0	36172.0	30081.0	31571.0	30439.0	28309.0	32179.0	34999.0	33539.0	644.0	8495.0	25813.0	0.0	34303.0	57232.0	35007.0	34012.0	39674.0	35537.0	33656.0	25019.0	34606.0	24173.0	33467.0	33113.0
LiuW_2016__SRR3993059__bin.71	31374.0	22287.0	34494.0	26431.0	30017.0	31505.0	34670.0	34308.0	34608.0	34683.0	33410.0	34947.0	34606.0	13605.0	699.0	32177.0	32362.0	35184.0	643.0	32078.0	32633.0	30138.0	32833.0	34572.0	35018.0	34968.0	34018.0	27046.0	34303.0	0.0	57252.0	35040.0	33772.0	38351.0	34803.0	33822.0	25395.0	33919.0	25401.0	34390.0	33165.0
RampelliS_2015__H9__bin.15	53446.0	42316.0	59406.0	47081.0	53025.0	54782.0	59283.0	53683.0	55064.0	60473.0	54347.0	54684.0	59754.0	46832.0	39635.0	55790.0	58074.0	58568.0	51089.0	55466.0	58116.0	53985.0	54370.0	57861.0	60784.0	58805.0	57469.0	43093.0	57232.0	57252.0	0.0	59048.0	56176.0	51558.0	57956.0	60270.0	45175.0	56257.0	47145.0	58990.0	58944.0
ZeeviD_2015__PNP_Main_293__bin.8	34534.0	24391.0	37357.0	27985.0	31283.0	33870.0	37371.0	38397.0	34763.0	38444.0	35540.0	36613.0	36702.0	27652.0	21718.0	33123.0	36461.0	37182.0	29867.0	35351.0	36139.0	31328.0	33296.0	20473.0	38106.0	37612.0	36706.0	26924.0	35007.0	35040.0	59048.0	0.0	35752.0	40583.0	36188.0	36907.0	19560.0	28455.0	27327.0	36235.0	37748.0
BritoIL_2016__M1.65.ST__bin.15	30371.0	21998.0	35151.0	26234.0	29756.0	33185.0	34732.0	35078.0	32147.0	35594.0	33621.0	33617.0	35186.0	26994.0	21056.0	31981.0	34113.0	36001.0	29999.0	34168.0	33017.0	29553.0	31320.0	35571.0	35520.0	35613.0	35175.0	24729.0	34012.0	33772.0	56176.0	35752.0	0.0	37956.0	35514.0	35252.0	25026.0	34968.0	26393.0	35062.0	35931.0
RampelliS_2015__H6__bin.15	36310.0	29055.0	39087.0	32520.0	35829.0	37340.0	40367.0	37307.0	37470.0	40550.0	37846.0	37249.0	40268.0	32338.0	25780.0	38030.0	38414.0	39430.0	33371.0	36746.0	38440.0	36405.0	35977.0	38274.0	40726.0	40617.0	38591.0	29004.0	39674.0	38351.0	51558.0	40583.0	37956.0	0.0	39607.0	40050.0	29912.0	37858.0	32043.0	40002.0	38804.0
ZeeviD_2015__PNP_Main_374__bin.24	32236.0	22401.0	35766.0	28690.0	29879.0	31348.0	36991.0	34599.0	20332.0	37739.0	32839.0	34680.0	36983.0	27849.0	22041.0	33345.0	37118.0	36427.0	30481.0	34323.0	35672.0	30337.0	11918.0	37534.0	36041.0	38371.0	36918.0	25450.0	35537.0	34803.0	57956.0	36188.0	35514.0	39607.0	0.0	36958.0	25933.0	34708.0	25581.0	36707.0	36211.0
CosteaPI_2017__SID713B032-11-90-0__bin.28	33925.0	3047.0	36423.0	22748.0	31443.0	25660.0	28406.0	35395.0	34578.0	612.0	35947.0	37182.0	16653.0	28017.0	20886.0	34825.0	17413.0	37984.0	29531.0	17320.0	16511.0	13484.0	32079.0	37595.0	16628.0	35629.0	33774.0	26717.0	33656.0	33822.0	60270.0	36907.0	35252.0	40050.0	36958.0	0.0	25814.0	34302.0	21649.0	17769.0	18495.0
SchirmerM_2016__G88821__bin.15	23835.0	18450.0	24986.0	20187.0	23690.0	23609.0	25922.0	26421.0	24562.0	26152.0	25647.0	26323.0	25258.0	20747.0	17444.0	25295.0	24502.0	25207.0	21798.0	23281.0	24771.0	23125.0	24192.0	20494.0	25606.0	25477.0	24504.0	21657.0	25019.0	25395.0	45175.0	19560.0	25026.0	29912.0	25933.0	25814.0	0.0	19139.0	20090.0	25068.0	25192.0
HMP_2012__SRS049959__bin.25	34231.0	22431.0	34729.0	27361.0	30197.0	32537.0	35063.0	36918.0	34149.0	35319.0	34397.0	36299.0	35582.0	26707.0	20958.0	33983.0	34138.0	36040.0	30006.0	34683.0	34154.0	30255.0	33428.0	26693.0	36586.0	35209.0	34042.0	27198.0	34606.0	33919.0	56257.0	28455.0	34968.0	37858.0	34708.0	34302.0	19139.0	0.0	26539.0	35748.0	35239.0
CosteaPI_2017__SID713B065-11-90-0__bin.33	24766.0	16803.0	26992.0	23005.0	25503.0	1165.0	26838.0	27668.0	24907.0	21395.0	28088.0	28916.0	24629.0	22432.0	18582.0	25713.0	23561.0	25982.0	22941.0	23361.0	23894.0	23437.0	24416.0	26800.0	24809.0	24547.0	24170.0	23035.0	24173.0	25401.0	47145.0	27327.0	26393.0	32043.0	25581.0	21649.0	20090.0	26539.0	0.0	24427.0	24605.0
CosteaPI_2017__SID713B043-11-90-0__bin.27	33528.0	9976.0	36021.0	22028.0	31261.0	29562.0	27690.0	36291.0	35640.0	17736.0	36276.0	36082.0	1108.0	29019.0	20975.0	34326.0	16780.0	37336.0	30934.0	11187.0	13803.0	869.0	32341.0	37150.0	1183.0	35682.0	34262.0	25756.0	33467.0	34390.0	58990.0	36235.0	35062.0	40002.0	36707.0	17769.0	25068.0	35748.0	24427.0	0.0	12433.0
CosteaPI_2017__SID713A049-11-0-0__bin.64	34190.0	11160.0	36393.0	20353.0	30743.0	29710.0	26010.0	35785.0	34165.0	18412.0	35061.0	35721.0	13379.0	27176.0	20352.0	34379.0	9878.0	37424.0	28946.0	390.0	8414.0	10695.0	32470.0	36928.0	12619.0	34512.0	34910.0	25705.0	33113.0	33165.0	58944.0	37748.0	35931.0	38804.0	36211.0	18495.0	25192.0	35239.0	24605.0	12433.0	0.0
