	YuJ_2015__SZAXPI017586-111__bin.46	YuJ_2015__SZAXPI015213-15__bin.3	HeQ_2017__SZAXPI029460-123__bin.30	YuJ_2015__SZAXPI015258-57__bin.36	LiJ_2017__H2M514917__bin.38	QinJ_2012__CON-098__bin.12	HeQ_2017__RSZAXPI003105-143__bin.29	WenC_2017__N010__bin.15	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.75	QinJ_2012__CON-084__bin.10	QinN_2014__LD-74__bin.17	QinJ_2012__CON-074__bin.14	YuJ_2015__SZAXPI003417-4__bin.21	YuJ_2015__SZAXPI015210-17__bin.10	QinJ_2012__CON-040__bin.45	LiJ_2017__H1M513803__bin.32	QinN_2014__HD-26__bin.35	WenC_2017__N287__bin.41	LiJ_2014__O2.UC8-0__bin.48	ChengpingW_2017__AS54raw__bin.17	QinJ_2012__T2D-087__bin.26	QinJ_2012__CON-094__bin.51	QinJ_2012__T2D-008__bin.19	WenC_2017__RA068__bin.5	FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.3	HeQ_2017__RSZAXPI003102-140__bin.5	QinJ_2012__CON-022__bin.36	QinN_2014__HD-58__bin.4	QinN_2014__LD-84__bin.67	LiJ_2014__O2.UC8-1__bin.57	QinN_2014__HD-81__bin.7	QinJ_2012__T2D-023__bin.48	HeQ_2017__RSZAXPI003081-115__bin.31	QinJ_2012__NOM022__bin.8	LeChatelierE_2013__MH0321__bin.36	VogtmannE_2016__MMRS67247116ST-27-0-0__bin.90	ChengpingW_2017__AS42raw__bin.81	VogtmannE_2016__MMRS56137463ST-27-0-0__bin.1	QinN_2014__HD-43__bin.29	QinJ_2012__NLM032__bin.22	QinN_2014__LD-16__bin.6
LiJ_2014__O2.UC8-1__bin.57	12356.0	7657.0	13705.0	10860.0	14824.0	12894.0	7718.0	14780.0	10988.0	10566.0	13974.0	9545.0	10220.0	8874.0	8396.0	10634.0	13811.0	11979.0	1327.0	10984.0	13826.0	13204.0	11205.0	14480.0	10010.0	8159.0	10926.0	7204.0	13677.0	0.0	13198.0	13679.0	7787.0	13219.0	12408.0	13306.0	26735.0	10559.0	15523.0	11673.0	14251.0
QinN_2014__HD-81__bin.7	10334.0	7146.0	11805.0	8726.0	3497.0	11852.0	6731.0	12559.0	10970.0	8631.0	12616.0	6380.0	7608.0	7923.0	5879.0	8953.0	12091.0	10935.0	12582.0	10890.0	11476.0	12892.0	10363.0	6306.0	9792.0	7318.0	11063.0	5620.0	11006.0	13198.0	0.0	9516.0	7568.0	12844.0	13360.0	13117.0	26875.0	9908.0	13248.0	7514.0	13963.0
QinJ_2012__T2D-023__bin.48	11122.0	7462.0	13714.0	9866.0	10549.0	13623.0	7792.0	15040.0	12001.0	9101.0	14736.0	6528.0	9051.0	8086.0	6671.0	9907.0	13463.0	11997.0	13752.0	11568.0	13339.0	13788.0	11365.0	10617.0	11534.0	8106.0	11580.0	5443.0	12379.0	13679.0	9516.0	0.0	7736.0	13609.0	13727.0	14146.0	28442.0	11421.0	14836.0	3659.0	15064.0
HeQ_2017__RSZAXPI003081-115__bin.31	7050.0	4471.0	7974.0	5945.0	8142.0	7276.0	3911.0	4847.0	6991.0	5833.0	8835.0	3771.0	8063.0	7160.0	6659.0	3598.0	7046.0	5923.0	8825.0	5938.0	7710.0	8730.0	5821.0	8757.0	4846.0	240.0	6281.0	4539.0	7522.0	7787.0	7568.0	7736.0	0.0	7222.0	7903.0	7305.0	16016.0	5940.0	4167.0	6980.0	6765.0
QinJ_2012__NOM022__bin.8	11831.0	7306.0	12941.0	10380.0	14047.0	11695.0	7169.0	13191.0	10691.0	10347.0	13572.0	8609.0	8529.0	8065.0	7177.0	10403.0	12419.0	11810.0	13185.0	11161.0	12484.0	12560.0	10664.0	13216.0	9066.0	7373.0	8059.0	7429.0	13307.0	13219.0	12844.0	13609.0	7222.0	0.0	11923.0	13329.0	27756.0	9754.0	13825.0	11156.0	12910.0
LeChatelierE_2013__MH0321__bin.36	12679.0	7414.0	14097.0	10304.0	14264.0	12983.0	7859.0	13700.0	11984.0	10955.0	13871.0	9496.0	8823.0	9909.0	7246.0	10752.0	13939.0	12239.0	12716.0	12906.0	13697.0	12896.0	10793.0	14175.0	9466.0	7899.0	10499.0	7289.0	13848.0	12408.0	13360.0	13727.0	7903.0	11923.0	0.0	12122.0	26952.0	10853.0	14095.0	11408.0	13658.0
VogtmannE_2016__MMRS67247116ST-27-0-0__bin.90	13036.0	7358.0	13784.0	9431.0	14433.0	12900.0	7977.0	13663.0	11113.0	10457.0	13934.0	8954.0	9038.0	8459.0	7264.0	10283.0	14070.0	12204.0	13323.0	11350.0	13048.0	14030.0	11509.0	14235.0	4510.0	7466.0	10666.0	7735.0	13291.0	13306.0	13117.0	14146.0	7305.0	13329.0	12122.0	0.0	25881.0	11340.0	14792.0	11281.0	13641.0
ChengpingW_2017__AS42raw__bin.81	25187.0	15790.0	28083.0	20273.0	28367.0	26210.0	17911.0	27977.0	20693.0	22278.0	28217.0	17801.0	20169.0	17476.0	15546.0	23094.0	27236.0	24435.0	27096.0	25130.0	26994.0	28098.0	22776.0	27744.0	19497.0	16444.0	24184.0	16681.0	26773.0	26735.0	26875.0	28442.0	16016.0	27756.0	26952.0	25881.0	0.0	19580.0	28760.0	23552.0	28424.0
VogtmannE_2016__MMRS56137463ST-27-0-0__bin.1	11480.0	5222.0	10541.0	8613.0	11635.0	9811.0	6078.0	12006.0	9835.0	8229.0	12356.0	9700.0	6734.0	6070.0	3875.0	7839.0	12268.0	9337.0	11434.0	9859.0	9680.0	10481.0	8662.0	12236.0	10536.0	6113.0	8184.0	6077.0	10285.0	10559.0	9908.0	11421.0	5940.0	9754.0	10853.0	11340.0	19580.0	0.0	14998.0	8924.0	12047.0
QinN_2014__HD-43__bin.29	13028.0	7443.0	13898.0	10454.0	16766.0	15059.0	8298.0	9641.0	12636.0	11287.0	16349.0	10915.0	10957.0	12299.0	10277.0	6432.0	14982.0	11449.0	15455.0	13443.0	14709.0	14043.0	11545.0	15437.0	12753.0	3665.0	11242.0	8038.0	14166.0	15523.0	13248.0	14836.0	4167.0	13825.0	14095.0	14792.0	28760.0	14998.0	0.0	12046.0	14236.0
QinJ_2012__NLM032__bin.22	9624.0	7245.0	9956.0	8172.0	7396.0	10367.0	6051.0	11180.0	9590.0	8288.0	11399.0	4408.0	8588.0	7379.0	5904.0	8599.0	10550.0	10163.0	11945.0	11227.0	10585.0	10845.0	9294.0	7325.0	9110.0	6644.0	10090.0	5118.0	9933.0	11673.0	7514.0	3659.0	6980.0	11156.0	11408.0	11281.0	23552.0	8924.0	12046.0	0.0	11903.0
QinN_2014__LD-16__bin.6	13117.0	6869.0	15315.0	10488.0	16051.0	12840.0	9022.0	10996.0	11848.0	11210.0	14828.0	10645.0	10323.0	10700.0	8154.0	9211.0	15448.0	11606.0	15439.0	12300.0	15196.0	13782.0	12166.0	16359.0	10750.0	6349.0	10608.0	8236.0	14589.0	14251.0	13963.0	15064.0	6765.0	12910.0	13658.0	13641.0	28424.0	12047.0	14236.0	11903.0	0.0
