	ZeeviD_2015__PNP_Main_586__bin.39	YuJ_2015__SZAXPI015261-75__bin.23	NielsenHB_2014__MH0093__bin.7	CosteaPI_2017__halbarad-11-0-0__bin.28	LeChatelierE_2013__MH0093__bin.3	XieH_2016__YSZC12003_37348__bin.16	ZeeviD_2015__PNP_Main_506__bin.26	LeChatelierE_2013__MH0129__bin.41	LeChatelierE_2013__MH0288__bin.80	CosteaPI_2017__halbarad-11-773-0__bin.26	ZellerG_2014__MMPU68403337ST__bin.53	ZeeviD_2015__PNP_Main_304__bin.37	XieH_2016__YSZC12003_37204__bin.17	LeChatelierE_2013__MH0440__bin.73	NielsenHB_2014__V1_UC50_1__bin.69	QinJ_2012__T2D-099__bin.75	ZeeviD_2015__PNP_Main_226__bin.34	NielsenHB_2014__MH0004__bin.10	ZeeviD_2015__PNP_Main_261__bin.11	LeChatelierE_2013__MH0438__bin.46	CosteaPI_2017__halbarad-11-392-0__bin.44	CosteaPI_2017__halbarad-11-7-0__bin.2	ZeeviD_2015__PNP_Main_22__bin.34	LeChatelierE_2013__MH0125__bin.9	SchirmerM_2016__G88802__bin.17	ZellerG_2014__CCIS38765456ST-20-0__bin.4	XieH_2016__YSZC12003_35551__bin.42	NielsenHB_2014__V1_CD19_0__bin.21	NielsenHB_2014__O2_UC55_2__bin.28	ZeeviD_2015__PNP_Validation_7__bin.62	VogtmannE_2016__MMRS79893829ST-27-0-0__bin.10	LiJ_2014__V1.FI02__bin.5	LeChatelierE_2013__MH0004__bin.14	NielsenHB_2014__MH0129__bin.37	ChengpingW_2017__AS78raw__bin.58	NielsenHB_2014__MH0125__bin.30
CosteaPI_2017__halbarad-11-392-0__bin.44	67446.0	69520.0	41940.0	894.0	47202.0	49361.0	54737.0	44297.0	68681.0	608.0	729.0	60668.0	46736.0	53666.0	71965.0	59578.0	43054.0	66729.0	60968.0	63892.0	0.0	749.0	65424.0	71291.0	47743.0	61500.0	68552.0	49700.0	43783.0	69320.0	64225.0	58169.0	69801.0	36334.0	68155.0	62297.0
CosteaPI_2017__halbarad-11-7-0__bin.2	71115.0	72122.0	42735.0	995.0	49202.0	52282.0	58556.0	46156.0	72185.0	567.0	268.0	61982.0	47545.0	55177.0	75527.0	61106.0	43978.0	67971.0	62679.0	67425.0	749.0	0.0	67480.0	72601.0	48753.0	64783.0	71220.0	51356.0	44623.0	73137.0	67127.0	61623.0	72912.0	37367.0	72008.0	62796.0
ZeeviD_2015__PNP_Main_22__bin.34	47431.0	65825.0	34512.0	58727.0	37437.0	37610.0	44512.0	31715.0	48228.0	56925.0	55975.0	53842.0	34440.0	49181.0	51514.0	60433.0	43519.0	50054.0	44095.0	47576.0	65424.0	67480.0	0.0	55105.0	43452.0	47186.0	55177.0	45297.0	46106.0	52488.0	60536.0	56133.0	51072.0	29130.0	64760.0	48975.0
LeChatelierE_2013__MH0125__bin.9	53420.0	72935.0	34142.0	64598.0	38936.0	40799.0	52184.0	36895.0	56718.0	59075.0	58292.0	60469.0	39014.0	52150.0	59658.0	65614.0	47075.0	55301.0	48502.0	54256.0	71291.0	72601.0	55105.0	0.0	45926.0	49333.0	59202.0	52890.0	49669.0	57247.0	69551.0	64077.0	57411.0	30839.0	71166.0	554.0
SchirmerM_2016__G88802__bin.17	38176.0	49741.0	34117.0	42274.0	28762.0	27908.0	22272.0	26690.0	43510.0	45481.0	44657.0	42124.0	31985.0	36815.0	45164.0	51092.0	42998.0	42500.0	33361.0	42456.0	47743.0	48753.0	43452.0	45926.0	0.0	39512.0	46693.0	31644.0	35977.0	44050.0	48422.0	50444.0	43940.0	29257.0	45655.0	43310.0
ZellerG_2014__CCIS38765456ST-20-0__bin.4	49679.0	66929.0	30250.0	58361.0	34605.0	34891.0	47365.0	31558.0	48537.0	50512.0	49452.0	55570.0	37406.0	47998.0	53852.0	56883.0	40891.0	48756.0	45622.0	47856.0	61500.0	64783.0	47186.0	49333.0	39512.0	0.0	53080.0	47885.0	43491.0	53004.0	63237.0	56072.0	51668.0	24594.0	63709.0	43290.0
XieH_2016__YSZC12003_35551__bin.42	54794.0	73285.0	35484.0	62252.0	39159.0	42292.0	53308.0	35398.0	57387.0	57255.0	56499.0	61213.0	38181.0	53470.0	58877.0	64105.0	46207.0	56585.0	49895.0	55229.0	68552.0	71220.0	55177.0	59202.0	46693.0	53080.0	0.0	53050.0	46187.0	58234.0	71342.0	63020.0	58801.0	29097.0	71828.0	50754.0
NielsenHB_2014__V1_CD19_0__bin.21	51904.0	48170.0	25395.0	46699.0	37614.0	45032.0	48996.0	37707.0	51158.0	38213.0	37321.0	42060.0	34547.0	32651.0	54945.0	41154.0	26966.0	49919.0	49957.0	48710.0	49700.0	51356.0	45297.0	52890.0	31644.0	47885.0	53050.0	0.0	32288.0	54081.0	49591.0	39653.0	52860.0	25891.0	48669.0	43148.0
NielsenHB_2014__O2_UC55_2__bin.28	46825.0	38411.0	33182.0	40447.0	34825.0	32507.0	36508.0	30189.0	47344.0	41374.0	41078.0	41210.0	34935.0	36930.0	47434.0	32879.0	25791.0	47042.0	42453.0	44174.0	43783.0	44623.0	46106.0	49669.0	35977.0	43491.0	46187.0	32288.0	0.0	45379.0	37579.0	30649.0	47728.0	28279.0	44649.0	45987.0
ZeeviD_2015__PNP_Validation_7__bin.62	50517.0	69966.0	31078.0	64698.0	37418.0	41656.0	54099.0	34566.0	55536.0	59002.0	56424.0	57001.0	35810.0	51441.0	59661.0	63704.0	42795.0	55994.0	47272.0	53928.0	69320.0	73137.0	52488.0	57247.0	44050.0	53004.0	58234.0	54081.0	45379.0	0.0	68160.0	60333.0	58297.0	27212.0	70372.0	48663.0
VogtmannE_2016__MMRS79893829ST-27-0-0__bin.10	65181.0	53792.0	37114.0	59339.0	45645.0	49798.0	55425.0	45968.0	72260.0	53754.0	51899.0	59772.0	45624.0	47626.0	70859.0	44330.0	30262.0	66852.0	58098.0	63106.0	64225.0	67127.0	60536.0	69551.0	48422.0	63237.0	71342.0	49591.0	37579.0	68160.0	0.0	44911.0	70762.0	35855.0	64406.0	58736.0
LiJ_2014__V1.FI02__bin.5	56071.0	46104.0	40372.0	53475.0	40125.0	43417.0	46546.0	38890.0	64234.0	54542.0	53054.0	55682.0	47986.0	52031.0	64729.0	20511.0	17417.0	66585.0	51901.0	61393.0	58169.0	61623.0	56133.0	64077.0	50444.0	56072.0	63020.0	39653.0	30649.0	60333.0	44911.0	0.0	67710.0	35426.0	57148.0	60311.0
LeChatelierE_2013__MH0004__bin.14	56141.0	72781.0	32313.0	64218.0	36923.0	42081.0	54387.0	35176.0	53801.0	58974.0	56471.0	59220.0	40813.0	50498.0	60846.0	65070.0	45475.0	499.0	50591.0	51581.0	69801.0	72912.0	51072.0	57411.0	43940.0	51668.0	58801.0	52860.0	47728.0	58297.0	70762.0	67710.0	0.0	27724.0	73615.0	48894.0
NielsenHB_2014__MH0129__bin.37	26082.0	37917.0	24231.0	33933.0	19495.0	18914.0	25584.0	345.0	28261.0	31606.0	30825.0	31728.0	21746.0	29379.0	28530.0	36604.0	32421.0	27068.0	24816.0	27804.0	36334.0	37367.0	29130.0	30839.0	29257.0	24594.0	29097.0	25891.0	28279.0	27212.0	35855.0	35426.0	27724.0	0.0	36596.0	28745.0
ChengpingW_2017__AS78raw__bin.58	69770.0	64558.0	39991.0	62739.0	48123.0	53232.0	56706.0	45998.0	72962.0	56168.0	55015.0	62517.0	47885.0	49669.0	72167.0	58206.0	40509.0	69146.0	62055.0	65968.0	68155.0	72008.0	64760.0	71166.0	45655.0	63709.0	71828.0	48669.0	44649.0	70372.0	64406.0	57148.0	73615.0	36596.0	0.0	61008.0
NielsenHB_2014__MH0125__bin.30	44309.0	63636.0	33111.0	55974.0	33023.0	34029.0	41636.0	30495.0	48221.0	55841.0	52435.0	54956.0	37460.0	49884.0	50210.0	60313.0	45109.0	48555.0	43078.0	48290.0	62297.0	62796.0	48975.0	554.0	43310.0	43290.0	50754.0	43148.0	45987.0	48663.0	58736.0	60311.0	48894.0	28745.0	61008.0	0.0
