	SchirmerM_2016__G88826__bin.15	LeChatelierE_2013__MH0125__bin.25	CM_madagascar__A27_02_1FE__bin.18	LeChatelierE_2013__MH0077__bin.23	XieH_2016__YSZC12003_37583__bin.34	SchirmerM_2016__G88820__bin.25	SchirmerM_2016__G88863__bin.21	LeChatelierE_2013__MH0431__bin.18	ZeeviD_2015__PNP_Main_640__bin.3	LeChatelierE_2013__MH0111__bin.22	VatanenT_2016__G69170__bin.2	KarlssonFH_2013__S198__bin.15	LiJ_2014__MH0364__bin.50	BritoIL_2016__W1.9.ST__bin.62	ZeeviD_2015__PNP_Main_749__bin.39	VatanenT_2016__G80409__bin.3	ZeeviD_2015__PNP_Main_82__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.47	FengQ_2015__SID532779__bin.88	SchirmerM_2016__G89093__bin.27	ZeeviD_2015__PNP_Main_25__bin.9	NielsenHB_2014__O2_UC57_2__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.85	ZeeviD_2015__PNP_DietIntervention_35__bin.69	ZeeviD_2015__PNP_Validation_33__bin.5	NielsenHB_2014__O2_UC57_0__bin.17	ZeeviD_2015__PNP_Main_409__bin.44	CosteaPI_2017__SID713B040-11-0-0__bin.75	ChengpingW_2017__AS9raw__bin.10	ZeeviD_2015__PNP_Main_359__bin.26	CM_madagascar__V30_01_1FE__bin.40	NielsenHB_2014__MH0111__bin.30	NielsenHB_2014__V1_UC43_0__bin.58	CM_madagascar__A42_02_1FE__bin.10	NielsenHB_2014__MH0060__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.85	LiJ_2017__H2M514903__bin.46	ZeeviD_2015__PNP_Main_40__bin.3	LeChatelierE_2013__MH0161__bin.61	LeChatelierE_2013__MH0060__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.62	CosteaPI_2017__SID713A057-11-0-0__bin.57	SchirmerM_2016__G89251__bin.2	LiJ_2017__H1M513730__bin.47
ZeeviD_2015__PNP_Main_25__bin.9	30384.0	29524.0	52891.0	37622.0	36405.0	34483.0	19527.0	29759.0	32826.0	35001.0	36110.0	34540.0	34216.0	31094.0	33517.0	35408.0	35787.0	37657.0	38058.0	27871.0	0.0	34417.0	39676.0	32103.0	38991.0	34842.0	34484.0	36294.0	47089.0	35544.0	47336.0	33209.0	39779.0	37326.0	36820.0	36257.0	36662.0	36018.0	34875.0	44643.0	37887.0	36551.0	29299.0	46265.0
NielsenHB_2014__O2_UC57_2__bin.33	27809.0	28565.0	47806.0	35179.0	34287.0	33001.0	19091.0	27665.0	29248.0	32984.0	34781.0	33530.0	30437.0	27782.0	31119.0	35003.0	30831.0	29821.0	35414.0	26260.0	34417.0	0.0	35378.0	31398.0	35416.0	8383.0	32722.0	33711.0	44271.0	33467.0	41412.0	30359.0	30112.0	34716.0	34200.0	34962.0	32047.0	34253.0	33637.0	40484.0	36346.0	34704.0	27978.0	42588.0
Bengtsson-PalmeJ_2015__TRAVELRES4__bin.85	32632.0	31872.0	56139.0	38383.0	37347.0	38529.0	18764.0	30742.0	32319.0	37529.0	37658.0	35994.0	35851.0	31724.0	36577.0	39665.0	38634.0	39327.0	39871.0	29173.0	39676.0	35378.0	0.0	35959.0	41797.0	35778.0	34676.0	39359.0	48937.0	38103.0	47782.0	34003.0	40178.0	38620.0	39998.0	35853.0	37470.0	38752.0	35167.0	48741.0	37365.0	38322.0	30702.0	48225.0
ZeeviD_2015__PNP_DietIntervention_35__bin.69	28759.0	28562.0	49335.0	33895.0	33463.0	33069.0	18151.0	28570.0	33823.0	32426.0	36201.0	32116.0	30931.0	28313.0	31176.0	35209.0	31639.0	36182.0	34967.0	25590.0	32103.0	31398.0	35959.0	0.0	36665.0	30759.0	31593.0	33143.0	46431.0	31870.0	46567.0	30666.0	36583.0	35599.0	33145.0	32875.0	32607.0	2268.0	36214.0	40662.0	34051.0	34690.0	28469.0	44187.0
ZeeviD_2015__PNP_Validation_33__bin.5	33923.0	31556.0	55248.0	37222.0	41086.0	37896.0	21032.0	31396.0	34109.0	36522.0	37273.0	36956.0	34697.0	31966.0	35172.0	39067.0	37911.0	42522.0	40866.0	29687.0	38991.0	35416.0	41797.0	36665.0	0.0	35781.0	36398.0	39395.0	50591.0	36914.0	49218.0	34613.0	41716.0	37930.0	39597.0	38268.0	38324.0	37925.0	38377.0	47948.0	39540.0	39195.0	30603.0	49741.0
NielsenHB_2014__O2_UC57_0__bin.17	28115.0	27843.0	47598.0	34811.0	34565.0	32328.0	17969.0	28805.0	29443.0	31111.0	34618.0	32024.0	31389.0	27559.0	32366.0	34976.0	31948.0	28893.0	35425.0	26293.0	34842.0	8383.0	35778.0	30759.0	35781.0	0.0	32800.0	33446.0	43867.0	33105.0	41997.0	28858.0	28639.0	34795.0	34484.0	34679.0	33998.0	34498.0	31350.0	40656.0	35636.0	35161.0	27321.0	42201.0
ZeeviD_2015__PNP_Main_409__bin.44	30334.0	29833.0	49139.0	35329.0	24956.0	34787.0	18613.0	28925.0	32469.0	33343.0	33555.0	31721.0	32902.0	31133.0	32831.0	33812.0	33209.0	36428.0	36536.0	27171.0	34484.0	32722.0	34676.0	31593.0	36398.0	32800.0	0.0	33848.0	48028.0	34019.0	45457.0	31217.0	38838.0	37845.0	34612.0	31616.0	34287.0	34067.0	31249.0	42751.0	31239.0	35596.0	27500.0	44501.0
CosteaPI_2017__SID713B040-11-0-0__bin.75	30465.0	30460.0	53013.0	36737.0	36038.0	35721.0	19247.0	28987.0	32584.0	33328.0	35450.0	35053.0	35350.0	30684.0	34693.0	36476.0	35103.0	38741.0	39284.0	27848.0	36294.0	33711.0	39359.0	33143.0	39395.0	33446.0	33848.0	0.0	48916.0	36008.0	46323.0	31691.0	39121.0	35884.0	36510.0	35466.0	36095.0	36778.0	34946.0	45986.0	36775.0	35351.0	29688.0	46314.0
ChengpingW_2017__AS9raw__bin.10	41379.0	42146.0	44357.0	46185.0	50047.0	49071.0	27299.0	41726.0	39716.0	45403.0	51942.0	46062.0	45232.0	36840.0	46295.0	53590.0	45130.0	49620.0	51383.0	35757.0	47089.0	44271.0	48937.0	46431.0	50591.0	43867.0	48028.0	48916.0	0.0	48287.0	40516.0	42141.0	51574.0	32284.0	31737.0	47597.0	25859.0	50167.0	45826.0	39618.0	49923.0	49313.0	38908.0	30664.0
ZeeviD_2015__PNP_Main_359__bin.26	30293.0	31543.0	52907.0	36675.0	36148.0	34577.0	20034.0	29381.0	32288.0	34313.0	36997.0	34225.0	32800.0	29781.0	9885.0	35273.0	33224.0	37900.0	36769.0	27411.0	35544.0	33467.0	38103.0	31870.0	36914.0	33105.0	34019.0	36008.0	48287.0	0.0	47333.0	32978.0	39525.0	38940.0	35672.0	35527.0	38233.0	35338.0	35399.0	44078.0	36533.0	35206.0	28260.0	46033.0
CM_madagascar__V30_01_1FE__bin.40	41726.0	38123.0	38927.0	46710.0	49198.0	48703.0	26860.0	41470.0	38037.0	45423.0	47703.0	46532.0	47039.0	38413.0	45793.0	50012.0	42732.0	49442.0	49613.0	35557.0	47336.0	41412.0	47782.0	46567.0	49218.0	41997.0	45457.0	46323.0	40516.0	47333.0	0.0	42960.0	47428.0	28806.0	35943.0	47506.0	31408.0	49038.0	46886.0	45458.0	47832.0	46727.0	38966.0	38809.0
NielsenHB_2014__MH0111__bin.30	27796.0	26762.0	46665.0	34073.0	33432.0	31725.0	18358.0	20638.0	29361.0	5261.0	31088.0	28663.0	29413.0	27520.0	31531.0	31912.0	31403.0	35305.0	34442.0	25172.0	33209.0	30359.0	34003.0	30666.0	34613.0	28858.0	31217.0	31691.0	42141.0	32978.0	42960.0	0.0	34276.0	33233.0	32038.0	30505.0	30926.0	32824.0	29130.0	38483.0	31736.0	32843.0	26422.0	39648.0
NielsenHB_2014__V1_UC43_0__bin.58	32039.0	30150.0	53566.0	38139.0	39351.0	38104.0	20979.0	30671.0	33717.0	37356.0	39662.0	37962.0	36845.0	33417.0	38274.0	40077.0	37295.0	33231.0	41191.0	29174.0	39779.0	30112.0	40178.0	36583.0	41716.0	28639.0	38838.0	39121.0	51574.0	39525.0	47428.0	34276.0	0.0	36637.0	36331.0	37474.0	36384.0	38814.0	36454.0	45772.0	39385.0	38844.0	30485.0	48380.0
