	BackhedF_2015__SID133_B__bin.7	OlmMR_2017__S2_005_027G1__bin.6	HeQ_2017__SZAXPI029503-106__bin.19	FerrettiP_2018__CA_C10019IS2352FE_t3M15__bin.2	BritoIL_2016__M1.7.ST__bin.24	BackhedF_2015__SID105_4M__bin.12	OlmMR_2017__S2_005_022G1__bin.2	QinN_2014__LD-66__bin.8	OlmMR_2017__S2_005_023G1__bin.3	YuJ_2015__SZAXPI015267-102__bin.21	QinN_2014__LD-23__bin.10	FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.1	ZellerG_2014__CCIS63468405ST-4-0__bin.73	BackhedF_2015__SID615_B__bin.13	OlmMR_2017__S2_005_025G1__bin.3	OlmMR_2017__S2_005_028G1__bin.7	QinN_2014__LD-51__bin.65	OlmMR_2017__S2_005_024G1__bin.10	FerrettiP_2018__CA_C10034IS2591FE_t3M15__bin.11	ZellerG_2014__CCIS59903910ST-4-0__bin.5	FerrettiP_2018__CA_C10002IS2023FE_t2M15__bin.8	BackhedF_2015__SID544_4M__bin.1	QinJ_2012__DLM010__bin.14	OlmMR_2017__S2_005_019G1__bin.4	BackhedF_2015__SID608_B__bin.4	OlmMR_2017__S2_005_026G1__bin.1	GeversD_2014__SKBSTL036__bin.45	QinN_2014__LD-85__bin.60	HeQ_2017__RSZAXPI003097-131__bin.33	OlmMR_2017__S2_005_022G1__bin.11	CM_madagascar__A04_01_1FE__bin.3	QinN_2014__LD-28__bin.14	FengQ_2015__SID530451__bin.19	OlmMR_2017__S2_005_018G1__bin.5	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.4	OlmMR_2017__S2_005_024G1__bin.3	VatanenT_2016__G80587__bin.4	OlmMR_2017__S2_005_021G1__bin.6	BackhedF_2015__SID180_B__bin.11	OlmMR_2017__S2_005_020G1__bin.10
FerrettiP_2018__CA_C10002IS2023FE_t2M15__bin.8	25699.0	8803.0	37665.0	28828.0	49640.0	15035.0	15978.0	40444.0	20174.0	55465.0	27694.0	36716.0	24184.0	41081.0	24793.0	24726.0	38957.0	16067.0	24093.0	37434.0	0.0	61746.0	24800.0	20323.0	36320.0	10380.0	23717.0	60213.0	20578.0	8863.0	52077.0	39194.0	19674.0	11176.0	34143.0	8825.0	57483.0	15641.0	38073.0	15973.0
BackhedF_2015__SID544_4M__bin.1	19849.0	29533.0	65757.0	50459.0	59471.0	53402.0	38144.0	65867.0	61651.0	65257.0	44623.0	64927.0	47803.0	64803.0	67333.0	67335.0	65552.0	38014.0	44995.0	63995.0	61746.0	0.0	44133.0	51877.0	64589.0	33285.0	38707.0	69598.0	36135.0	29528.0	63016.0	66065.0	36037.0	32409.0	60199.0	29566.0	63700.0	43533.0	64052.0	42459.0
QinJ_2012__DLM010__bin.14	22260.0	10795.0	24748.0	19968.0	31682.0	21882.0	16683.0	27123.0	24473.0	34927.0	15491.0	23514.0	20840.0	27696.0	27255.0	27204.0	25760.0	16732.0	17622.0	23893.0	24800.0	44133.0	0.0	22677.0	22722.0	12304.0	13242.0	38692.0	14771.0	10752.0	34198.0	25484.0	14091.0	11813.0	23413.0	10789.0	39976.0	17054.0	25299.0	17727.0
OlmMR_2017__S2_005_019G1__bin.4	19458.0	1289.0	36535.0	25712.0	45117.0	12463.0	1435.0	39564.0	2457.0	52974.0	24256.0	35156.0	20140.0	39460.0	2472.0	2487.0	37454.0	1517.0	21183.0	34874.0	20323.0	51877.0	22677.0	0.0	36290.0	1376.0	20337.0	57914.0	22137.0	1261.0	45887.0	38201.0	18387.0	1467.0	32099.0	1273.0	50824.0	2007.0	35847.0	2462.0
BackhedF_2015__SID608_B__bin.4	26259.0	20524.0	40109.0	28080.0	55636.0	29020.0	25080.0	47776.0	39623.0	64636.0	28561.0	29320.0	28003.0	45098.0	45314.0	45353.0	41260.0	25121.0	6854.0	37597.0	36320.0	64589.0	22722.0	36290.0	0.0	23434.0	17264.0	69686.0	20208.0	20673.0	56522.0	41874.0	17872.0	23304.0	34178.0	20538.0	67228.0	30897.0	38216.0	27895.0
OlmMR_2017__S2_005_026G1__bin.1	11590.0	131.0	24468.0	17281.0	31307.0	6759.0	81.0	25556.0	112.0	34810.0	24552.0	23889.0	12011.0	24051.0	159.0	118.0	24653.0	40.0	11015.0	22936.0	10380.0	33285.0	12304.0	1376.0	23434.0	0.0	23869.0	37449.0	3519.0	108.0	29030.0	25353.0	7907.0	154.0	20560.0	111.0	34419.0	176.0	22706.0	692.0
GeversD_2014__SKBSTL036__bin.45	13894.0	20870.0	25497.0	18341.0	34559.0	16170.0	8404.0	29756.0	23425.0	39276.0	26148.0	13473.0	17041.0	29080.0	29102.0	29181.0	25598.0	8539.0	8778.0	24940.0	23717.0	38707.0	13242.0	20337.0	17264.0	23869.0	0.0	42815.0	5961.0	21380.0	33201.0	25627.0	8718.0	23749.0	21769.0	20955.0	40860.0	28903.0	23738.0	14376.0
QinN_2014__LD-85__bin.60	27420.0	32682.0	70275.0	49504.0	13114.0	49064.0	40943.0	70447.0	67311.0	17882.0	50488.0	66409.0	41772.0	69656.0	73572.0	73504.0	68643.0	41061.0	38576.0	65407.0	60213.0	69598.0	38692.0	57914.0	69686.0	37449.0	42815.0	0.0	35181.0	32713.0	13941.0	69944.0	31959.0	35916.0	60342.0	32678.0	75705.0	49221.0	62964.0	44392.0
HeQ_2017__RSZAXPI003097-131__bin.33	14957.0	1526.0	19303.0	16287.0	27181.0	16545.0	21825.0	23759.0	23168.0	33246.0	8889.0	19747.0	15359.0	24400.0	23111.0	22972.0	19746.0	21917.0	13515.0	18802.0	20578.0	36135.0	14771.0	22137.0	20208.0	3519.0	5961.0	35181.0	0.0	1513.0	30166.0	19829.0	11851.0	2278.0	19979.0	1500.0	34469.0	8701.0	19187.0	18043.0
OlmMR_2017__S2_005_022G1__bin.11	10358.0	184.0	21636.0	14970.0	27358.0	6213.0	311.0	22384.0	265.0	30352.0	21648.0	20583.0	11064.0	21026.0	150.0	140.0	21750.0	293.0	9942.0	21139.0	8863.0	29528.0	10752.0	1261.0	20673.0	108.0	21380.0	32713.0	1513.0	0.0	25044.0	22222.0	6485.0	86.0	17951.0	116.0	30454.0	114.0	19714.0	794.0
