	HMP_2012__SRS015215__bin.8	HMP_2012__SRS023964__bin.18	HMP_2012__SRS017139__bin.20	HMP_2012__SRS019128__bin.7	HMP_2012__SRS011126__bin.20	HMP_2012__SRS019906__bin.20	HMP_2012__SRS017227__bin.42	HMP_2012__SRS016575__bin.67	HMP_2012__SRS047634__bin.63	HMP_2012__SRS011152__bin.27	HMP_2012__SRS022602__bin.23	HMP_2012__SRS042984__bin.3	HMP_2012__SRS063932__bin.25	HMP_2012__SRS063603__bin.72	HMP_2012__SRS024561__bin.57	HMP_2012__SRS024355__bin.22	HMP_2012__SRS022149__bin.12	HMP_2012__SRS023938__bin.6	HMP_2012__SRS055401__bin.41	HMP_2012__SRS047113__bin.59	HMP_2012__SRS051378__bin.2	HMP_2012__SRS024649__bin.43	HMP_2012__SRS018443__bin.45	HMP_2012__SRS018157__bin.75	HMP_2012__SRS051930__bin.20	HMP_2012__SRS024087__bin.44	HMP_2012__SRS015044__bin.29	HMP_2012__SRS014578__bin.12	HMP_2012__SRS013170__bin.25	HMP_2012__SRS018665__bin.14	HMP_2012__SRS013533__bin.40	HMP_2012__SRS013723__bin.10	HMP_2012__SRS011343__bin.50	HMP_2012__SRS018394__bin.56	HMP_2012__SRS053917__bin.70
HMP_2012__SRS051378__bin.2	1240439.0	1905742.0	1879729.0	1598756.0	1600930.0	2046776.0	1906547.0	1866611.0	1854236.0	1940113.0	1906111.0	1947965.0	1287412.0	1637349.0	1928960.0	1835418.0	1926511.0	1419294.0	1680372.0	1595481.0	2131103.0	1786323.0	1597815.0	1462996.0	1785045.0	1877204.0	1315645.0	1746352.0	1778585.0	1273796.0	1922115.0	1863993.0	1816630.0	1807675.0	1829804.0
HMP_2012__SRS024649__bin.43	1227375.0	1894574.0	1847520.0	1478573.0	1484595.0	1797795.0	1699943.0	1734461.0	1683736.0	1892283.0	1894695.0	1916752.0	1224945.0	1653136.0	1733801.0	1782989.0	1892807.0	1358375.0	1575727.0	1461444.0	1786323.0	2064612.0	1684505.0	1373182.0	1772271.0	1861193.0	1324334.0	1611000.0	1808922.0	1321503.0	1859365.0	1816524.0	1810720.0	1801174.0	1676290.0
HMP_2012__SRS018443__bin.45	1128235.0	1679494.0	1644691.0	1314532.0	1325865.0	1608232.0	1521256.0	1554550.0	1484988.0	1696483.0	1673211.0	1698033.0	1121593.0	1482311.0	1541572.0	1606921.0	1686349.0	1229641.0	1432032.0	1288260.0	1597815.0	1684505.0	1804272.0	1213379.0	1585919.0	1669576.0	1182992.0	1465380.0	1564698.0	1145849.0	1671476.0	1644277.0	1579233.0	1632489.0	1460252.0
HMP_2012__SRS018157__bin.75	925918.0	1435912.0	1405862.0	1288068.0	1307439.0	1457113.0	1438844.0	1410308.0	1446624.0	1431077.0	1440609.0	1425056.0	993646.0	1299341.0	1451875.0	1399578.0	1404190.0	1082778.0	1272185.0	1278004.0	1462996.0	1373182.0	1213379.0	1574747.0	1380030.0	1380474.0	1125517.0	1320105.0	1376024.0	1089587.0	1400497.0	1383664.0	1396035.0	1336807.0	1428942.0
HMP_2012__SRS051930__bin.20	1307694.0	1853256.0	1818264.0	1472421.0	1482946.0	1802938.0	1716589.0	1733316.0	1689936.0	1873050.0	1854064.0	1870975.0	1224914.0	1690180.0	1729688.0	1796946.0	1851120.0	1376807.0	1588219.0	1452024.0	1785045.0	1772271.0	1585919.0	1380030.0	2038859.0	1811380.0	1347129.0	1617819.0	1735818.0	1320081.0	1904204.0	1828973.0	1807727.0	1810203.0	1649219.0
HMP_2012__SRS024087__bin.44	1254845.0	1993771.0	1969519.0	1500308.0	1494322.0	1889319.0	1751406.0	1820632.0	1747145.0	1989665.0	1975390.0	2018220.0	1283576.0	1682037.0	1796755.0	1881871.0	2005895.0	1406633.0	1625217.0	1468946.0	1877204.0	1861193.0	1669576.0	1380474.0	1811380.0	2151341.0	1328249.0	1667194.0	1894645.0	1293386.0	1956197.0	1885660.0	1844323.0	1864029.0	1701547.0
HMP_2012__SRS015044__bin.29	964287.0	1355158.0	1317063.0	1163493.0	1213781.0	1324588.0	1291129.0	1285846.0	1274168.0	1354041.0	1358680.0	1356023.0	945751.0	1319465.0	1313333.0	1293096.0	1328625.0	1049072.0	1189622.0	1204985.0	1315645.0	1324334.0	1182992.0	1125517.0	1347129.0	1328249.0	1445714.0	1244079.0	1310573.0	1092692.0	1366467.0	1340630.0	1326821.0	1322278.0	1287829.0
HMP_2012__SRS014578__bin.12	1141865.0	1709739.0	1686240.0	1432315.0	1434487.0	1739191.0	1657786.0	1671658.0	1627710.0	1722918.0	1721210.0	1728843.0	1159266.0	1528956.0	1681014.0	1665318.0	1713777.0	1289328.0	1539352.0	1420477.0	1746352.0	1611000.0	1465380.0	1320105.0	1617819.0	1667194.0	1244079.0	1898241.0	1601156.0	1199123.0	1694330.0	1675495.0	1645476.0	1643346.0	1607970.0
HMP_2012__SRS013170__bin.25	1193058.0	2013442.0	1986340.0	1497016.0	1466161.0	1785723.0	1690143.0	1733897.0	1704701.0	1963994.0	1996758.0	1988070.0	1209214.0	1633751.0	1722590.0	1851845.0	1985479.0	1336055.0	1549992.0	1446259.0	1778585.0	1808922.0	1564698.0	1376024.0	1735818.0	1894645.0	1310573.0	1601156.0	2056260.0	1292313.0	1855515.0	1801134.0	1808979.0	1770229.0	1661408.0
HMP_2012__SRS018665__bin.14	945540.0	1336754.0	1295692.0	1126583.0	1192450.0	1282984.0	1257627.0	1264021.0	1263134.0	1337692.0	1342071.0	1327429.0	888546.0	1274353.0	1280710.0	1280388.0	1306875.0	1025757.0	1157859.0	1181722.0	1273796.0	1321503.0	1145849.0	1089587.0	1320081.0	1293386.0	1092692.0	1199123.0	1292313.0	1395666.0	1334601.0	1323486.0	1311026.0	1304268.0	1255865.0
HMP_2012__SRS013533__bin.40	1332299.0	1978394.0	1950054.0	1534465.0	1522543.0	1945025.0	1811998.0	1856089.0	1787526.0	2006891.0	1973945.0	2024004.0	1305069.0	1739940.0	1826712.0	1884534.0	2004916.0	1430451.0	1665733.0	1495478.0	1922115.0	1859365.0	1671476.0	1400497.0	1904204.0	1956197.0	1366467.0	1694330.0	1855515.0	1334601.0	2183034.0	1946922.0	1920177.0	1927299.0	1733694.0
HMP_2012__SRS013723__bin.10	1293615.0	1923633.0	1905438.0	1506140.0	1489287.0	1869239.0	1738457.0	1834043.0	1733208.0	1936844.0	1913061.0	1943344.0	1254250.0	1695030.0	1769496.0	1851717.0	1924625.0	1431343.0	1633715.0	1479650.0	1863993.0	1816524.0	1644277.0	1383664.0	1828973.0	1885660.0	1340630.0	1675495.0	1801134.0	1323486.0	1946922.0	2140897.0	1873484.0	1858878.0	1708256.0
HMP_2012__SRS011343__bin.50	1254572.0	1890036.0	1869691.0	1501972.0	1484479.0	1835929.0	1742750.0	1769339.0	1759796.0	1898782.0	1909215.0	1914616.0	1230501.0	1690148.0	1748033.0	1813454.0	1895245.0	1377148.0	1593324.0	1469398.0	1816630.0	1810720.0	1579233.0	1396035.0	1807727.0	1844323.0	1326821.0	1645476.0	1808979.0	1311026.0	1920177.0	1873484.0	2088744.0	1814295.0	1703774.0
HMP_2012__SRS018394__bin.56	1282828.0	1891264.0	1867562.0	1466241.0	1454349.0	1822171.0	1706731.0	1778695.0	1687944.0	1914087.0	1887340.0	1930227.0	1249444.0	1670381.0	1720995.0	1812361.0	1908254.0	1383324.0	1630012.0	1432352.0	1807675.0	1801174.0	1632489.0	1336807.0	1810203.0	1864029.0	1322278.0	1643346.0	1770229.0	1304268.0	1927299.0	1858878.0	1814295.0	2069661.0	1641887.0
HMP_2012__SRS053917__bin.70	1135575.0	1749346.0	1706385.0	1569541.0	1559320.0	1820059.0	1725777.0	1715862.0	1717372.0	1745219.0	1751243.0	1747752.0	1169295.0	1569143.0	1766890.0	1670460.0	1728440.0	1286709.0	1535731.0	1543384.0	1829804.0	1676290.0	1460252.0	1428942.0	1649219.0	1701547.0	1287829.0	1607970.0	1661408.0	1255865.0	1733694.0	1708256.0	1703774.0	1641887.0	1964095.0
