	QinN_2014__HD-35__bin.38	NielsenHB_2014__MH0063__bin.7	ZeeviD_2015__PNP_Main_643__bin.11	CosteaPI_2017__SID713B014-11-0-0__bin.75	ZeeviD_2015__PNP_Main_393__bin.10	ZeeviD_2015__PNP_Main_256__bin.32	LoombaR_2017__SID0012_qdz__bin.20	LiuW_2016__SRR3993048__bin.89	ChengpingW_2017__AS78raw__bin.26	LiJ_2014__O2.UC24-1__bin.30	ZeeviD_2015__PNP_Main_313__bin.25	WenC_2017__N041__bin.34	CM_madagascar__A91_01_1FE__bin.7	LiJ_2014__MH0402__bin.26	ZeeviD_2015__PNP_Validation_66__bin.3	SchirmerM_2016__G88801__bin.13	BritoIL_2016__M1.3.ST__bin.37	ZeeviD_2015__PNP_Main_597__bin.40	LiJ_2017__H2M614904__bin.68	CosteaPI_2017__SID713B066-11-90-0__bin.49	CosteaPI_2017__SID713A056-11-90-0__bin.34	ZeeviD_2015__PNP_Main_46__bin.29	LiJ_2017__H3M516751__bin.20	CosteaPI_2017__SID713B066-11-0-0__bin.59	ChengpingW_2017__AS67raw__bin.51	CM_madagascar__A39_01_1FE__bin.25	LiuW_2016__SRR3992978__bin.28	ZeeviD_2015__PNP_Main_650__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.68	LeChatelierE_2013__MH0063__bin.4	XieH_2016__YSZC12003_37100__bin.78	XieH_2016__YSZC12003_37652__bin.105	CosteaPI_2017__SID713A055-11-90-0__bin.41	LiuW_2016__SRR3993017__bin.46	BackhedF_2015__SID335_M__bin.68	CM_madagascar__A08_01_1FE__bin.70	LeChatelierE_2013__MH0430__bin.16	ZeeviD_2015__PNP_Main_634__bin.3	ZeeviD_2015__PNP_Main_107__bin.49	ZeeviD_2015__PNP_Main_438__bin.46	XieH_2016__YSZC12003_35989__bin.106	NielsenHB_2014__O2_UC24_2__bin.22	BritoIL_2016__M2.49.ST__bin.75	CosteaPI_2017__SID713B014-11-90-0__bin.30	BritoIL_2016__M1.15.ST__bin.73	LiuW_2016__SRR3992961__bin.139	CosteaPI_2017__SID713A014-11-0-0__bin.30	LiJ_2017__H1M513729__bin.50	LiJ_2014__MH0357__bin.7
CosteaPI_2017__SID713A056-11-90-0__bin.34	1420623.0	1190440.0	979281.0	1645780.0	1602095.0	1619003.0	1551927.0	1444983.0	1583854.0	1561459.0	1568086.0	1524902.0	1471928.0	1505318.0	1583497.0	1031902.0	1035489.0	1675142.0	1561659.0	1628289.0	1896981.0	1619306.0	1583326.0	1504141.0	1613232.0	827036.0	1428729.0	1167109.0	1531049.0	1471882.0	1524298.0	1340598.0	1551155.0	1616703.0	1313266.0	1626306.0	1417682.0	1616693.0	1521435.0	1683850.0	1515658.0	1590594.0	1641469.0	1640782.0	1613756.0	1041385.0	1290286.0	768461.0	1621221.0
ZeeviD_2015__PNP_Main_46__bin.29	1408235.0	1196577.0	969597.0	1601668.0	1590536.0	1587139.0	1537719.0	1440779.0	1575400.0	1539034.0	1555878.0	1515809.0	1467687.0	1503213.0	1579646.0	1025726.0	1031533.0	1618823.0	1555558.0	1585158.0	1619306.0	1709694.0	1561531.0	1481915.0	1594793.0	824088.0	1417061.0	1141354.0	1525702.0	1476012.0	1513457.0	1347355.0	1534078.0	1589990.0	1289288.0	1604669.0	1405942.0	1588898.0	1516523.0	1619218.0	1508329.0	1558291.0	1608801.0	1600171.0	1593373.0	1043837.0	1284002.0	768801.0	1595450.0
LiJ_2017__H3M516751__bin.20	1397637.0	1184406.0	948880.0	1614932.0	1551164.0	1553053.0	1509704.0	1423879.0	1543080.0	1510588.0	1524488.0	1512753.0	1446410.0	1467257.0	1551987.0	1015791.0	1029755.0	1569489.0	1526885.0	1549687.0	1583326.0	1561531.0	1786494.0	1448957.0	1573606.0	811298.0	1385520.0	1231946.0	1492995.0	1446769.0	1491371.0	1319546.0	1520111.0	1555992.0	1276249.0	1587553.0	1389796.0	1548804.0	1477039.0	1574077.0	1507377.0	1524896.0	1571697.0	1584698.0	1566786.0	1036471.0	1259347.0	756504.0	1552218.0
CosteaPI_2017__SID713B066-11-0-0__bin.59	1298039.0	1111593.0	912483.0	1483300.0	1480663.0	1465588.0	1415157.0	1337760.0	1458480.0	1410361.0	1438300.0	1416459.0	1369046.0	1390404.0	1464815.0	951593.0	977084.0	1490690.0	1466183.0	1571728.0	1504141.0	1481915.0	1448957.0	1614398.0	1471614.0	772913.0	1306815.0	1048944.0	1417537.0	1351319.0	1407575.0	1249818.0	1430526.0	1465243.0	1200994.0	1481243.0	1302108.0	1471741.0	1408369.0	1487505.0	1390890.0	1449531.0	1487409.0	1484261.0	1477592.0	970265.0	1192441.0	712731.0	1462801.0
ChengpingW_2017__AS67raw__bin.51	1440891.0	1190357.0	957939.0	1698430.0	1569265.0	1594166.0	1531819.0	1443778.0	1627161.0	1538171.0	1557646.0	1581521.0	1463050.0	1488233.0	1568725.0	1025403.0	1035639.0	1600138.0	1625731.0	1590061.0	1613232.0	1594793.0	1573606.0	1471614.0	1762870.0	819795.0	1415273.0	1173195.0	1517582.0	1472326.0	1501836.0	1341060.0	1515788.0	1593371.0	1291934.0	1594862.0	1388617.0	1565971.0	1510708.0	1610871.0	1553840.0	1551792.0	1609869.0	1686817.0	1596735.0	1038477.0	1296850.0	776986.0	1579644.0
CM_madagascar__A39_01_1FE__bin.25	749378.0	623760.0	536146.0	821458.0	830384.0	824077.0	815385.0	773788.0	814928.0	807376.0	812200.0	790511.0	806520.0	802032.0	818436.0	593500.0	566828.0	829031.0	809222.0	828903.0	827036.0	824088.0	811298.0	772913.0	819795.0	871966.0	796298.0	654851.0	804496.0	773829.0	797135.0	736193.0	794780.0	825101.0	709347.0	826502.0	769330.0	819633.0	804907.0	828841.0	782301.0	821736.0	828169.0	821161.0	823725.0	635253.0	759295.0	504470.0	828669.0
LiuW_2016__SRR3992978__bin.28	1276636.0	1075880.0	877959.0	1416906.0	1419481.0	1406901.0	1441030.0	1348545.0	1398492.0	1408430.0	1382541.0	1358426.0	1355987.0	1373748.0	1392241.0	974246.0	958605.0	1433366.0	1393374.0	1416168.0	1428729.0	1417061.0	1385520.0	1306815.0	1415273.0	796298.0	1501511.0	1049678.0	1387228.0	1330027.0	1370063.0	1243667.0	1360741.0	1458752.0	1185228.0	1420386.0	1309581.0	1400813.0	1384971.0	1429208.0	1338534.0	1449354.0	1426105.0	1414200.0	1413138.0	1019979.0	1236764.0	744156.0	1418116.0
ZeeviD_2015__PNP_Main_650__bin.39	1049230.0	868462.0	792338.0	1177949.0	1156154.0	1131711.0	1123226.0	1060776.0	1161523.0	1122542.0	1117403.0	1123058.0	1081414.0	1098675.0	1125764.0	796805.0	794753.0	1158354.0	1136202.0	1153116.0	1167109.0	1141354.0	1231946.0	1048944.0	1173195.0	654851.0	1049678.0	1271923.0	1109250.0	1072363.0	1130375.0	1000235.0	1104501.0	1156952.0	971961.0	1149211.0	1036530.0	1127115.0	1096927.0	1158286.0	1111677.0	1142191.0	1147492.0	1174112.0	1150317.0	802251.0	990193.0	631441.0	1143184.0
Bengtsson-PalmeJ_2015__TRAVELRES11__bin.68	1360931.0	1205350.0	940171.0	1524006.0	1527996.0	1505082.0	1485948.0	1394367.0	1498120.0	1482771.0	1485814.0	1443184.0	1435487.0	1522733.0	1613239.0	1056395.0	992670.0	1531817.0	1502589.0	1526502.0	1531049.0	1525702.0	1492995.0	1417537.0	1517582.0	804496.0	1387228.0	1109250.0	1863339.0	1481919.0	1466267.0	1301384.0	1481758.0	1535939.0	1236638.0	1519964.0	1375903.0	1512321.0	1540099.0	1530795.0	1449069.0	1526372.0	1532031.0	1524541.0	1522109.0	1024657.0	1246844.0	746558.0	1516147.0
LeChatelierE_2013__MH0063__bin.4	1319962.0	1181976.0	911036.0	1480762.0	1471405.0	1447385.0	1428751.0	1347715.0	1452961.0	1424915.0	1443697.0	1412913.0	1401748.0	1462180.0	1446809.0	993759.0	964838.0	1471993.0	1479001.0	1431413.0	1471882.0	1476012.0	1446769.0	1351319.0	1472326.0	773829.0	1330027.0	1072363.0	1481919.0	1543913.0	1428045.0	1260745.0	1416078.0	1464626.0	1205694.0	1466031.0	1328227.0	1447394.0	1468903.0	1473426.0	1402422.0	1454385.0	1468405.0	1480757.0	1463980.0	995354.0	1214134.0	735105.0	1463586.0
