	NielsenHB_2014__O2_UC16_2__bin.27	QinN_2014__LV-11__bin.12	ZeeviD_2015__PNP_Main_232__bin.44	Obregon-TitoAJ_2015__SM25__bin.23	CosteaPI_2017__SID713B003-11-90-0__bin.22	SchirmerM_2016__G88842__bin.7	ZellerG_2014__CCIS87116798ST-4-0__bin.37	ZellerG_2014__CCIS74726977ST-3-0__bin.91	ZeeviD_2015__PNP_Main_151__bin.1	CM_madagascar__A81_03_1FE__bin.28	LeChatelierE_2013__MH0152__bin.35	BackhedF_2015__SID39_M__bin.33	CosteaPI_2017__SID713A066-11-90-0__bin.18	NielsenHB_2014__O2_UC16_0__bin.5	LiJ_2014__MH0394__bin.43	CM_madagascar__V53_02_1FE__bin.39	LeChatelierE_2013__MH0046__bin.14	KarlssonFH_2013__S587__bin.28	ZeeviD_2015__PNP_Main_342__bin.22	ZeeviD_2015__PNP_Main_311__bin.11	ZeeviD_2015__PNP_Main_500__bin.44	Obregon-TitoAJ_2015__SM41__bin.13	LiuW_2016__SRR3993044__bin.61	CosteaPI_2017__SID713A089-11-0-0__bin.31	ZeeviD_2015__PNP_Main_126__bin.9	LiJ_2014__MH0400__bin.70	ZellerG_2014__CCIS77252613ST-4-0__bin.9	ZeeviD_2015__PNP_Main_744__bin.10	LiJ_2014__O2.UC16-1__bin.11	Obregon-TitoAJ_2015__SM24__bin.26	Obregon-TitoAJ_2015__SM40__bin.38	ZellerG_2014__CCIS19142497ST-3-0__bin.15	BritoIL_2016__W2.15.ST__bin.7	CM_madagascar__V36_02_2FE__bin.25	QinN_2014__HV-21__bin.18	ZellerG_2014__CCMD34381688ST-21-0__bin.4	CosteaPI_2017__SID713A066-11-0-0__bin.30	LiJ_2014__MH0389__bin.49	ChengpingW_2017__AS38raw__bin.17	LiJ_2017__H2M513938__bin.67	XieH_2016__YSZC12003_37315__bin.53	LeChatelierE_2013__MH0288__bin.38	ZellerG_2014__CCIS48174381ST-4-0__bin.65	Obregon-TitoAJ_2015__SM23__bin.16
ZeeviD_2015__PNP_Main_500__bin.44	53071.0	46090.0	18039.0	46367.0	35793.0	47664.0	49876.0	43721.0	38856.0	46014.0	46043.0	39254.0	51505.0	50067.0	58159.0	49714.0	45659.0	57127.0	56400.0	38699.0	0.0	36779.0	51608.0	39615.0	33454.0	46290.0	40018.0	33568.0	55706.0	27271.0	40457.0	54820.0	47131.0	30829.0	50061.0	49711.0	44841.0	46061.0	45536.0	44182.0	39184.0	38754.0	52879.0	52544.0
Obregon-TitoAJ_2015__SM41__bin.13	56376.0	52781.0	29504.0	51965.0	42385.0	49977.0	45735.0	51510.0	41441.0	51759.0	48270.0	43165.0	55774.0	53765.0	59134.0	54144.0	44486.0	59026.0	55009.0	45779.0	36779.0	0.0	55100.0	43538.0	40853.0	51570.0	49937.0	37045.0	57306.0	35102.0	46337.0	56187.0	54420.0	35352.0	56223.0	37605.0	48871.0	49424.0	52585.0	54986.0	52670.0	44123.0	54989.0	54361.0
LiuW_2016__SRR3993044__bin.61	66509.0	74726.0	41851.0	72899.0	41605.0	59910.0	57104.0	57717.0	50196.0	74677.0	59877.0	48236.0	64705.0	63956.0	77731.0	80190.0	54831.0	75883.0	75460.0	56996.0	51608.0	55100.0	0.0	44532.0	42648.0	66789.0	56947.0	41019.0	69021.0	47609.0	60424.0	69043.0	75343.0	54068.0	78678.0	46414.0	58950.0	68871.0	68759.0	75947.0	73429.0	51762.0	71634.0	78986.0
CosteaPI_2017__SID713A089-11-0-0__bin.31	47307.0	54896.0	27230.0	56111.0	14004.0	47185.0	40913.0	40234.0	44271.0	53197.0	45525.0	39849.0	14729.0	45014.0	55114.0	54780.0	42786.0	54688.0	53529.0	41566.0	39615.0	43538.0	44532.0	0.0	31549.0	47228.0	43182.0	30940.0	50439.0	36450.0	46217.0	45527.0	54012.0	38660.0	59328.0	36125.0	12881.0	47150.0	52292.0	51180.0	50855.0	38458.0	50861.0	56827.0
ZeeviD_2015__PNP_Main_126__bin.9	37111.0	46591.0	22196.0	46537.0	27101.0	38696.0	33855.0	31518.0	35572.0	45780.0	37997.0	31128.0	35272.0	35479.0	45529.0	47765.0	37052.0	45233.0	44273.0	34551.0	33454.0	40853.0	42648.0	31549.0	0.0	36741.0	34198.0	24812.0	37562.0	27860.0	39777.0	38673.0	46321.0	31133.0	47176.0	32632.0	29149.0	37561.0	42649.0	46228.0	46549.0	37087.0	43577.0	47501.0
LiJ_2014__MH0400__bin.70	64180.0	71134.0	34030.0	66628.0	43451.0	60172.0	52259.0	56799.0	45671.0	68939.0	59027.0	47347.0	63365.0	59438.0	76392.0	69833.0	57094.0	72423.0	73288.0	46459.0	46290.0	51570.0	66789.0	47228.0	36741.0	0.0	46775.0	37504.0	65683.0	44240.0	59946.0	65270.0	69420.0	49487.0	75787.0	45966.0	56328.0	59376.0	64247.0	68161.0	63323.0	50140.0	70696.0	76001.0
ZellerG_2014__CCIS77252613ST-4-0__bin.9	56275.0	63829.0	30548.0	62407.0	42208.0	55982.0	47368.0	48247.0	43833.0	63786.0	53499.0	42793.0	54653.0	53458.0	65537.0	64019.0	48638.0	64620.0	63504.0	44427.0	40018.0	49937.0	56947.0	43182.0	34198.0	46775.0	0.0	34558.0	58907.0	39277.0	54290.0	57232.0	62069.0	45150.0	66336.0	43160.0	49070.0	48918.0	56489.0	59272.0	54787.0	44560.0	60912.0	65758.0
ZeeviD_2015__PNP_Main_744__bin.10	38810.0	47482.0	23106.0	46032.0	28131.0	37502.0	35919.0	33554.0	32608.0	46033.0	37320.0	36105.0	34565.0	38001.0	44704.0	45722.0	38193.0	44370.0	42863.0	33774.0	33568.0	37045.0	41019.0	30940.0	24812.0	37504.0	34558.0	0.0	40164.0	29526.0	38111.0	35272.0	46846.0	31911.0	46564.0	29643.0	30654.0	37729.0	44543.0	42920.0	43181.0	33243.0	41475.0	48595.0
LiJ_2014__O2.UC16-1__bin.11	3081.0	76025.0	43549.0	76818.0	45320.0	68983.0	55209.0	60076.0	54212.0	79244.0	65180.0	50379.0	66057.0	4996.0	83642.0	83374.0	59515.0	80448.0	80303.0	53224.0	55706.0	57306.0	69021.0	50439.0	37562.0	65683.0	58907.0	40164.0	0.0	50330.0	66181.0	68578.0	78200.0	57693.0	82472.0	51741.0	60775.0	67519.0	69779.0	80308.0	78510.0	51790.0	77686.0	88930.0
Obregon-TitoAJ_2015__SM24__bin.26	49205.0	45166.0	31582.0	2162.0	33799.0	41670.0	37690.0	42998.0	34151.0	46798.0	43334.0	33597.0	46112.0	45341.0	51715.0	48040.0	37873.0	52081.0	50299.0	39041.0	27271.0	35102.0	47609.0	36450.0	27860.0	44240.0	39277.0	29526.0	50330.0	0.0	8430.0	48279.0	46129.0	35985.0	49202.0	26863.0	43749.0	44810.0	41998.0	46064.0	43631.0	34266.0	49986.0	4353.0
