	BritoIL_2016__W3.20.ST__bin.21	BritoIL_2016__W2.61.ST__bin.18	Obregon-TitoAJ_2015__HCO74__bin.29	BritoIL_2016__W2.23.ST__bin.47	Obregon-TitoAJ_2015__SM31__bin.16	CM_madagascar__A47_01_1FE__bin.7	BritoIL_2016__W1.5.ST__bin.49	CM_madagascar__A46_02_1FE__bin.13	CM_madagascar__A04_04_1FE__bin.47	BritoIL_2016__WL.43.ST__bin.74	Obregon-TitoAJ_2015__SM43__bin.39	BritoIL_2016__W1.42.ST__bin.78	BritoIL_2016__WL.26.ST__bin.47	BritoIL_2016__W1.40.ST__bin.10	SmitsSA_2017__TZ_29321__bin.1	DavidLA_2015__LD-Run2-11__bin.7	BritoIL_2016__WL.28.ST__bin.21	CM_madagascar__A62_01_1FE__bin.65	BritoIL_2016__W1.22.ST__bin.59	BritoIL_2016__W1.9.ST__bin.49	BritoIL_2016__M1.48.ST__bin.96	CM_madagascar__V32_02_2FE__bin.3	RampelliS_2015__H24__bin.33	BritoIL_2016__W2.5.ST__bin.71	BritoIL_2016__WL.2.ST__bin.57	RampelliS_2015__H20__bin.18	BritoIL_2016__W1.21.ST__bin.42	RampelliS_2015__H10__bin.78	CM_madagascar__A40_02_1FE__bin.22	Obregon-TitoAJ_2015__HCO11__bin.31	CM_madagascar__A72_02_1FE__bin.10	BritoIL_2016__M1.24.ST__bin.70	CM_madagascar__A13_03_1FE__bin.44	BritoIL_2016__M2.37.ST__bin.7	BritoIL_2016__W2.39.ST__bin.74	RampelliS_2015__H8__bin.12	BritoIL_2016__W2.63.ST__bin.39	RampelliS_2015__H1__bin.43	CM_madagascar__A48_01_1FE__bin.10
BritoIL_2016__M1.48.ST__bin.96	894148.0	970870.0	1093558.0	1079643.0	906946.0	1096802.0	1085213.0	1057693.0	1030850.0	877414.0	1069863.0	864443.0	1064603.0	1029842.0	794457.0	1021035.0	1085119.0	1065875.0	1039579.0	1098180.0	1141578.0	1106811.0	1087689.0	908406.0	1052280.0	924138.0	1078435.0	970962.0	1095626.0	999231.0	1077696.0	1079922.0	1032332.0	734400.0	1062804.0	1086737.0	1080357.0	1082692.0	828016.0
CM_madagascar__V32_02_2FE__bin.3	944597.0	1125938.0	2215802.0	2211201.0	1778371.0	2310439.0	1271933.0	2200004.0	1326703.0	1443389.0	2212919.0	1350215.0	2213909.0	1714672.0	1344373.0	1920134.0	2242972.0	2252460.0	1331696.0	1259121.0	1106811.0	2422143.0	2295770.0	1508507.0	2152928.0	975064.0	2258624.0	1876684.0	2232235.0	1461128.0	2215310.0	2202902.0	1926277.0	1089327.0	2241692.0	2168568.0	2244274.0	1254255.0	1391867.0
RampelliS_2015__H24__bin.33	939083.0	1121234.0	2195216.0	2187905.0	1768129.0	2229408.0	1247557.0	2196500.0	1305909.0	1431893.0	2208990.0	1349604.0	2204476.0	1701665.0	1338243.0	1914689.0	2214328.0	2224612.0	1316941.0	1245622.0	1087689.0	2295770.0	2466885.0	1501312.0	2152503.0	949602.0	2240152.0	1867941.0	2209952.0	1446019.0	2214903.0	2214376.0	1911815.0	1091447.0	2230954.0	2173593.0	2235531.0	1253710.0	1388128.0
BritoIL_2016__W2.5.ST__bin.71	751647.0	905173.0	1471118.0	1462862.0	1250303.0	1453061.0	1019139.0	1452813.0	1021358.0	1077001.0	1458658.0	1013014.0	1457577.0	1232665.0	973857.0	1339775.0	1478708.0	1471420.0	1038194.0	985739.0	908406.0	1508507.0	1501312.0	1559962.0	1463737.0	778667.0	1481468.0	1303378.0	1480082.0	1089884.0	1466094.0	1463418.0	1338394.0	801743.0	1478593.0	1448703.0	1478225.0	988394.0	1005194.0
BritoIL_2016__WL.2.ST__bin.57	908137.0	1098734.0	2062208.0	2108666.0	1701997.0	2064854.0	1199391.0	2056865.0	1265802.0	1384816.0	2073500.0	1310203.0	2119051.0	1622274.0	1274947.0	1832264.0	2134774.0	2125980.0	1289801.0	1198215.0	1052280.0	2152928.0	2152503.0	1463737.0	2232504.0	900925.0	2143804.0	1801494.0	2076112.0	1389080.0	2078259.0	2127997.0	1816025.0	1051307.0	2177069.0	2016059.0	2141558.0	1167357.0	1316449.0
RampelliS_2015__H20__bin.18	736540.0	821846.0	970656.0	931535.0	802400.0	965903.0	934047.0	924851.0	883883.0	755453.0	948511.0	745126.0	928553.0	915120.0	695699.0	885986.0	929895.0	938016.0	886278.0	938679.0	924138.0	975064.0	949602.0	778667.0	900925.0	1053568.0	957100.0	827151.0	964979.0	893413.0	952076.0	931007.0	905120.0	594157.0	919080.0	988315.0	929040.0	947381.0	709248.0
BritoIL_2016__W1.21.ST__bin.42	948379.0	1113561.0	2150893.0	2187488.0	1753761.0	2157048.0	1293068.0	2139221.0	1308863.0	1402710.0	2170338.0	1343432.0	2203968.0	1690156.0	1308567.0	1905508.0	2207291.0	2202679.0	1322268.0	1244497.0	1078435.0	2258624.0	2240152.0	1481468.0	2143804.0	957100.0	2396852.0	1854988.0	2164522.0	1445169.0	2182660.0	2194174.0	1885470.0	1092101.0	2214179.0	2102019.0	2226640.0	1225556.0	1360823.0
RampelliS_2015__H10__bin.78	844167.0	1015840.0	1804013.0	1817105.0	1489660.0	1820084.0	1121615.0	1809386.0	1166712.0	1250461.0	1819846.0	1189442.0	1813390.0	1451705.0	1153610.0	1631559.0	1834715.0	1834145.0	1169745.0	1091848.0	970962.0	1876684.0	1867941.0	1303378.0	1801494.0	827151.0	1854988.0	1978955.0	1831918.0	1256897.0	1807818.0	1829586.0	1617342.0	965637.0	1840985.0	1776995.0	1843965.0	1086959.0	1191779.0
CM_madagascar__A40_02_1FE__bin.22	927169.0	1092983.0	2134703.0	2136144.0	1718081.0	2178998.0	1253167.0	2115724.0	1279746.0	1407912.0	2139730.0	1325120.0	2134871.0	1677034.0	1326942.0	1875617.0	2151370.0	2175652.0	1285583.0	1218080.0	1095626.0	2232235.0	2209952.0	1480082.0	2076112.0	964979.0	2164522.0	1831918.0	2347282.0	1428799.0	2152168.0	2135534.0	1905835.0	1066850.0	2158754.0	2086748.0	2157094.0	1227159.0	1366946.0
Obregon-TitoAJ_2015__HCO11__bin.31	870809.0	1064591.0	1423358.0	1408009.0	1195462.0	1414377.0	1181720.0	1369691.0	1188727.0	1041627.0	1408873.0	1014540.0	1421553.0	1354729.0	958813.0	1300390.0	1423058.0	1418024.0	1142931.0	1124489.0	999231.0	1461128.0	1446019.0	1089884.0	1389080.0	893413.0	1445169.0	1256897.0	1428799.0	1557359.0	1393577.0	1445972.0	1280495.0	935043.0	1427891.0	1413444.0	1440323.0	1122738.0	995621.0
CM_madagascar__A72_02_1FE__bin.10	904877.0	1088777.0	2123335.0	2121874.0	1723120.0	2139816.0	1219560.0	2137347.0	1276340.0	1396381.0	2155840.0	1334408.0	2131902.0	1658675.0	1300864.0	1869331.0	2146486.0	2145072.0	1296443.0	1216980.0	1077696.0	2215310.0	2214903.0	1466094.0	2078259.0	952076.0	2182660.0	1807818.0	2152168.0	1393577.0	2329387.0	2124963.0	1883952.0	1039774.0	2150696.0	2083908.0	2159980.0	1217952.0	1349561.0
BritoIL_2016__M1.24.ST__bin.70	948260.0	1118754.0	2097311.0	2143708.0	1716492.0	2123472.0	1234942.0	2090758.0	1300981.0	1395974.0	2139419.0	1331962.0	2191118.0	1682470.0	1286122.0	1869595.0	2196977.0	2159979.0	1306228.0	1235169.0	1079922.0	2202902.0	2214376.0	1463418.0	2127997.0	931007.0	2194174.0	1829586.0	2135534.0	1445972.0	2124963.0	2328841.0	1842182.0	1073704.0	2218185.0	2063072.0	2181961.0	1200754.0	1334493.0
CM_madagascar__A13_03_1FE__bin.44	862850.0	1028221.0	1872350.0	1851617.0	1524333.0	1865299.0	1162682.0	1845714.0	1163489.0	1285856.0	1858940.0	1188415.0	1847322.0	1472938.0	1202179.0	1687463.0	1864451.0	1879661.0	1195653.0	1141194.0	1032332.0	1926277.0	1911815.0	1338394.0	1816025.0	905120.0	1885470.0	1617342.0	1905835.0	1280495.0	1883952.0	1842182.0	2070363.0	964196.0	1881999.0	1834665.0	1874521.0	1145697.0	1252963.0
BritoIL_2016__M2.37.ST__bin.7	753710.0	839146.0	1067093.0	1073632.0	883427.0	1065612.0	884546.0	1045207.0	844720.0	793180.0	1069537.0	771439.0	1087921.0	1044643.0	708098.0	996046.0	1102638.0	1062449.0	956196.0	854320.0	734400.0	1089327.0	1091447.0	801743.0	1051307.0	594157.0	1092101.0	965637.0	1066850.0	935043.0	1039774.0	1073704.0	964196.0	1129903.0	1093572.0	1065518.0	1087597.0	835432.0	777811.0
BritoIL_2016__W2.39.ST__bin.74	926139.0	1132242.0	2141198.0	2187408.0	1735386.0	2154892.0	1223309.0	2131104.0	1278425.0	1397755.0	2165814.0	1342654.0	2198174.0	1667608.0	1298208.0	1885192.0	2240841.0	2206093.0	1330248.0	1213657.0	1062804.0	2241692.0	2230954.0	1478593.0	2177069.0	919080.0	2214179.0	1840985.0	2158754.0	1427891.0	2150696.0	2218185.0	1881999.0	1093572.0	2363908.0	2080484.0	2221115.0	1189645.0	1346308.0
RampelliS_2015__H8__bin.12	925392.0	1107064.0	2096326.0	2046769.0	1691635.0	2110762.0	1240039.0	2057399.0	1292616.0	1375717.0	2091000.0	1293112.0	2057847.0	1634392.0	1271942.0	1824167.0	2066617.0	2091783.0	1295911.0	1212263.0	1086737.0	2168568.0	2173593.0	1448703.0	2016059.0	988315.0	2102019.0	1776995.0	2086748.0	1413444.0	2083908.0	2063072.0	1834665.0	1065518.0	2080484.0	2334411.0	2088384.0	1228706.0	1324610.0
BritoIL_2016__W2.63.ST__bin.39	938593.0	1137042.0	2152094.0	2201526.0	1744359.0	2167009.0	1235152.0	2129018.0	1292629.0	1413150.0	2157099.0	1347622.0	2192541.0	1679875.0	1301895.0	1899720.0	2250357.0	2203678.0	1341322.0	1236702.0	1080357.0	2244274.0	2235531.0	1478225.0	2141558.0	929040.0	2226640.0	1843965.0	2157094.0	1440323.0	2159980.0	2181961.0	1874521.0	1087597.0	2221115.0	2088384.0	2341176.0	1204615.0	1348548.0
RampelliS_2015__H1__bin.43	903532.0	1067271.0	1241332.0	1195494.0	1002827.0	1217212.0	1197034.0	1194527.0	1134945.0	948293.0	1198118.0	947611.0	1198385.0	1142294.0	875328.0	1135364.0	1215958.0	1193775.0	1085593.0	1159252.0	1082692.0	1254255.0	1253710.0	988394.0	1167357.0	947381.0	1225556.0	1086959.0	1227159.0	1122738.0	1217952.0	1200754.0	1145697.0	835432.0	1189645.0	1228706.0	1204615.0	1378546.0	898952.0
CM_madagascar__A48_01_1FE__bin.10	704907.0	814883.0	1344770.0	1338700.0	1105877.0	1360719.0	920385.0	1348022.0	917504.0	962241.0	1345870.0	880304.0	1333091.0	1126390.0	907789.0	1243359.0	1358471.0	1352779.0	954884.0	886073.0	828016.0	1391867.0	1388128.0	1005194.0	1316449.0	709248.0	1360823.0	1191779.0	1366946.0	995621.0	1349561.0	1334493.0	1252963.0	777811.0	1346308.0	1324610.0	1348548.0	898952.0	1428579.0
