	KarlssonFH_2013__S517__bin.51	BritoIL_2016__WL.11.ST__bin.23	LeChatelierE_2013__MH0247__bin.73	ZellerG_2014__CCIS90903952ST-3-0__bin.20	ZeeviD_2015__PNP_Main_65__bin.27	ZeeviD_2015__PNP_Main_216__bin.37	SchirmerM_2016__G88853__bin.18	ZellerG_2014__CCIS74239020ST-4-0__bin.25	LiJ_2014__MH0374__bin.3	BritoIL_2016__M1.24.ST__bin.68	BritoIL_2016__M1.37.ST__bin.55	CosteaPI_2017__tigress-11-60-0__bin.19	ZeeviD_2015__PNP_Main_391__bin.18	BritoIL_2016__M2.40.ST__bin.42	LeChatelierE_2013__MH0422__bin.89	CosteaPI_2017__tigress-11-2-0__bin.2	BritoIL_2016__M2.11.ST__bin.69	ZeeviD_2015__PNP_Main_357__bin.9	ZeeviD_2015__PNP_Validation_63__bin.18	ZeeviD_2015__PNP_Main_311__bin.24	YuJ_2015__SZAXPI017591-140__bin.72	WenC_2017__RA030__bin.18	LeChatelierE_2013__MH0428__bin.46	ZeeviD_2015__PNP_Main_310__bin.38	FengQ_2015__SID31549__bin.26	CosteaPI_2017__tigress-11-0-0__bin.31	ZeeviD_2015__PNP_Main_589__bin.70	SchirmerM_2016__G89030__bin.39	CosteaPI_2017__SID713B007-11-0-0__bin.12	LiJ_2014__MH0345__bin.67	CM_madagascar__V48_03_2FE__bin.12	ZeeviD_2015__PNP_Main_287__bin.67	SchirmerM_2016__G89199__bin.19	LeChatelierE_2013__MH0447__bin.112	BritoIL_2016__M2.36.ST__bin.81	ZeeviD_2015__PNP_Main_34__bin.13	BritoIL_2016__W1.44.ST__bin.5	SchirmerM_2016__G89113__bin.12	CosteaPI_2017__tigress-11-7-0__bin.36
WenC_2017__RA030__bin.18	45873.0	41929.0	21947.0	44785.0	43335.0	45762.0	35098.0	43957.0	24558.0	45901.0	45474.0	45783.0	45665.0	42037.0	46077.0	43603.0	42285.0	45484.0	40247.0	45898.0	36152.0	0.0	46289.0	46613.0	34994.0	46326.0	33581.0	40895.0	46225.0	45416.0	43659.0	41382.0	37165.0	44150.0	27269.0	45265.0	47506.0	42310.0	47132.0
LeChatelierE_2013__MH0428__bin.46	29714.0	45432.0	15985.0	28477.0	48290.0	29937.0	34868.0	28368.0	19135.0	31293.0	32286.0	30405.0	30637.0	30696.0	28548.0	27957.0	45411.0	28333.0	27373.0	28335.0	50826.0	46289.0	0.0	30731.0	22823.0	31156.0	21160.0	25765.0	28582.0	29449.0	49464.0	25768.0	23066.0	28807.0	32270.0	27218.0	54533.0	35038.0	31531.0
ZeeviD_2015__PNP_Main_310__bin.38	31430.0	47323.0	15811.0	29222.0	49636.0	33897.0	37336.0	28419.0	18479.0	31402.0	32329.0	30832.0	32683.0	30866.0	30314.0	28333.0	45400.0	30433.0	27976.0	31448.0	55261.0	46613.0	30731.0	0.0	23456.0	31636.0	21509.0	24884.0	30387.0	30911.0	49604.0	11234.0	25518.0	29504.0	33080.0	29444.0	56435.0	36384.0	31745.0
FengQ_2015__SID31549__bin.26	22298.0	36127.0	10955.0	22402.0	38366.0	26262.0	28822.0	21572.0	12355.0	22346.0	23026.0	21937.0	24888.0	22449.0	19750.0	21099.0	36595.0	23171.0	21331.0	22435.0	39878.0	34994.0	22823.0	23456.0	0.0	22411.0	16499.0	21137.0	20788.0	21324.0	37166.0	20565.0	19257.0	20701.0	23059.0	23895.0	41524.0	26433.0	22775.0
CosteaPI_2017__tigress-11-0-0__bin.31	29442.0	46137.0	15023.0	26560.0	49296.0	33076.0	36080.0	25728.0	18475.0	30156.0	31450.0	424.0	31849.0	29902.0	29463.0	989.0	45847.0	29374.0	26745.0	30546.0	54223.0	46326.0	31156.0	31636.0	22411.0	0.0	21620.0	25078.0	29962.0	31279.0	49830.0	25905.0	23419.0	29435.0	32485.0	30724.0	55729.0	33951.0	200.0
ZeeviD_2015__PNP_Main_589__bin.70	19975.0	34012.0	9221.0	19460.0	37963.0	23785.0	24738.0	20529.0	10680.0	20803.0	21161.0	21465.0	22743.0	20422.0	20137.0	20428.0	33824.0	21465.0	20201.0	20604.0	37811.0	33581.0	21160.0	21509.0	16499.0	21620.0	0.0	19754.0	19463.0	21237.0	36377.0	19305.0	18291.0	6383.0	22134.0	20612.0	40901.0	23296.0	22051.0
SchirmerM_2016__G89030__bin.39	26829.0	41423.0	13123.0	26293.0	44057.0	25441.0	32511.0	25996.0	14926.0	26646.0	27269.0	24729.0	27979.0	26255.0	27932.0	24553.0	41242.0	23761.0	24707.0	27565.0	46382.0	40895.0	25765.0	24884.0	21137.0	25078.0	19754.0	0.0	26267.0	27581.0	45104.0	21321.0	20977.0	25839.0	28183.0	23588.0	48917.0	32283.0	25410.0
CosteaPI_2017__SID713B007-11-0-0__bin.12	27814.0	45538.0	15131.0	27803.0	48882.0	31503.0	36504.0	27035.0	18073.0	29044.0	30145.0	29345.0	32344.0	28628.0	28120.0	26833.0	45657.0	29054.0	25967.0	27473.0	53970.0	46225.0	28582.0	30387.0	20788.0	29962.0	19463.0	26267.0	0.0	28459.0	49429.0	24481.0	22639.0	25757.0	32335.0	30577.0	54915.0	34490.0	29989.0
LiJ_2014__MH0345__bin.67	14569.0	46812.0	15603.0	30010.0	49249.0	33423.0	34916.0	28519.0	17843.0	30963.0	32115.0	30706.0	32292.0	30804.0	27193.0	27834.0	45991.0	30466.0	26555.0	17070.0	53890.0	45416.0	29449.0	30911.0	21324.0	31279.0	21237.0	27581.0	28459.0	0.0	49368.0	25705.0	24442.0	28497.0	32225.0	30723.0	55451.0	36757.0	32175.0
CM_madagascar__V48_03_2FE__bin.12	49057.0	33797.0	26172.0	47181.0	35645.0	49834.0	41176.0	46430.0	26938.0	48792.0	47590.0	49085.0	49953.0	44183.0	49112.0	46995.0	35824.0	47643.0	43217.0	49842.0	48112.0	43659.0	49464.0	49604.0	37166.0	49830.0	36377.0	45104.0	49429.0	49368.0	0.0	44226.0	40358.0	47427.0	22683.0	47913.0	37559.0	47449.0	50036.0
ZeeviD_2015__PNP_Main_287__bin.67	26006.0	41810.0	12912.0	24830.0	44119.0	27465.0	32731.0	24694.0	15723.0	26820.0	27867.0	25179.0	27780.0	26221.0	25429.0	24129.0	40673.0	25451.0	24195.0	26423.0	46857.0	41382.0	25768.0	11234.0	20565.0	25905.0	19305.0	21321.0	24481.0	25705.0	44226.0	0.0	21543.0	24429.0	28894.0	25462.0	49577.0	32219.0	25824.0
SchirmerM_2016__G89199__bin.19	23520.0	37529.0	11499.0	23502.0	39890.0	25130.0	30387.0	22631.0	13084.0	24054.0	24674.0	22946.0	25322.0	23833.0	24041.0	22469.0	37549.0	23470.0	21458.0	24334.0	41529.0	37165.0	23066.0	25518.0	19257.0	23419.0	18291.0	20977.0	22639.0	24442.0	40358.0	21543.0	0.0	23259.0	25050.0	24940.0	43894.0	28233.0	23621.0
LeChatelierE_2013__MH0447__bin.112	27516.0	44814.0	13808.0	26924.0	48919.0	32029.0	34453.0	26880.0	16746.0	28458.0	29398.0	28887.0	31162.0	28257.0	26520.0	26943.0	44199.0	29560.0	25489.0	28239.0	50994.0	44150.0	28807.0	29504.0	20701.0	29435.0	6383.0	25839.0	25757.0	28497.0	47427.0	24429.0	23259.0	0.0	30329.0	27487.0	54112.0	31398.0	29698.0
BritoIL_2016__M2.36.ST__bin.81	32343.0	2968.0	18461.0	30954.0	21777.0	31633.0	24623.0	29793.0	18330.0	32263.0	30811.0	32355.0	31754.0	28486.0	32820.0	29434.0	16050.0	31646.0	28439.0	32295.0	30745.0	27269.0	32270.0	33080.0	23059.0	32485.0	22134.0	28183.0	32335.0	32225.0	22683.0	28894.0	25050.0	30329.0	0.0	30727.0	18057.0	30282.0	33182.0
ZeeviD_2015__PNP_Main_34__bin.13	30219.0	45068.0	16664.0	29044.0	47738.0	29090.0	34239.0	28780.0	17443.0	30615.0	31302.0	30219.0	29112.0	29328.0	30413.0	27830.0	44325.0	28177.0	27433.0	29655.0	51156.0	45265.0	27218.0	29444.0	23895.0	30724.0	20612.0	23588.0	30577.0	30723.0	47913.0	25462.0	24940.0	27487.0	30727.0	0.0	54847.0	34637.0	30898.0
BritoIL_2016__W1.44.ST__bin.5	55723.0	26421.0	28717.0	52684.0	36854.0	55167.0	42075.0	50692.0	29682.0	56755.0	54403.0	55114.0	54865.0	50125.0	55958.0	51064.0	27205.0	54999.0	47710.0	55493.0	52314.0	47506.0	54533.0	56435.0	41524.0	55729.0	40901.0	48917.0	54915.0	55451.0	37559.0	49577.0	43894.0	54112.0	18057.0	54847.0	0.0	52024.0	56277.0
SchirmerM_2016__G89113__bin.12	35977.0	43360.0	17845.0	33260.0	47140.0	37786.0	34075.0	33386.0	20082.0	34671.0	34591.0	33899.0	36776.0	32970.0	34897.0	32157.0	43352.0	35804.0	31130.0	36153.0	47390.0	42310.0	35038.0	36384.0	26433.0	33951.0	23296.0	32283.0	34490.0	36757.0	47449.0	32219.0	28233.0	31398.0	30282.0	34637.0	52024.0	0.0	34603.0
CosteaPI_2017__tigress-11-7-0__bin.36	30206.0	46722.0	15352.0	26846.0	49952.0	33342.0	36204.0	26004.0	18742.0	30645.0	31806.0	408.0	32306.0	30495.0	29916.0	916.0	46586.0	29348.0	26914.0	31128.0	54854.0	47132.0	31531.0	31745.0	22775.0	200.0	22051.0	25410.0	29989.0	32175.0	50036.0	25824.0	23621.0	29698.0	33182.0	30898.0	56277.0	34603.0	0.0
