	FerrettiP_2018__CA_C10007MS2097SA_t0M15__bin.35	HMP_2012__SRS057205__bin.57	BritoIL_2016__WL.28.SA__bin.2	HMP_2012__SRS017120__bin.71	BritoIL_2016__W3.22.SA__bin.20	HMP_2012__SRS024318__bin.50	CM_cf__CF_TNFC017SA_t1M16__bin.25	BritoIL_2016__W3.19.SA__bin.2	FerrettiP_2018__CA_C10043MS2741SA_t0M16__bin.15	HMP_2012__SRS022719__bin.3	BritoIL_2016__W1.44.SA__bin.1	CM_cf__CF_TNFC039SA_t1M16__bin.3	HMP_2012__SRS064329__bin.23	HMP_2012__SRS015762__bin.29	HMP_2012__SRS017076__bin.31	BritoIL_2016__M1.52.SA__bin.4	BritoIL_2016__WL.10.SA__bin.8	FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.10	HMP_2012__SRS022721__bin.1	BritoIL_2016__WL.2.SA__bin.2	HMP_2012__SRS024138__bin.20	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.27	HMP_2012__SRS020220__bin.43	BritoIL_2016__M1.38.SA__bin.2	HMP_2012__SRS023352__bin.53	CM_cf__CF_TNFC039IS_t1M15__bin.16	CM_cf__CF_TNFC039IS_t2M15__bin.3	HMP_2012__SRS020856__bin.51	BritoIL_2016__W2.61.SA__bin.13	BritoIL_2016__W1.9.SA__bin.2	BritoIL_2016__WL.25.SA__bin.7	BackhedF_2015__SID589_12M__bin.44	HMP_2012__SRS016342__bin.54
HMP_2012__SRS024138__bin.20	35999.0	68553.0	49641.0	38331.0	68659.0	66108.0	67079.0	41598.0	66514.0	67889.0	50974.0	66556.0	69900.0	35761.0	37610.0	37826.0	61506.0	54359.0	59025.0	39177.0	0.0	70875.0	67422.0	64944.0	24736.0	66350.0	30704.0	71384.0	67333.0	49946.0	30576.0	49447.0	67998.0
FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.27	60959.0	70150.0	49750.0	38929.0	69613.0	67092.0	65900.0	41968.0	69497.0	69110.0	52133.0	67070.0	70145.0	36379.0	67278.0	38253.0	61783.0	53763.0	59556.0	39949.0	70875.0	0.0	68266.0	65950.0	67932.0	67197.0	31335.0	69483.0	69097.0	49785.0	22938.0	50599.0	17218.0
HMP_2012__SRS020220__bin.43	60914.0	67467.0	47960.0	38554.0	68158.0	65116.0	65282.0	39671.0	66072.0	66141.0	48797.0	65428.0	68453.0	34003.0	64717.0	36766.0	60794.0	54291.0	56962.0	39474.0	67422.0	68266.0	0.0	64525.0	65014.0	65359.0	30650.0	61630.0	68065.0	46028.0	30603.0	47560.0	65875.0
BritoIL_2016__M1.38.SA__bin.2	57375.0	64640.0	45673.0	36374.0	61003.0	61943.0	62457.0	39522.0	64314.0	62873.0	46777.0	62750.0	64097.0	33891.0	62113.0	36117.0	17434.0	51298.0	55285.0	36995.0	64944.0	65950.0	64525.0	0.0	63234.0	62812.0	30147.0	65461.0	63029.0	46465.0	28680.0	46063.0	62826.0
HMP_2012__SRS023352__bin.53	26685.0	65630.0	47254.0	35593.0	65528.0	62929.0	63491.0	39474.0	63516.0	64692.0	48588.0	62549.0	66451.0	33652.0	34118.0	36372.0	60056.0	52511.0	56585.0	38070.0	24736.0	67932.0	65014.0	63234.0	0.0	62626.0	30035.0	68424.0	65361.0	47819.0	29272.0	47681.0	65324.0
CM_cf__CF_TNFC039IS_t1M15__bin.16	60247.0	66350.0	46660.0	36949.0	65217.0	61722.0	62564.0	40381.0	66536.0	65310.0	47431.0	88.0	67008.0	34407.0	64614.0	36166.0	59777.0	53796.0	56470.0	38156.0	66350.0	67197.0	65359.0	62812.0	62626.0	0.0	667.0	70448.0	66220.0	48065.0	29537.0	46272.0	65157.0
CM_cf__CF_TNFC039IS_t2M15__bin.3	29082.0	30919.0	23535.0	19558.0	30372.0	29139.0	29779.0	21059.0	30424.0	29990.0	22847.0	648.0	30811.0	19274.0	30438.0	18142.0	28748.0	24939.0	26729.0	18993.0	30704.0	31335.0	30650.0	30147.0	30035.0	667.0	0.0	32234.0	30554.0	22781.0	14719.0	24352.0	30587.0
HMP_2012__SRS020856__bin.51	60976.0	68493.0	49384.0	37881.0	70326.0	66920.0	65990.0	38834.0	67312.0	69105.0	51136.0	70432.0	70083.0	34455.0	69321.0	39327.0	61695.0	56236.0	60074.0	39959.0	71384.0	69483.0	61630.0	65461.0	68424.0	70448.0	32234.0	0.0	67682.0	50514.0	31315.0	49015.0	68118.0
BritoIL_2016__W2.61.SA__bin.13	61886.0	67122.0	48851.0	37829.0	67737.0	64860.0	65070.0	37769.0	67433.0	67736.0	48493.0	66083.0	67827.0	34783.0	65195.0	36739.0	59326.0	54412.0	58284.0	38170.0	67333.0	69097.0	68065.0	63029.0	65361.0	66220.0	30554.0	67682.0	0.0	48112.0	30479.0	47582.0	66120.0
BritoIL_2016__W1.9.SA__bin.2	45957.0	48548.0	35695.0	29430.0	47543.0	46449.0	47635.0	31217.0	48463.0	47694.0	34257.0	47976.0	50490.0	28324.0	48861.0	27481.0	43598.0	40228.0	42504.0	28823.0	49946.0	49785.0	46028.0	46465.0	47819.0	48065.0	22781.0	50514.0	48112.0	0.0	14046.0	36377.0	47865.0
BritoIL_2016__WL.25.SA__bin.7	28617.0	30263.0	22815.0	19209.0	29788.0	28832.0	28794.0	20521.0	29778.0	30674.0	22825.0	29538.0	30718.0	16773.0	30303.0	18982.0	27231.0	25533.0	27167.0	19536.0	30576.0	22938.0	30603.0	28680.0	29272.0	29537.0	14719.0	31315.0	30479.0	14046.0	0.0	24218.0	21637.0
BackhedF_2015__SID589_12M__bin.44	43251.0	48407.0	35292.0	29632.0	47350.0	47116.0	46650.0	31001.0	46660.0	48375.0	35634.0	46274.0	48246.0	28713.0	47569.0	27626.0	44009.0	38025.0	42491.0	29798.0	49447.0	50599.0	47560.0	46063.0	47681.0	46272.0	24352.0	49015.0	47582.0	36377.0	24218.0	0.0	48516.0
HMP_2012__SRS016342__bin.54	58181.0	66607.0	48235.0	37246.0	66822.0	64049.0	62696.0	40015.0	64632.0	65756.0	48588.0	65114.0	67052.0	35337.0	65268.0	37198.0	59172.0	52622.0	56270.0	38596.0	67998.0	17218.0	65875.0	62826.0	65324.0	65157.0	30587.0	68118.0	66120.0	47865.0	21637.0	48516.0	0.0
