	BackhedF_2015__SID39_M__bin.6	LeChatelierE_2013__MH0193__bin.54	SchirmerM_2016__G88846__bin.13	ZeeviD_2015__PNP_Main_47__bin.42	BackhedF_2015__SID640_M__bin.38	BritoIL_2016__WL.37.ST__bin.73	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.45	VogtmannE_2016__MMRS38954404ST-27-0-0__bin.26	CosteaPI_2017__mickey3-11-7-0__bin.38	ZeeviD_2015__PNP_Main_38__bin.52	BritoIL_2016__WL.43.ST__bin.5	ZeeviD_2015__PNP_Validation_23__bin.3	LiSS_2016__FAT_DON_11-22-0-6__bin.56	ZeeviD_2015__PNP_Main_410__bin.16	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.3	SchirmerM_2016__G89150__bin.3	FengQ_2015__SID31160__bin.56	ZeeviD_2015__PNP_Main_313__bin.32	SchirmerM_2016__G89113__bin.3	LeChatelierE_2013__MH0415__bin.73	ZellerG_2014__CCIS63468405ST-4-0__bin.18	LiSS_2016__FAT_008-22-0-0__bin.12	LeChatelierE_2013__MH0098__bin.1	NielsenHB_2014__V1_UC37_0__bin.20	XieH_2016__YSZC12003_36533__bin.98	XieH_2016__YSZC12003_36055__bin.38	XieH_2016__YSZC12003_37546__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.129	XieH_2016__YSZC12003_37194__bin.23	ZeeviD_2015__PNP_Main_287__bin.47	RaymondF_2016__P7C7__bin.65	ZellerG_2014__CCIS35100175ST-4-0__bin.18	LeChatelierE_2013__MH0322__bin.16	LiJ_2014__MH0339__bin.62	HMP_2012__SRS014613__bin.25	LeChatelierE_2013__MH0408__bin.18	ZeeviD_2015__PNP_Main_463__bin.42	LiJ_2014__V1.UC64-0__bin.18	LeChatelierE_2013__MH0275__bin.19	NielsenHB_2014__V1_CD6_4__bin.23	NielsenHB_2014__MH0098__bin.13	XieH_2016__YSZC12003_35387__bin.3	LoombaR_2017__SID5443_cul__bin.35
ZeeviD_2015__PNP_Main_287__bin.47	22780.0	19421.0	17844.0	13554.0	23518.0	26180.0	20209.0	22223.0	24071.0	20817.0	28288.0	22038.0	14758.0	22492.0	19884.0	14446.0	12399.0	19824.0	21713.0	20856.0	21985.0	15297.0	20546.0	20743.0	20497.0	22561.0	20187.0	21178.0	22176.0	0.0	13915.0	21479.0	18153.0	17662.0	16663.0	12660.0	21111.0	19814.0	19778.0	17552.0	19199.0	21604.0	22333.0
RaymondF_2016__P7C7__bin.65	13858.0	13273.0	12237.0	8000.0	15242.0	17028.0	13606.0	13852.0	16357.0	12654.0	19549.0	14020.0	10269.0	1202.0	13859.0	9600.0	9166.0	13281.0	13683.0	13611.0	12760.0	9022.0	13000.0	12674.0	13381.0	13868.0	13821.0	15474.0	8061.0	13915.0	0.0	14105.0	12081.0	12688.0	795.0	8957.0	12700.0	7214.0	13436.0	10548.0	11852.0	14246.0	13867.0
ZellerG_2014__CCIS35100175ST-4-0__bin.18	22421.0	19428.0	18024.0	14209.0	24148.0	25853.0	20593.0	14078.0	25677.0	19465.0	28552.0	21700.0	14725.0	20993.0	13503.0	13769.0	13700.0	13578.0	21427.0	11087.0	21557.0	15271.0	20409.0	19634.0	21416.0	16520.0	21423.0	22596.0	20615.0	21479.0	14105.0	0.0	17972.0	18651.0	16487.0	12427.0	19803.0	19778.0	20550.0	12493.0	19804.0	22612.0	14973.0
LeChatelierE_2013__MH0322__bin.16	18769.0	17309.0	16855.0	11221.0	20187.0	21240.0	17777.0	17430.0	21521.0	1234.0	24739.0	17941.0	2017.0	17546.0	17881.0	827.0	11747.0	17370.0	18173.0	17826.0	17348.0	13381.0	17541.0	1656.0	17744.0	18134.0	18416.0	20521.0	16217.0	18153.0	12081.0	17972.0	0.0	16584.0	13784.0	11561.0	1212.0	17362.0	17255.0	14298.0	17045.0	18760.0	18271.0
LiJ_2014__MH0339__bin.62	19050.0	16272.0	17207.0	11036.0	19683.0	20902.0	18163.0	18138.0	21260.0	16994.0	24075.0	18425.0	13535.0	17734.0	17718.0	12762.0	12335.0	17488.0	18510.0	17154.0	17626.0	13868.0	18097.0	17484.0	17981.0	18917.0	17884.0	19591.0	17782.0	17662.0	12688.0	18651.0	16584.0	0.0	14313.0	12074.0	17421.0	18102.0	17650.0	14294.0	17234.0	18539.0	18191.0
HMP_2012__SRS014613__bin.25	16738.0	14988.0	13774.0	9913.0	18488.0	20391.0	16223.0	16698.0	19056.0	13894.0	22136.0	16059.0	11684.0	630.0	16025.0	10524.0	10819.0	15765.0	16202.0	15635.0	14577.0	9636.0	15826.0	14516.0	15642.0	16737.0	16036.0	17553.0	9749.0	16663.0	795.0	16487.0	13784.0	14313.0	0.0	10069.0	14286.0	8911.0	14933.0	13178.0	14323.0	16551.0	16625.0
LeChatelierE_2013__MH0408__bin.18	12866.0	12310.0	12264.0	7807.0	13797.0	15057.0	12390.0	12612.0	14847.0	11839.0	17102.0	12503.0	9541.0	12500.0	12421.0	9014.0	8597.0	12131.0	12485.0	12190.0	12205.0	9885.0	12501.0	12363.0	12152.0	12586.0	12175.0	14248.0	12113.0	12660.0	8957.0	12427.0	11561.0	12074.0	10069.0	0.0	12082.0	12721.0	12169.0	9676.0	11914.0	12540.0	12686.0
ZeeviD_2015__PNP_Main_463__bin.42	20657.0	18022.0	17133.0	13394.0	24231.0	25115.0	19246.0	19423.0	23565.0	125.0	28805.0	19805.0	1520.0	18917.0	19492.0	318.0	12246.0	19590.0	19683.0	19671.0	20158.0	14244.0	18555.0	1250.0	19874.0	20334.0	20942.0	21330.0	18149.0	21111.0	12700.0	19803.0	1212.0	17421.0	14286.0	12082.0	0.0	17998.0	19342.0	15808.0	17612.0	20534.0	20715.0
LiJ_2014__V1.UC64-0__bin.18	20109.0	18873.0	17496.0	12131.0	22155.0	23880.0	19367.0	19906.0	23907.0	17421.0	26324.0	20690.0	14582.0	11026.0	20148.0	13440.0	13359.0	18651.0	20112.0	19795.0	19216.0	11873.0	18719.0	18501.0	20216.0	19780.0	20755.0	21152.0	9202.0	19814.0	7214.0	19778.0	17362.0	18102.0	8911.0	12721.0	17998.0	0.0	18238.0	16203.0	17935.0	19982.0	19640.0
LeChatelierE_2013__MH0275__bin.19	20492.0	18329.0	15124.0	12987.0	22894.0	25571.0	19028.0	20066.0	24187.0	19376.0	28504.0	19520.0	14277.0	19444.0	19579.0	13083.0	12269.0	19166.0	19526.0	19739.0	19203.0	15238.0	18818.0	18530.0	19328.0	20532.0	20264.0	21834.0	19257.0	19778.0	13436.0	20550.0	17255.0	17650.0	14933.0	12169.0	19342.0	18238.0	0.0	15909.0	17789.0	20260.0	20805.0
NielsenHB_2014__V1_CD6_4__bin.23	18122.0	15374.0	14689.0	14559.0	19787.0	20209.0	16739.0	11961.0	20509.0	15336.0	21716.0	17069.0	11370.0	16885.0	13268.0	10492.0	10563.0	12553.0	17296.0	12442.0	18171.0	11416.0	15898.0	15708.0	17004.0	3351.0	17138.0	17074.0	17012.0	17552.0	10548.0	12493.0	14298.0	14294.0	13178.0	9676.0	15808.0	16203.0	15909.0	0.0	14939.0	18336.0	14181.0
NielsenHB_2014__MH0098__bin.13	3183.0	17961.0	16667.0	12058.0	21524.0	21504.0	18547.0	19741.0	22146.0	17425.0	24854.0	19674.0	14152.0	18972.0	18527.0	13030.0	12002.0	18837.0	18831.0	18937.0	19078.0	13814.0	1112.0	17649.0	18401.0	19412.0	18923.0	20361.0	17855.0	19199.0	11852.0	19804.0	17045.0	17234.0	14323.0	11914.0	17612.0	17935.0	17789.0	14939.0	0.0	19170.0	20505.0
XieH_2016__YSZC12003_35387__bin.3	22711.0	19495.0	18725.0	13896.0	25222.0	25947.0	20196.0	22532.0	25797.0	20387.0	29071.0	21481.0	15422.0	21907.0	21087.0	14120.0	13284.0	21321.0	21949.0	21818.0	22816.0	15476.0	20553.0	20335.0	21643.0	23366.0	21812.0	21695.0	21376.0	21604.0	14246.0	22612.0	18760.0	18539.0	16551.0	12540.0	20534.0	19982.0	20260.0	18336.0	19170.0	0.0	22745.0
