	ZeeviD_2015__PNP_DietIntervention_8__bin.59	ZeeviD_2015__PNP_Main_740__bin.7	LiuW_2016__SRR3992977__bin.5	BritoIL_2016__W3.23.ST__bin.37	CM_madagascar__V31_01_2FE__bin.4	BritoIL_2016__M2.11.ST__bin.54	CM_madagascar__A09_02_1FE__bin.52	BritoIL_2016__WL.33.ST__bin.20	BackhedF_2015__SID377_M__bin.20	CM_madagascar__A93_01_1FE__bin.13	CosteaPI_2017__SID713B033-11-90-0__bin.37	CM_madagascar__A83_02_1FE__bin.23	SchirmerM_2016__G89002__bin.6	CM_madagascar__A92_01_1FE__bin.11	FengQ_2015__SID530026__bin.77	LiSS_2016__FAT_012-22-84-0__bin.14	LiuW_2016__SRR3993030__bin.34	CM_madagascar__V30_01_1FE__bin.15	CM_madagascar__A95_01_1FE__bin.37	FengQ_2015__SID31449__bin.44	LiuW_2016__SRR3993011__bin.58	CM_madagascar__V18_02_1FE__bin.4	CM_madagascar__A39_04_1FE__bin.29	CM_madagascar__A36_01_1FE__bin.6	LiSS_2016__FAT_023-22-42-0__bin.7	CosteaPI_2017__SID713A078-11-0-0__bin.40	CM_madagascar__V40_01_1FE__bin.60	BritoIL_2016__M1.15.ST__bin.56	XieH_2016__YSZC12003_37210__bin.7	LiSS_2016__FAT_006-22-0-0__bin.79	ZellerG_2014__CCIS11362406ST-4-0__bin.21	LiuW_2016__SRR3993002__bin.18	CosteaPI_2017__SID713B074-11-0-0__bin.52	FengQ_2015__SID530450__bin.62	XieH_2016__YSZC12003_35515__bin.28	CM_madagascar__A13_01_1FE__bin.33	ZeeviD_2015__PNP_DietIntervention_28__bin.20	CM_madagascar__A90_03_1FE__bin.26	CM_madagascar__A28_02_1FE__bin.38	LiuW_2016__SRR3993015__bin.93	BackhedF_2015__SID503_M__bin.48	YuJ_2015__SZAXPI003411-6__bin.52	FengQ_2015__SID31477__bin.4	CosteaPI_2017__SID713B058-11-90-0__bin.16
LiuW_2016__SRR3993011__bin.58	22072.0	25615.0	17327.0	37466.0	29239.0	35324.0	46709.0	44109.0	45626.0	44070.0	26666.0	46334.0	19604.0	45993.0	12800.0	25194.0	21971.0	35030.0	46771.0	16018.0	0.0	36082.0	40551.0	45802.0	26412.0	23881.0	25871.0	33813.0	21039.0	45370.0	43286.0	17540.0	23323.0	21701.0	23271.0	33572.0	21440.0	46787.0	40754.0	19591.0	42960.0	43621.0	21161.0	24174.0
CM_madagascar__V18_02_1FE__bin.4	41979.0	49068.0	33022.0	27156.0	16638.0	27067.0	27381.0	34459.0	42227.0	25135.0	49862.0	29345.0	43871.0	28434.0	27266.0	47325.0	46646.0	22918.0	30315.0	35675.0	36082.0	0.0	23552.0	26472.0	49981.0	46807.0	16128.0	24922.0	40803.0	34235.0	35748.0	37170.0	45363.0	19819.0	51461.0	22266.0	38267.0	25901.0	25495.0	34919.0	38023.0	37044.0	42510.0	49488.0
CM_madagascar__A39_04_1FE__bin.29	47462.0	55393.0	37133.0	30819.0	16939.0	31018.0	28987.0	40421.0	47251.0	26077.0	56335.0	29674.0	48540.0	30591.0	29101.0	53084.0	53252.0	22791.0	32163.0	37993.0	40551.0	23552.0	0.0	30641.0	57164.0	53835.0	16849.0	28496.0	46938.0	41259.0	40252.0	41127.0	50239.0	22557.0	58554.0	22839.0	42337.0	30033.0	28349.0	39432.0	42010.0	41767.0	48033.0	54788.0
CM_madagascar__A36_01_1FE__bin.6	52830.0	62405.0	41855.0	34787.0	20599.0	33769.0	35013.0	44938.0	54356.0	30871.0	61902.0	36702.0	54573.0	36110.0	32998.0	58473.0	59693.0	27086.0	38707.0	42122.0	45802.0	26472.0	30641.0	0.0	64956.0	62053.0	18005.0	31833.0	51877.0	46246.0	47178.0	47966.0	57434.0	25120.0	66379.0	26133.0	46892.0	24134.0	32874.0	43787.0	48347.0	47156.0	53183.0	62182.0
LiSS_2016__FAT_023-22-42-0__bin.7	28037.0	34041.0	22709.0	51200.0	39377.0	47092.0	65927.0	63511.0	65744.0	61319.0	34643.0	65848.0	28284.0	63596.0	18227.0	31232.0	32704.0	48304.0	67372.0	21015.0	26412.0	49981.0	57164.0	64956.0	0.0	33577.0	33697.0	44659.0	28167.0	63662.0	61540.0	25181.0	30240.0	33311.0	34018.0	46061.0	24794.0	66295.0	55103.0	24673.0	63014.0	61317.0	27945.0	31855.0
CosteaPI_2017__SID713A078-11-0-0__bin.40	27979.0	32902.0	21737.0	47294.0	37141.0	45855.0	62399.0	57694.0	62655.0	57130.0	33484.0	62089.0	26750.0	61971.0	15744.0	29987.0	30464.0	45975.0	63005.0	20226.0	23881.0	46807.0	53835.0	62053.0	33577.0	0.0	33298.0	43318.0	25981.0	59175.0	58695.0	23491.0	27195.0	31232.0	31719.0	43810.0	24021.0	63179.0	52634.0	22470.0	57908.0	56562.0	26727.0	30906.0
CM_madagascar__V40_01_1FE__bin.60	29869.0	33674.0	24774.0	19848.0	11693.0	19571.0	18673.0	23572.0	28574.0	16886.0	34083.0	19640.0	31127.0	19190.0	20281.0	32700.0	33608.0	14902.0	20260.0	25544.0	25871.0	16128.0	16849.0	18005.0	33697.0	33298.0	0.0	18080.0	29874.0	24719.0	24278.0	27112.0	32130.0	14394.0	35964.0	15750.0	26261.0	17406.0	18153.0	25751.0	27139.0	25326.0	30471.0	33989.0
BritoIL_2016__M1.15.ST__bin.56	37400.0	43530.0	30214.0	19754.0	20020.0	19630.0	30058.0	24652.0	37980.0	28352.0	44617.0	31153.0	39910.0	30810.0	23654.0	41926.0	42279.0	22711.0	31125.0	30405.0	33813.0	24922.0	28496.0	31833.0	44659.0	43318.0	18080.0	0.0	37725.0	28182.0	27926.0	36331.0	41122.0	16202.0	47203.0	25171.0	34303.0	31381.0	27680.0	32836.0	34768.0	32264.0	37431.0	43833.0
XieH_2016__YSZC12003_37210__bin.7	23965.0	27363.0	17770.0	42499.0	33595.0	41414.0	53191.0	50014.0	54392.0	50701.0	27810.0	53626.0	21484.0	52344.0	13304.0	25928.0	24186.0	41018.0	52855.0	16517.0	21039.0	40803.0	46938.0	51877.0	28167.0	25981.0	29874.0	37725.0	0.0	50781.0	49725.0	20190.0	23366.0	27802.0	24880.0	38779.0	20509.0	53079.0	45907.0	18909.0	49903.0	50717.0	22210.0	24818.0
LiSS_2016__FAT_006-22-0-0__bin.79	51975.0	60350.0	40899.0	30485.0	27863.0	30876.0	44211.0	40336.0	55840.0	41920.0	60793.0	46790.0	52530.0	43288.0	31107.0	59715.0	59442.0	33633.0	45478.0	41409.0	45370.0	34235.0	41259.0	46246.0	63662.0	59175.0	24719.0	28182.0	50781.0	0.0	40691.0	46667.0	54141.0	24173.0	63266.0	33587.0	46649.0	46594.0	39417.0	44289.0	49953.0	45519.0	52640.0	62273.0
