	HMP_2012__SRS022532__bin.7	HMP_2012__SRS052874__bin.11	HMP_2012__SRS023987__bin.2	HMP_2012__SRS019329__bin.12	HMP_2012__SRS043676__bin.6	HMP_2012__SRS045262__bin.3	HMP_2012__SRS011343__bin.24	HMP_2012__SRS046686__bin.6	HMP_2012__SRS017687__bin.7	HMP_2012__SRS019976__bin.6	HMP_2012__SRS024289__bin.15	HMP_2012__SRS017215__bin.13	HMP_2012__SRS022625__bin.1	HMP_2012__SRS014472__bin.1	HMP_2012__SRS019391__bin.4	HMP_2012__SRS045049__bin.14	HMP_2012__SRS063272__bin.1	HMP_2012__SRS011098__bin.13	HMP_2012__SRS015745__bin.9	QinN_2014__LD-57__bin.29	HMP_2012__SRS021473__bin.7	HMP_2012__SRS011310__bin.15	HMP_2012__SRS019387__bin.27	HMP_2012__SRS017013__bin.8	HMP_2012__SRS024347__bin.8	HMP_2012__SRS013881__bin.7	HMP_2012__SRS011144__bin.2	HMP_2012__SRS015650__bin.18	HMP_2012__SRS015060__bin.15	HMP_2012__SRS024281__bin.7	BackhedF_2015__SID536_B__bin.13	HMP_2012__SRS011090__bin.2	HMP_2012__SRS015985__bin.1	HMP_2012__SRS018978__bin.5
HMP_2012__SRS021473__bin.7	47289.0	28250.0	43791.0	5795.0	44012.0	32576.0	38743.0	16214.0	38159.0	34340.0	41085.0	43007.0	44452.0	45744.0	23516.0	27894.0	44422.0	40852.0	28286.0	44139.0	0.0	32701.0	39999.0	10505.0	43588.0	29815.0	44705.0	34502.0	24973.0	38553.0	35093.0	10968.0	41066.0	24494.0
HMP_2012__SRS011310__bin.15	4558.0	25132.0	41747.0	43157.0	35882.0	27763.0	2564.0	22132.0	30556.0	32532.0	34248.0	41727.0	42953.0	31968.0	10305.0	20786.0	42028.0	38382.0	26775.0	38012.0	32701.0	0.0	4757.0	38089.0	35399.0	36187.0	37604.0	25050.0	28393.0	31198.0	28001.0	44350.0	33800.0	19127.0
HMP_2012__SRS019387__bin.27	3458.0	28865.0	48918.0	52822.0	41175.0	31000.0	3305.0	27192.0	35887.0	37717.0	37739.0	47332.0	49320.0	37963.0	10936.0	23474.0	45801.0	43009.0	31616.0	43763.0	39999.0	4757.0	0.0	47509.0	40440.0	43317.0	42291.0	29163.0	33063.0	34564.0	34076.0	52658.0	40401.0	22479.0
HMP_2012__SRS017013__bin.8	55013.0	33945.0	51156.0	15060.0	50718.0	39984.0	45746.0	13096.0	43337.0	41448.0	47943.0	49441.0	51095.0	51230.0	24570.0	30761.0	51903.0	48700.0	26580.0	50963.0	10505.0	38089.0	47509.0	0.0	48573.0	35127.0	50627.0	36042.0	29150.0	44924.0	40324.0	8325.0	50459.0	26100.0
HMP_2012__SRS024347__bin.8	48964.0	32424.0	49958.0	55575.0	47459.0	36266.0	39450.0	28987.0	41986.0	38234.0	44772.0	51911.0	51599.0	48898.0	28126.0	17824.0	52632.0	48057.0	34330.0	20938.0	43588.0	35399.0	40440.0	48573.0	0.0	44925.0	48718.0	35185.0	35112.0	42866.0	37193.0	56432.0	45454.0	24529.0
HMP_2012__SRS013881__bin.7	49917.0	28368.0	46602.0	38749.0	46323.0	35827.0	43457.0	23784.0	40767.0	39562.0	43316.0	43769.0	46891.0	47824.0	29057.0	28662.0	48072.0	45690.0	18651.0	46737.0	29815.0	36187.0	43317.0	35127.0	44925.0	0.0	46760.0	36086.0	10913.0	41329.0	36851.0	39004.0	46522.0	24649.0
HMP_2012__SRS011144__bin.2	53344.0	30265.0	55024.0	58880.0	40944.0	37637.0	42484.0	29941.0	25014.0	40532.0	38126.0	57268.0	57986.0	29969.0	29357.0	22766.0	57263.0	48872.0	35817.0	50596.0	44705.0	37604.0	42291.0	50627.0	48718.0	46760.0	0.0	21820.0	37440.0	36330.0	32185.0	60843.0	46228.0	26072.0
HMP_2012__SRS015650__bin.18	33605.0	21458.0	38902.0	42231.0	29501.0	25606.0	29720.0	22036.0	9465.0	30302.0	28233.0	38282.0	39134.0	7269.0	22614.0	13812.0	37665.0	33999.0	27616.0	36121.0	34502.0	25050.0	29163.0	36042.0	35185.0	36086.0	21820.0	0.0	28035.0	25951.0	24263.0	40901.0	31418.0	17699.0
HMP_2012__SRS015060__bin.15	39471.0	23824.0	37245.0	31747.0	34990.0	28540.0	32970.0	18944.0	33268.0	32473.0	34328.0	34842.0	38471.0	37510.0	21908.0	23148.0	37561.0	35430.0	16609.0	36278.0	24973.0	28393.0	33063.0	29150.0	35112.0	10913.0	37440.0	28035.0	0.0	31559.0	28201.0	33548.0	34703.0	17961.0
HMP_2012__SRS024281__bin.7	41012.0	14296.0	47039.0	49769.0	17024.0	31047.0	35640.0	21604.0	28977.0	36301.0	1452.0	46370.0	47261.0	35221.0	25463.0	20912.0	46690.0	42364.0	29849.0	43850.0	38553.0	31198.0	34564.0	44924.0	42866.0	41329.0	36330.0	25951.0	31559.0	0.0	12330.0	48500.0	39473.0	21588.0
BackhedF_2015__SID536_B__bin.13	38621.0	15466.0	43254.0	44886.0	11593.0	28322.0	33575.0	19172.0	28164.0	33760.0	13542.0	41432.0	40656.0	32340.0	24961.0	18802.0	41526.0	37094.0	25705.0	39082.0	35093.0	28001.0	34076.0	40324.0	37193.0	36851.0	32185.0	24263.0	28201.0	12330.0	0.0	43808.0	35137.0	18952.0
HMP_2012__SRS011090__bin.2	65869.0	37127.0	57767.0	16517.0	59234.0	44363.0	50975.0	17293.0	50657.0	45636.0	52412.0	57449.0	59083.0	61129.0	27863.0	35226.0	61044.0	54951.0	31546.0	59198.0	10968.0	44350.0	52658.0	8325.0	56432.0	39004.0	60843.0	40901.0	33548.0	48500.0	43808.0	0.0	56076.0	31716.0
HMP_2012__SRS015985__bin.1	47145.0	30135.0	52617.0	55638.0	44242.0	24014.0	39417.0	28748.0	40606.0	39717.0	41504.0	52154.0	53828.0	46461.0	27607.0	25688.0	49130.0	42495.0	32775.0	48509.0	41066.0	33800.0	40401.0	50459.0	45454.0	46522.0	46228.0	31418.0	34703.0	39473.0	35137.0	56076.0	0.0	21348.0
HMP_2012__SRS018978__bin.5	26814.0	15335.0	27162.0	30568.0	23660.0	17395.0	22587.0	16713.0	21505.0	20222.0	22891.0	27754.0	28697.0	25561.0	15751.0	14335.0	27246.0	20717.0	19602.0	25899.0	24494.0	19127.0	22479.0	26100.0	24529.0	24649.0	26072.0	17699.0	17961.0	21588.0	18952.0	31716.0	21348.0	0.0
