	FerrettiP_2018__CA_C10042MS2723SA_t0M16__bin.24	HMP_2012__SRS044373__bin.55	HMP_2012__SRS019045__bin.46	CM_cf__CF_TNFC041IS_t2M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.7	HMP_2012__SRS014684__bin.2	LiJ_2017__H3M518112__bin.15	CM_cf__CF_TNFC018SA_t1M16__bin.3	CM_cf__CF_TNFC060SA_t1M16__bin.3	CM_cf__CF_TNFC048SA_t1M16__bin.1	FerrettiP_2018__CA_C10039IS2678SA_t2M15__bin.2	HMP_2012__SRS018591__bin.11	HMP_2012__SRS014470__bin.8	Castro-NallarE_2015__ES_137__bin.11	HMP_2012__SRS015057__bin.45	HMP_2012__SRS018791__bin.39	CM_cf__CF_TNFC034SS_t1M15__bin.6	CM_cf__CF_TNFC060IS_t1M15__bin.6	HMP_2012__SRS017713__bin.25	FerrettiP_2018__CA_C10009MS2133SA_t0M15__bin.19	HMP_2012__SRS015272__bin.25	HMP_2012__SRS019022__bin.34	Castro-NallarE_2015__ES_114__bin.27	FerrettiP_2018__CA_C10015IS2250SA_t2M15__bin.2	FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.10	HMP_2012__SRS015537__bin.16	CM_cf__CF_TNFC059SA_t1M16__bin.1	CM_cf__CF_TNFC034SA_t1M16__bin.2	FerrettiP_2018__CA_C10023IS2394SA_t2M15__bin.3	CM_cf__CF_TNFC038SA_t1M16__bin.15	HMP_2012__SRS016086__bin.6	CM_cf__CF_TNFC018IS_t3M15__bin.5	FerrettiP_2018__CA_C10039MS2669SA_t0M15__bin.11	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.6	HMP_2012__SRS015941__bin.16	HMP_2012__SRS051791__bin.41	BritoIL_2016__WL.15.SA__bin.6	CM_cf__CF_TNFC054IS_t1M15__bin.19	HMP_2012__SRS024637__bin.14	HMP_2012__SRS016319__bin.66	HMP_2012__SRS017076__bin.19	HMP_2012__SRS057791__bin.37
HMP_2012__SRS015272__bin.25	36600.0	35790.0	48037.0	34827.0	37131.0	54808.0	57474.0	54297.0	53462.0	43849.0	35864.0	58462.0	32983.0	28611.0	34825.0	37059.0	25086.0	54965.0	39387.0	59339.0	0.0	51312.0	26112.0	19084.0	21494.0	53212.0	47311.0	40631.0	21643.0	27902.0	25773.0	41092.0	37937.0	33018.0	34657.0	47234.0	39966.0	23485.0	27476.0	30353.0	25482.0	30911.0
HMP_2012__SRS019022__bin.34	47598.0	46838.0	4959.0	39591.0	48949.0	38611.0	51001.0	45207.0	51547.0	52241.0	49932.0	53216.0	44674.0	30858.0	46300.0	48324.0	23049.0	53442.0	47314.0	55948.0	51312.0	0.0	33168.0	24694.0	27574.0	50374.0	42635.0	38440.0	27626.0	40613.0	35817.0	38765.0	47010.0	36583.0	46866.0	47076.0	33529.0	34190.0	41826.0	40049.0	38406.0	35313.0
Castro-NallarE_2015__ES_114__bin.27	26216.0	24489.0	29415.0	18452.0	26488.0	33323.0	36955.0	31093.0	29257.0	27522.0	25292.0	35147.0	22711.0	19777.0	22910.0	23172.0	22500.0	31431.0	25581.0	34963.0	26112.0	33168.0	0.0	19952.0	21652.0	32139.0	24693.0	32456.0	18453.0	20480.0	24196.0	29590.0	24581.0	19597.0	21906.0	30639.0	21884.0	23426.0	24193.0	22752.0	22019.0	15501.0
FerrettiP_2018__CA_C10015IS2250SA_t2M15__bin.2	10973.0	20956.0	20749.0	11896.0	19427.0	25385.0	24342.0	23771.0	22518.0	21159.0	18957.0	26612.0	14149.0	14056.0	14758.0	18031.0	24223.0	24757.0	19133.0	27757.0	19084.0	24694.0	19952.0	0.0	3743.0	22408.0	18549.0	25695.0	118.0	15055.0	18748.0	22197.0	18538.0	13990.0	16961.0	23308.0	14007.0	16771.0	19128.0	14063.0	18342.0	12651.0
FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.10	14227.0	23485.0	24043.0	14422.0	22456.0	27963.0	28052.0	25513.0	24365.0	25231.0	21120.0	29100.0	16843.0	16263.0	18204.0	20821.0	21537.0	26655.0	21301.0	29243.0	21494.0	27574.0	21652.0	3743.0	0.0	25431.0	20672.0	26543.0	2509.0	16077.0	21463.0	23893.0	21076.0	15671.0	20301.0	25366.0	15618.0	19638.0	21908.0	17209.0	19382.0	15854.0
HMP_2012__SRS015537__bin.16	46657.0	45735.0	47917.0	38581.0	42838.0	51416.0	52379.0	49534.0	40045.0	50296.0	51870.0	43312.0	46114.0	28483.0	46577.0	46903.0	22647.0	42758.0	44394.0	44639.0	53212.0	50374.0	32139.0	22408.0	25431.0	0.0	36592.0	39294.0	25541.0	36945.0	34610.0	39611.0	48034.0	36745.0	46655.0	37039.0	36065.0	31477.0	40600.0	40081.0	36934.0	38772.0
CM_cf__CF_TNFC059SA_t1M16__bin.1	40194.0	38401.0	41776.0	36752.0	35908.0	44545.0	44525.0	45643.0	38511.0	42578.0	46490.0	38892.0	40162.0	23731.0	41850.0	41386.0	17957.0	38613.0	36757.0	38054.0	47311.0	42635.0	24693.0	18549.0	20672.0	36592.0	0.0	31782.0	21663.0	31910.0	26430.0	33376.0	44121.0	33658.0	39176.0	32260.0	33146.0	24640.0	31459.0	32925.0	29596.0	34970.0
CM_cf__CF_TNFC034SA_t1M16__bin.2	39087.0	38331.0	32191.0	29142.0	39073.0	36384.0	39699.0	32159.0	38616.0	41624.0	38958.0	42622.0	33811.0	25105.0	35550.0	38119.0	142.0	40824.0	36293.0	44712.0	40631.0	38440.0	32456.0	25695.0	26543.0	39294.0	31782.0	0.0	27325.0	30290.0	33191.0	29787.0	35885.0	25937.0	37114.0	38143.0	23813.0	36047.0	38323.0	31498.0	33752.0	25795.0
FerrettiP_2018__CA_C10023IS2394SA_t2M15__bin.3	15302.0	20371.0	21418.0	16226.0	21416.0	26929.0	24959.0	26486.0	26124.0	24071.0	21961.0	27949.0	17659.0	15126.0	17369.0	20224.0	14103.0	26776.0	19105.0	29480.0	21643.0	27626.0	18453.0	118.0	2509.0	25541.0	21663.0	27325.0	0.0	14712.0	15427.0	25489.0	19875.0	16255.0	19673.0	24103.0	18497.0	15511.0	20131.0	15785.0	17304.0	14635.0
CM_cf__CF_TNFC038SA_t1M16__bin.15	27080.0	27039.0	35518.0	23810.0	28217.0	38551.0	42794.0	38248.0	36415.0	32175.0	23788.0	39922.0	25548.0	21487.0	26409.0	27835.0	18672.0	37043.0	30277.0	40507.0	27902.0	40613.0	20480.0	15055.0	16077.0	36945.0	31910.0	30290.0	14712.0	0.0	22877.0	31464.0	25908.0	22460.0	26851.0	35540.0	28190.0	18048.0	22737.0	23270.0	21238.0	22255.0
