	BackhedF_2015__SID567_4M__bin.10	FengQ_2015__SID531274__bin.2	ZeeviD_2015__PNP_Main_229__bin.18	ZeeviD_2015__PNP_Main_217__bin.18	BackhedF_2015__SID637_B__bin.10	BackhedF_2015__SID589_B__bin.1	HeQ_2017__SZAXPI029601-32__bin.19	HMP_2012__SRS019974__bin.30	VogtmannE_2016__MMRS17603756ST-27-0-0__bin.30	BackhedF_2015__SID544_4M__bin.5	HMP_2012__SRS064329__bin.52	QinJ_2012__CON-015__bin.17	GeversD_2014__SKBSTL041__bin.16	XieH_2016__YSZC12003_35733__bin.5	HMP_2012__SRS022077__bin.8	HMP_2012__SRS018791__bin.29	FengQ_2015__SID530451__bin.60	CM_cf__CF_TNFC017IS_t4M16__bin.11	XieH_2016__YSZC12003_35551__bin.43	FengQ_2015__SID530705__bin.47	QinN_2014__LD-30__bin.25	HMP_2012__SRS013502__bin.28	BackhedF_2015__SID256_12M__bin.14	XieH_2016__YSZC12003_36119__bin.73	FengQ_2015__SID530185__bin.38	SchirmerM_2016__G89165__bin.13	BackhedF_2015__SID105_B__bin.3	FengQ_2015__SID31004__bin.5	XieH_2016__YSZC12003_35734__bin.24	CM_cf__CF_TNFC048IS_t2M15__bin.21	FengQ_2015__SID31705__bin.14	BackhedF_2015__SID585_12M__bin.1	HMP_2012__SRS053854__bin.1	FerrettiP_2018__CA_C10049IS2857FE_t2M16__bin.6	QinN_2014__LD-2__bin.13	FengQ_2015__SID531248__bin.27	BackhedF_2015__SID282_B__bin.5	KarlssonFH_2013__S370__bin.37	QinN_2014__LD-33__bin.28	XieH_2016__YSZC12003_37229__bin.72	KarlssonFH_2013__S441__bin.47	QinN_2014__LD-5__bin.26	GeversD_2014__SKBSTL042__bin.50	BackhedF_2015__SID598_M__bin.2	BackhedF_2015__SID38_4M__bin.1	HMP_2012__SRS018439__bin.27
QinN_2014__LD-30__bin.25	32795.0	26258.0	22710.0	38142.0	29345.0	29463.0	12678.0	18715.0	24601.0	22919.0	17668.0	18563.0	26296.0	30314.0	21571.0	29858.0	24179.0	27856.0	28158.0	37826.0	0.0	27746.0	32691.0	24429.0	25755.0	22850.0	21422.0	31267.0	32560.0	26137.0	24618.0	31526.0	31768.0	30953.0	20925.0	23451.0	34265.0	33420.0	13472.0	23349.0	20617.0	23178.0	17580.0	33302.0	26610.0	22880.0
HMP_2012__SRS013502__bin.28	46737.0	41563.0	34138.0	46455.0	45564.0	45734.0	28737.0	16851.0	36155.0	23214.0	24435.0	48368.0	38928.0	47820.0	28450.0	36863.0	38180.0	47812.0	40380.0	48504.0	27746.0	0.0	43842.0	33963.0	36923.0	25501.0	25024.0	47701.0	42591.0	43929.0	40909.0	45865.0	42359.0	47841.0	57737.0	27988.0	46631.0	51299.0	26341.0	32209.0	24932.0	52200.0	20670.0	43659.0	38168.0	33538.0
BackhedF_2015__SID256_12M__bin.14	57060.0	52138.0	43237.0	60562.0	56631.0	52345.0	34582.0	10010.0	40777.0	2732.0	27854.0	59103.0	45200.0	58360.0	35050.0	46879.0	46451.0	55699.0	48549.0	64523.0	32691.0	43842.0	0.0	42067.0	46109.0	30302.0	32091.0	58486.0	57755.0	53665.0	50434.0	59615.0	49271.0	61508.0	74801.0	34996.0	59964.0	62764.0	37266.0	37636.0	29339.0	64102.0	25892.0	59037.0	46726.0	40430.0
XieH_2016__YSZC12003_36119__bin.73	42067.0	34115.0	31197.0	45198.0	36429.0	36679.0	26322.0	17969.0	29816.0	26364.0	22098.0	40516.0	32763.0	37740.0	26737.0	35569.0	32697.0	35623.0	36674.0	45572.0	24429.0	33963.0	42067.0	0.0	31805.0	25164.0	23767.0	38391.0	40989.0	34783.0	32816.0	41606.0	37860.0	39598.0	47980.0	27139.0	41450.0	43769.0	27049.0	28256.0	22982.0	46417.0	19435.0	41101.0	31262.0	28729.0
FengQ_2015__SID530185__bin.38	44036.0	26207.0	30978.0	51620.0	26059.0	40527.0	26734.0	19633.0	34090.0	28653.0	24194.0	43148.0	34883.0	43950.0	28754.0	40204.0	32267.0	42178.0	38396.0	52832.0	25755.0	36923.0	46109.0	31805.0	0.0	26898.0	25235.0	43693.0	46327.0	38397.0	35742.0	45837.0	42853.0	45134.0	53558.0	22083.0	45763.0	48388.0	27772.0	30773.0	25652.0	49735.0	20278.0	47636.0	36475.0	28262.0
SchirmerM_2016__G89165__bin.13	33320.0	29645.0	27411.0	34315.0	31721.0	32497.0	23279.0	13865.0	26761.0	19754.0	20249.0	36817.0	28071.0	31554.0	24271.0	28224.0	27263.0	30802.0	28594.0	35726.0	22850.0	25501.0	30302.0	25164.0	26898.0	0.0	18761.0	32601.0	32541.0	28967.0	29983.0	33843.0	23252.0	35870.0	43353.0	21352.0	35428.0	35604.0	23652.0	24640.0	20070.0	39429.0	17063.0	33673.0	28431.0	25132.0
BackhedF_2015__SID105_B__bin.3	32512.0	25633.0	25375.0	35453.0	26562.0	28917.0	31602.0	16456.0	24320.0	31678.0	25731.0	34642.0	26770.0	28880.0	28921.0	30480.0	24957.0	28095.0	27674.0	35290.0	21422.0	25024.0	32091.0	23767.0	25235.0	18761.0	0.0	30303.0	31513.0	25432.0	26130.0	30390.0	28495.0	30995.0	36376.0	20540.0	22664.0	34106.0	29121.0	27579.0	20211.0	37467.0	14699.0	32241.0	25240.0	23278.0
FengQ_2015__SID31004__bin.5	22230.0	47971.0	42095.0	65866.0	54340.0	51172.0	34639.0	21223.0	42938.0	34082.0	28427.0	57422.0	42843.0	58208.0	29256.0	47502.0	45300.0	53013.0	27610.0	64720.0	31267.0	47701.0	58486.0	38391.0	43693.0	32601.0	30303.0	0.0	58433.0	51928.0	46643.0	26132.0	52149.0	44012.0	73560.0	32086.0	63382.0	58958.0	33820.0	36909.0	27754.0	63034.0	19935.0	59788.0	40685.0	35341.0
XieH_2016__YSZC12003_35734__bin.24	57026.0	51998.0	43213.0	50654.0	57352.0	54702.0	32812.0	21482.0	42758.0	32260.0	28733.0	57623.0	47623.0	61394.0	36647.0	39106.0	47675.0	55998.0	49755.0	52667.0	32560.0	42591.0	57755.0	40989.0	46327.0	32541.0	31513.0	58433.0	0.0	55814.0	51266.0	57790.0	50279.0	63578.0	72784.0	34829.0	62226.0	61708.0	36022.0	39403.0	31240.0	63066.0	27174.0	55351.0	49010.0	40924.0
CM_cf__CF_TNFC048IS_t2M15__bin.21	54031.0	41416.0	36469.0	61790.0	49415.0	49024.0	29361.0	19998.0	37913.0	29796.0	24323.0	49017.0	39802.0	50132.0	30042.0	45508.0	38262.0	46515.0	42684.0	63580.0	26137.0	43929.0	53665.0	34783.0	38397.0	28967.0	25432.0	51928.0	55814.0	0.0	40126.0	53948.0	49846.0	51624.0	66050.0	32016.0	53151.0	58311.0	30076.0	31338.0	24477.0	57843.0	24321.0	56246.0	37221.0	34038.0
