	ZeeviD_2015__PNP_Main_140__bin.60	RaymondF_2016__P7C0__bin.4	XieH_2016__YSZC12003_37332__bin.99	ZeeviD_2015__PNP_Main_712__bin.58	XieH_2016__YSZC12003_36534__bin.4	XieH_2016__YSZC12003_36049__bin.84	LeChatelierE_2013__MH0457__bin.50	XieH_2016__YSZC12003_37314__bin.26	XieH_2016__YSZC12003_37348__bin.73	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.98	XieH_2016__YSZC12003_35506__bin.67	XieH_2016__YSZC12003_37399__bin.34	XieH_2016__YSZC12003_35991__bin.74	XieH_2016__YSZC12003_37182R1__bin.91	XieH_2016__YSZC12003_37171__bin.15	XieH_2016__YSZC12003_35552__bin.42	LeChatelierE_2013__MH0431__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.43	ZeeviD_2015__PNP_Main_589__bin.51	XieH_2016__YSZC12003_35387__bin.38	ZellerG_2014__CCIS16561622ST-4-0__bin.101	RaymondF_2016__P13E90__bin.60	XieH_2016__YSZC12003_37192R1__bin.125	LiJ_2014__V1.FI17__bin.65	XieH_2016__YSZC12003_37798__bin.1	XieH_2016__YSZC12003_37102__bin.80	XieH_2016__YSZC12003_36058__bin.134	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.12	XieH_2016__YSZC12003_36525__bin.33	ZeeviD_2015__PNP_Main_524__bin.3	RaymondF_2016__P7C7__bin.43	XieH_2016__YSZC12003_35549__bin.60
ZellerG_2014__CCIS16561622ST-4-0__bin.101	432698.0	736492.0	743840.0	663748.0	733677.0	496190.0	747309.0	728513.0	734560.0	674275.0	542721.0	560749.0	754428.0	679665.0	722820.0	753642.0	728192.0	770704.0	675826.0	745163.0	812100.0	709987.0	787939.0	503659.0	729805.0	690744.0	709557.0	737228.0	707295.0	597738.0	710944.0	760759.0
RaymondF_2016__P13E90__bin.60	825654.0	1558939.0	1567996.0	1393917.0	1519532.0	1007662.0	1603927.0	1580009.0	1531684.0	1411538.0	1137226.0	1143184.0	1589341.0	1362009.0	1474378.0	1601706.0	1497255.0	1614424.0	1417704.0	1586766.0	709987.0	1699678.0	1572878.0	1024369.0	1571150.0	1454174.0	1501012.0	1490417.0	1510043.0	1243333.0	1501880.0	1585833.0
XieH_2016__YSZC12003_37192R1__bin.125	867701.0	1648704.0	1635720.0	1452768.0	1607158.0	1054198.0	1652528.0	1630507.0	1629616.0	1480702.0	1167425.0	1216830.0	1664922.0	1487214.0	1589669.0	1680632.0	1560205.0	1695487.0	1482700.0	1663004.0	787939.0	1572878.0	1789887.0	1077154.0	1634947.0	1540392.0	1572406.0	1594676.0	1579122.0	1264950.0	1590724.0	1681112.0
LiJ_2014__V1.FI17__bin.65	564751.0	1050907.0	1051422.0	967634.0	1030513.0	694563.0	1065319.0	1045753.0	1080279.0	992982.0	785286.0	796415.0	1063851.0	935304.0	1019145.0	1072721.0	1018689.0	1088858.0	967650.0	1061989.0	503659.0	1024369.0	1077154.0	1117149.0	1054191.0	978176.0	1046760.0	1022793.0	1016329.0	826970.0	1003712.0	1081445.0
XieH_2016__YSZC12003_37798__bin.1	858029.0	1624680.0	1622384.0	1436698.0	1576258.0	1047364.0	1632078.0	1621747.0	1595465.0	1476375.0	1175596.0	1183014.0	1632245.0	1413352.0	1531598.0	1656564.0	1533911.0	1683225.0	1462980.0	1632280.0	729805.0	1571150.0	1634947.0	1054191.0	1752826.0	1512218.0	1559572.0	1547132.0	1567184.0	1269988.0	1567162.0	1653059.0
XieH_2016__YSZC12003_37102__bin.80	803772.0	1606788.0	1498758.0	1342672.0	1471441.0	982081.0	1512134.0	1614784.0	1490848.0	1362414.0	1098949.0	1097955.0	1530016.0	1344574.0	1439529.0	1539429.0	1428632.0	1564513.0	1365274.0	1531514.0	690744.0	1454174.0	1540392.0	978176.0	1512218.0	1687370.0	1451094.0	1457519.0	1551248.0	1165971.0	1555197.0	1539292.0
XieH_2016__YSZC12003_36058__bin.134	831521.0	1560139.0	1563080.0	1419270.0	1530086.0	1018174.0	1586574.0	1561862.0	1593522.0	1460998.0	1136449.0	1158148.0	1599239.0	1373364.0	1485067.0	1600996.0	1509609.0	1628533.0	1427239.0	1601570.0	709557.0	1501012.0	1572406.0	1046760.0	1559572.0	1451094.0	1671950.0	1510852.0	1513514.0	1220335.0	1491489.0	1616837.0
Bengtsson-PalmeJ_2015__TRAVELRES25__bin.12	828777.0	1565023.0	1546122.0	1382620.0	1522990.0	1015068.0	1563994.0	1553152.0	1558040.0	1424941.0	1119899.0	1176154.0	1585018.0	1400775.0	1510500.0	1589573.0	1480813.0	1617207.0	1412652.0	1587611.0	737228.0	1490417.0	1594676.0	1022793.0	1547132.0	1457519.0	1510852.0	1699159.0	1513903.0	1200351.0	1506650.0	1621237.0
XieH_2016__YSZC12003_36525__bin.33	827603.0	1678647.0	1561163.0	1393188.0	1522160.0	1004282.0	1581283.0	1667737.0	1555684.0	1409958.0	1125700.0	1145687.0	1605234.0	1379695.0	1485476.0	1605567.0	1489499.0	1630581.0	1410361.0	1600288.0	707295.0	1510043.0	1579122.0	1016329.0	1567184.0	1551248.0	1513514.0	1513903.0	1744425.0	1207385.0	1610815.0	1613473.0
ZeeviD_2015__PNP_Main_524__bin.3	673672.0	1252771.0	1255199.0	1132950.0	1215769.0	830143.0	1274755.0	1265761.0	1240846.0	1143006.0	909182.0	923926.0	1274095.0	1097408.0	1193989.0	1281131.0	1210413.0	1293537.0	1156891.0	1268412.0	597738.0	1243333.0	1264950.0	826970.0	1269988.0	1165971.0	1220335.0	1200351.0	1207385.0	1352233.0	1200116.0	1268765.0
RaymondF_2016__P7C7__bin.43	835808.0	1731211.0	1563373.0	1381428.0	1503005.0	987505.0	1575272.0	1672214.0	1530879.0	1409373.0	1110260.0	1137503.0	1582237.0	1375298.0	1488960.0	1592623.0	1475162.0	1627871.0	1395315.0	1586754.0	710944.0	1501880.0	1590724.0	1003712.0	1567162.0	1555197.0	1491489.0	1506650.0	1610815.0	1200116.0	1816425.0	1590319.0
XieH_2016__YSZC12003_35549__bin.60	870151.0	1659107.0	1653245.0	1487496.0	1628170.0	1061213.0	1688424.0	1661249.0	1676721.0	1522400.0	1193250.0	1225942.0	1739711.0	1463490.0	1577464.0	1686327.0	1596095.0	1737809.0	1498149.0	1726240.0	760759.0	1585833.0	1681112.0	1081445.0	1653059.0	1539292.0	1616837.0	1621237.0	1613473.0	1268765.0	1590319.0	1806293.0
