	CosteaPI_2017__SID713A063-11-90-0__bin.5	BackhedF_2015__SID635_M__bin.31	FengQ_2015__SID31685__bin.17	ZellerG_2014__CCIS59132091ST-4-0__bin.21	KarlssonFH_2013__S561__bin.6	ZeeviD_2015__PNP_Main_240__bin.47	FengQ_2015__SID530018__bin.43	FengQ_2015__SID530558__bin.38	NielsenHB_2014__O2_UC55_0__bin.28	BackhedF_2015__SID45_12M__bin.3	BackhedF_2015__SID383_12M__bin.21	IjazUZ_2017__S151_a_WGS__bin.11	LiJ_2014__V1.FI15__bin.17	BackhedF_2015__SID9_M__bin.4	BackhedF_2015__SID45_M__bin.28	KarlssonFH_2013__S424__bin.12	LiJ_2014__V1.CD48-0__bin.25	XieH_2016__YSZC12003_35519__bin.24	LiJ_2014__V1.CD52-0__bin.49	BackhedF_2015__SID570_12M__bin.15	XieH_2016__YSZC12003_36390__bin.48	KarlssonFH_2013__S526__bin.31	XieH_2016__YSZC12003_37138__bin.93	XieH_2016__YSZC12003_35712__bin.2	QinJ_2012__DLF013__bin.9	ZellerG_2014__CCIS07648107ST-4-0__bin.39	FengQ_2015__SID530026__bin.55	FengQ_2015__SID31428__bin.14	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.49	FengQ_2015__SID530348__bin.7	FengQ_2015__SID31446__bin.29	LiJ_2014__V1.FI29__bin.19	ZeeviD_2015__PNP_Main_194__bin.53
XieH_2016__YSZC12003_35712__bin.2	22296.0	41197.0	40818.0	38492.0	33083.0	31397.0	41835.0	42427.0	20121.0	41565.0	25556.0	38480.0	42694.0	43267.0	23192.0	23597.0	35041.0	42310.0	43362.0	26514.0	32831.0	40714.0	41550.0	0.0	26048.0	29353.0	24644.0	19852.0	46305.0	30748.0	18615.0	41832.0	50561.0
QinJ_2012__DLF013__bin.9	21505.0	15969.0	14095.0	21074.0	10600.0	25225.0	19858.0	12695.0	11005.0	13967.0	15782.0	12875.0	12724.0	11356.0	9447.0	20051.0	11763.0	16036.0	15211.0	10658.0	25614.0	16565.0	13022.0	26048.0	0.0	7403.0	15704.0	10507.0	24438.0	9120.0	24388.0	13963.0	24420.0
ZellerG_2014__CCIS07648107ST-4-0__bin.39	18545.0	13125.0	6552.0	11080.0	12662.0	28183.0	17294.0	2929.0	9688.0	9389.0	16508.0	8318.0	6003.0	9142.0	5035.0	19162.0	6787.0	15159.0	16725.0	5822.0	29455.0	13485.0	10969.0	29353.0	7403.0	0.0	29370.0	18220.0	34012.0	11395.0	25822.0	12916.0	33302.0
FengQ_2015__SID530026__bin.55	10298.0	29340.0	27746.0	32943.0	29978.0	18642.0	30714.0	30039.0	14629.0	28922.0	18493.0	25162.0	30295.0	30515.0	14115.0	15663.0	21979.0	30492.0	33861.0	16511.0	22533.0	29720.0	29950.0	24644.0	15704.0	29370.0	0.0	15482.0	37149.0	27634.0	19692.0	29326.0	36639.0
FengQ_2015__SID31428__bin.14	10773.0	19163.0	17797.0	23592.0	18744.0	20684.0	23973.0	20778.0	8774.0	20167.0	12247.0	17769.0	19613.0	21771.0	8393.0	12644.0	12990.0	21295.0	21486.0	10471.0	19422.0	19359.0	20375.0	19852.0	10507.0	18220.0	15482.0	0.0	25216.0	19451.0	17408.0	20882.0	29146.0
VogtmannE_2016__MMRS44197125ST-27-0-0__bin.49	36758.0	46899.0	47131.0	51656.0	36264.0	50410.0	44991.0	47573.0	24666.0	47031.0	24125.0	43018.0	46764.0	46465.0	25354.0	38811.0	35981.0	46568.0	50175.0	29230.0	52377.0	43454.0	43727.0	46305.0	24438.0	34012.0	37149.0	25216.0	0.0	34970.0	51395.0	46165.0	41166.0
FengQ_2015__SID530348__bin.7	21999.0	5149.0	16738.0	21264.0	6570.0	31188.0	23623.0	14225.0	10946.0	14825.0	18064.0	15223.0	14759.0	15466.0	6649.0	21994.0	12273.0	18438.0	19903.0	9542.0	31295.0	7918.0	15209.0	30748.0	9120.0	11395.0	27634.0	19451.0	34970.0	0.0	29180.0	17479.0	37210.0
FengQ_2015__SID31446__bin.29	18540.0	40726.0	40213.0	48408.0	31231.0	25820.0	48101.0	42397.0	21261.0	41610.0	29658.0	38123.0	42031.0	44767.0	21484.0	25063.0	34635.0	42518.0	45706.0	26259.0	30263.0	40355.0	40137.0	18615.0	24388.0	25822.0	19692.0	17408.0	51395.0	29180.0	0.0	42343.0	55490.0
LiJ_2014__V1.FI29__bin.19	33052.0	23400.0	23403.0	33191.0	18215.0	41619.0	35709.0	23230.0	14931.0	23560.0	26757.0	21090.0	27425.0	22642.0	12694.0	31670.0	5374.0	25633.0	26962.0	14975.0	44909.0	25038.0	23298.0	41832.0	13963.0	12916.0	29326.0	20882.0	46165.0	17479.0	42343.0	0.0	49332.0
ZeeviD_2015__PNP_Main_194__bin.53	40296.0	53746.0	49292.0	52596.0	38820.0	57144.0	49915.0	49411.0	24549.0	49779.0	22687.0	43719.0	49343.0	47501.0	23617.0	41457.0	38025.0	51161.0	53123.0	29875.0	58064.0	48127.0	49157.0	50561.0	24420.0	33302.0	36639.0	29146.0	41166.0	37210.0	55490.0	49332.0	0.0
