	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.15	RaymondF_2016__P23C7__bin.9	ZellerG_2014__CCIS91228662ST-4-0__bin.28	RaymondF_2016__P23C0__bin.29	RaymondF_2016__P25C7__bin.10	CosteaPI_2017__SID713B061-11-90-0__bin.11	WenC_2017__N244__bin.3	ZellerG_2014__CCIS48174381ST-4-0__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.39	QinJ_2012__T2D-043__bin.16	ZeeviD_2015__PNP_Main_62__bin.42	RaymondF_2016__P6C7__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.65	LouisS_2016__AS68_0__bin.29	VogtmannE_2016__MMRS84085284ST-27-0-0__bin.2	LiJ_2017__nHF611623__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.84	HeQ_2017__SZAXPI029571-86__bin.34	LiJ_2017__H1M5XX814__bin.21	ZellerG_2014__CCMD25963797ST-21-0__bin.52	RaymondF_2016__P25C0__bin.19	NielsenHB_2014__V1_UC35_4__bin.23	CosteaPI_2017__SID713B003-11-90-0__bin.69	RaymondF_2016__P6C90__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES62__bin.82	CosteaPI_2017__SID713B053-11-90-0__bin.18	XieH_2016__YSZC12003_37648__bin.37	RaymondF_2016__P38C7__bin.46	CosteaPI_2017__pluto4-11-30-0__bin.14	VatanenT_2016__G80439__bin.13	RaymondF_2016__P14E90__bin.92	LeChatelierE_2013__MH0220__bin.39	LeChatelierE_2013__MH0244__bin.23	RaymondF_2016__P23C90__bin.54
RaymondF_2016__P25C0__bin.19	43174.0	56569.0	45253.0	55621.0	3417.0	37173.0	59070.0	40271.0	28721.0	48035.0	13610.0	45462.0	40581.0	48224.0	49938.0	58357.0	35987.0	57850.0	57348.0	56775.0	0.0	49761.0	47953.0	39575.0	46017.0	44874.0	52326.0	50897.0	53904.0	29210.0	25010.0	35485.0	53224.0	58870.0
NielsenHB_2014__V1_UC35_4__bin.23	64383.0	76562.0	68016.0	76966.0	43465.0	51356.0	86480.0	50814.0	41313.0	64788.0	55021.0	64571.0	52965.0	69929.0	29559.0	79297.0	54323.0	79400.0	77609.0	76519.0	49761.0	0.0	64465.0	55468.0	60292.0	65209.0	69037.0	68493.0	74765.0	43968.0	54111.0	24131.0	77453.0	80929.0
CosteaPI_2017__SID713B003-11-90-0__bin.69	62569.0	68561.0	65224.0	68410.0	41220.0	38873.0	74294.0	53177.0	41550.0	56572.0	50448.0	64646.0	58159.0	58350.0	63972.0	73058.0	49793.0	72181.0	69433.0	68070.0	47953.0	64465.0	0.0	54552.0	60035.0	58402.0	66641.0	60963.0	66030.0	40478.0	54605.0	45609.0	69980.0	72102.0
RaymondF_2016__P6C90__bin.5	44060.0	62248.0	46786.0	61693.0	35111.0	41476.0	66882.0	45377.0	33625.0	54951.0	41536.0	735.0	49287.0	53759.0	53518.0	66223.0	45593.0	65721.0	65842.0	63818.0	39575.0	55468.0	54552.0	0.0	52223.0	48495.0	56316.0	57267.0	60216.0	29346.0	46741.0	37507.0	56732.0	64853.0
Bengtsson-PalmeJ_2015__TRAVELRES62__bin.82	56149.0	66639.0	59664.0	66443.0	38700.0	46015.0	72147.0	6145.0	35043.0	57377.0	48786.0	59762.0	53759.0	58660.0	60090.0	71121.0	48972.0	70889.0	70918.0	65254.0	46017.0	60292.0	60035.0	52223.0	0.0	60396.0	64763.0	63318.0	67711.0	38187.0	51555.0	42501.0	65769.0	70276.0
CosteaPI_2017__SID713B053-11-90-0__bin.18	40948.0	70358.0	43586.0	70365.0	40389.0	46923.0	77185.0	51293.0	41730.0	61528.0	50007.0	55457.0	55286.0	59906.0	63439.0	76006.0	53795.0	74392.0	74144.0	72742.0	44874.0	65209.0	58402.0	48495.0	60396.0	0.0	65844.0	64506.0	70418.0	29899.0	54311.0	41935.0	66341.0	74024.0
XieH_2016__YSZC12003_37648__bin.37	67473.0	79496.0	71903.0	79836.0	44058.0	50651.0	84514.0	56007.0	41600.0	63526.0	55203.0	66501.0	60288.0	65274.0	67657.0	79834.0	57667.0	80571.0	78643.0	77327.0	52326.0	69037.0	66641.0	56316.0	64763.0	65844.0	0.0	69766.0	77117.0	43308.0	58599.0	47989.0	55872.0	84075.0
RaymondF_2016__P38C7__bin.46	66515.0	60884.0	68873.0	61215.0	44384.0	43759.0	63577.0	53100.0	43824.0	50541.0	52376.0	65807.0	58844.0	49720.0	66298.0	62320.0	57421.0	62520.0	59497.0	71053.0	50897.0	68493.0	60963.0	57267.0	63318.0	64506.0	69766.0	0.0	60274.0	42297.0	57156.0	48437.0	71552.0	64974.0
CosteaPI_2017__pluto4-11-30-0__bin.14	72487.0	68798.0	74008.0	69105.0	46166.0	49291.0	70708.0	58387.0	48233.0	55551.0	57343.0	70806.0	63973.0	56684.0	72868.0	69049.0	61872.0	69183.0	64620.0	78191.0	53904.0	74765.0	66030.0	60216.0	67711.0	70418.0	77117.0	60274.0	0.0	46429.0	62118.0	50650.0	80042.0	73133.0
VatanenT_2016__G80439__bin.13	12320.0	46692.0	13156.0	46919.0	25706.0	29972.0	54183.0	33892.0	26432.0	39654.0	32836.0	34243.0	36043.0	43761.0	42213.0	50485.0	33481.0	49603.0	50097.0	47598.0	29210.0	43968.0	40478.0	29346.0	38187.0	29899.0	43308.0	42297.0	46429.0	0.0	35242.0	26028.0	47599.0	49156.0
RaymondF_2016__P14E90__bin.92	52270.0	63152.0	55896.0	62854.0	22777.0	41947.0	67200.0	44575.0	32639.0	54611.0	27294.0	54207.0	48266.0	53762.0	53152.0	65851.0	37540.0	64495.0	65198.0	63676.0	25010.0	54111.0	54605.0	46741.0	51555.0	54311.0	58599.0	57156.0	62118.0	35242.0	0.0	39312.0	60699.0	66423.0
LeChatelierE_2013__MH0220__bin.39	38969.0	52088.0	41887.0	51253.0	30196.0	36172.0	55104.0	36607.0	30898.0	45804.0	37352.0	43134.0	37385.0	44125.0	19605.0	54993.0	38485.0	54846.0	55189.0	52495.0	35485.0	24131.0	45609.0	37507.0	42501.0	41935.0	47989.0	48437.0	50650.0	26028.0	39312.0	0.0	48139.0	54685.0
LeChatelierE_2013__MH0244__bin.23	69729.0	82023.0	75243.0	83299.0	44900.0	51470.0	101148.0	56865.0	41653.0	66273.0	58973.0	67261.0	61873.0	77638.0	78758.0	86228.0	58058.0	87548.0	84479.0	82912.0	53224.0	77453.0	69980.0	56732.0	65769.0	66341.0	55872.0	71552.0	80042.0	47599.0	60699.0	48139.0	0.0	87454.0
RaymondF_2016__P23C90__bin.54	77250.0	937.0	81243.0	434.0	49658.0	52429.0	78899.0	60425.0	51275.0	61820.0	62212.0	74883.0	68329.0	63257.0	79440.0	75248.0	65386.0	73349.0	69193.0	83544.0	58870.0	80929.0	72102.0	64853.0	70276.0	74024.0	84075.0	64974.0	73133.0	49156.0	66423.0	54685.0	87454.0	0.0
