	HMP_2012__SRS019126__bin.26	HMP_2012__SRS023958__bin.34	FerrettiP_2018__CA_C10005MS2061SA_t0M15__bin.32	HMP_2012__SRS063288__bin.15	HMP_2012__SRS019127__bin.32	HMP_2012__SRS018145__bin.57	HMP_2012__SRS047824__bin.58	HMP_2012__SRS057539__bin.64	HMP_2012__SRS022530__bin.53	HMP_2012__SRS022621__bin.36	HMP_2012__SRS023926__bin.59	HMP_2012__SRS013252__bin.16	HMP_2012__SRS057205__bin.2	HMP_2012__SRS024441__bin.2	HMP_2012__SRS011115__bin.71	HMP_2012__SRS015644__bin.55	HMP_2012__SRS022077__bin.47	HMP_2012__SRS017209__bin.31	HMP_2012__SRS018300__bin.3	HMP_2012__SRS077736__bin.49	HMP_2012__SRS062761__bin.49	HMP_2012__SRS042131__bin.27	HMP_2012__SRS016037__bin.60	CM_cf__CF_TNFC057IS_t1M15__bin.15	HMP_2012__SRS016002__bin.40	HMP_2012__SRS019327__bin.47	HMP_2012__SRS013164__bin.35	HMP_2012__SRS017439__bin.53	HMP_2012__SRS017808__bin.52	HMP_2012__SRS057692__bin.13	HMP_2012__SRS015762__bin.44	HMP_2012__SRS019122__bin.5	HMP_2012__SRS042643__bin.39	HMP_2012__SRS021496__bin.20	HMP_2012__SRS011306__bin.51	HMP_2012__SRS043663__bin.27	HMP_2012__SRS016225__bin.43	HMP_2012__SRS063193__bin.55	HMP_2012__SRS024277__bin.47	CM_cf__CF_TNFC057SA_t1M16__bin.3	HMP_2012__SRS024081__bin.3	HMP_2012__SRS011243__bin.13	HMP_2012__SRS064329__bin.27
HMP_2012__SRS062761__bin.49	85413.0	75396.0	60280.0	62129.0	83219.0	61193.0	87607.0	63346.0	72352.0	50130.0	88504.0	69721.0	59998.0	81685.0	64749.0	84567.0	74604.0	49457.0	67773.0	50316.0	0.0	81931.0	43019.0	45952.0	74135.0	68420.0	82518.0	80368.0	83001.0	76139.0	61540.0	84860.0	61942.0	61948.0	71054.0	1817.0	80064.0	76133.0	67183.0	47031.0	77260.0	47503.0	75017.0
HMP_2012__SRS042131__bin.27	55801.0	52741.0	35502.0	54589.0	54606.0	41947.0	52731.0	99071.0	83093.0	89467.0	58115.0	107483.0	36725.0	57680.0	91556.0	7202.0	54333.0	34474.0	88524.0	61051.0	81931.0	0.0	65449.0	29125.0	46733.0	40118.0	59347.0	50303.0	55001.0	55189.0	42954.0	54749.0	96422.0	86883.0	57843.0	91742.0	54564.0	55834.0	51063.0	29697.0	46681.0	27599.0	45517.0
HMP_2012__SRS016037__bin.60	67247.0	59675.0	49284.0	49941.0	66282.0	49815.0	67466.0	52248.0	58635.0	48255.0	67897.0	61406.0	47220.0	67104.0	53395.0	67036.0	58469.0	40432.0	54338.0	39988.0	43019.0	65449.0	0.0	37894.0	59650.0	55150.0	63863.0	62885.0	66274.0	60389.0	47602.0	66646.0	53181.0	51364.0	55553.0	48398.0	64538.0	57722.0	55055.0	38225.0	63802.0	38812.0	62923.0
CM_cf__CF_TNFC057IS_t1M15__bin.15	30249.0	30647.0	23355.0	30651.0	30167.0	26203.0	29524.0	60294.0	48752.0	52364.0	31608.0	62205.0	21169.0	31171.0	52898.0	30925.0	31173.0	19003.0	50513.0	38491.0	45952.0	29125.0	37894.0	0.0	26360.0	23433.0	32220.0	26755.0	29479.0	33577.0	24262.0	29833.0	55222.0	52501.0	35808.0	51721.0	31848.0	33882.0	33775.0	607.0	29189.0	17827.0	27187.0
HMP_2012__SRS016002__bin.40	47877.0	44634.0	31736.0	45790.0	47642.0	33871.0	46658.0	89559.0	72826.0	81471.0	51846.0	99489.0	33086.0	45822.0	82008.0	47223.0	49292.0	29925.0	79816.0	56867.0	74135.0	46733.0	59650.0	26360.0	0.0	36416.0	48579.0	41798.0	46947.0	41903.0	37359.0	47593.0	85853.0	78220.0	51042.0	82998.0	48432.0	51282.0	49592.0	26578.0	45711.0	23935.0	43696.0
HMP_2012__SRS019327__bin.47	43759.0	41123.0	29552.0	43549.0	42626.0	34027.0	45161.0	85049.0	68503.0	76781.0	47994.0	94117.0	31584.0	42027.0	78143.0	42282.0	44618.0	27004.0	74144.0	53047.0	68420.0	40118.0	55150.0	23433.0	36416.0	0.0	45013.0	40184.0	42552.0	45278.0	34896.0	43075.0	81638.0	75199.0	47907.0	77166.0	43272.0	44376.0	45124.0	24143.0	39726.0	21742.0	37544.0
HMP_2012__SRS013164__bin.35	59086.0	1146.0	41673.0	55018.0	58419.0	42626.0	58560.0	99268.0	82437.0	91123.0	60874.0	109556.0	40275.0	57158.0	90536.0	61662.0	61454.0	36788.0	90655.0	62998.0	82518.0	59347.0	63863.0	32220.0	48579.0	45013.0	0.0	51668.0	58935.0	60448.0	44240.0	58737.0	93578.0	87036.0	61575.0	92696.0	61479.0	61333.0	62278.0	32841.0	57171.0	31135.0	54487.0
HMP_2012__SRS017439__bin.53	48175.0	46992.0	34986.0	51580.0	47350.0	38982.0	46721.0	99336.0	79021.0	88348.0	52947.0	108396.0	33626.0	51792.0	88021.0	52049.0	51601.0	32268.0	85661.0	62043.0	80368.0	50303.0	62885.0	26755.0	41798.0	40184.0	51668.0	0.0	52524.0	54313.0	38921.0	47760.0	95345.0	84037.0	58784.0	89856.0	53242.0	56059.0	55692.0	29286.0	51080.0	25352.0	47574.0
HMP_2012__SRS017808__bin.52	59316.0	53497.0	36251.0	55453.0	58221.0	43253.0	56898.0	105657.0	86119.0	93188.0	63819.0	114535.0	39813.0	55985.0	95002.0	58063.0	53090.0	32476.0	92957.0	66157.0	83001.0	55001.0	66274.0	29479.0	46947.0	42552.0	58935.0	52524.0	0.0	60150.0	44956.0	58887.0	99230.0	88566.0	62100.0	94379.0	58775.0	62241.0	58433.0	30298.0	55438.0	27770.0	52188.0
HMP_2012__SRS057692__bin.13	61437.0	56162.0	40598.0	55433.0	59937.0	20457.0	58948.0	92381.0	80136.0	81674.0	63272.0	100930.0	40860.0	57074.0	85814.0	57429.0	56832.0	36679.0	80731.0	58461.0	76139.0	55189.0	60389.0	33577.0	41903.0	45278.0	60448.0	54313.0	60150.0	0.0	45114.0	60368.0	86876.0	81423.0	57653.0	85730.0	59335.0	61295.0	58431.0	34205.0	54224.0	31363.0	52194.0
HMP_2012__SRS015762__bin.44	42479.0	40840.0	31820.0	41506.0	41017.0	33792.0	44083.0	74446.0	62491.0	70107.0	46883.0	80598.0	14377.0	43481.0	69812.0	44558.0	43614.0	29159.0	65764.0	51462.0	61540.0	42954.0	47602.0	24262.0	37359.0	34896.0	44240.0	38921.0	44956.0	45114.0	0.0	41504.0	72590.0	67378.0	44334.0	68711.0	46800.0	43339.0	44248.0	24780.0	42786.0	23938.0	41327.0
