	XieH_2016__YSZC12003_37544__bin.70	KarlssonFH_2013__S530__bin.43	ZeeviD_2015__PNP_Main_68__bin.15	ZeeviD_2015__PNP_Main_65__bin.2	LeChatelierE_2013__MH0092__bin.49	KarlssonFH_2013__S462__bin.17	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.103	CosteaPI_2017__SID713A074-11-0-0__bin.30	ZeeviD_2015__PNP_Main_331__bin.21	ZeeviD_2015__PNP_Main_95__bin.1	CosteaPI_2017__SID713A039-11-0-0__bin.56	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.14	LeChatelierE_2013__MH0447__bin.34	KarlssonFH_2013__S421__bin.44	ZeeviD_2015__PNP_Main_333__bin.3	ZeeviD_2015__PNP_Main_382__bin.23	CosteaPI_2017__SID713A023-11-90-0__bin.86	ZeeviD_2015__PNP_Main_581__bin.34	CosteaPI_2017__SID713A023-11-0-0__bin.37	XieH_2016__YSZC12003_36117__bin.44	LiuW_2016__SRR3992958__bin.54	XieH_2016__YSZC12003_36474__bin.121	XieH_2016__YSZC12003_37543__bin.26	CosteaPI_2017__SID713A056-11-90-0__bin.79	ZeeviD_2015__PNP_Main_433__bin.48	ZeeviD_2015__PNP_Main_352__bin.44	ZellerG_2014__CCMD18872694ST-21-0__bin.26	ZeeviD_2015__PNP_Main_681__bin.32	SchirmerM_2016__G89063__bin.16	ZellerG_2014__CCIS29210128ST-4-0__bin.16	XieH_2016__YSZC12003_36211__bin.27	ZellerG_2014__CCIS94417875ST-3-0__bin.25	ZeeviD_2015__PNP_Main_208__bin.6	NielsenHB_2014__MH0092__bin.24	SchirmerM_2016__G88811__bin.11	ZeeviD_2015__PNP_Main_179__bin.26	ZeeviD_2015__PNP_Main_764__bin.30	CosteaPI_2017__SID713B072-11-0-0__bin.62	XieH_2016__YSZC12003_37286__bin.15	ZeeviD_2015__PNP_Main_22__bin.31	ZeeviD_2015__PNP_Main_189__bin.25	ZellerG_2014__CCIS90164298ST-4-0__bin.21	ZellerG_2014__CCIS77252613ST-4-0__bin.71	ZeeviD_2015__PNP_DietIntervention_11__bin.1	SchirmerM_2016__G89135__bin.5	SchirmerM_2016__G88977__bin.8	ZeeviD_2015__PNP_Main_98__bin.3	CosteaPI_2017__SID713A074-11-90-0__bin.79
LiuW_2016__SRR3992958__bin.54	1067574.0	1051092.0	1037463.0	1062839.0	801057.0	1049479.0	1059000.0	1041069.0	921549.0	841828.0	562799.0	1046811.0	1062054.0	1066685.0	1061548.0	590291.0	1045888.0	1061117.0	1086960.0	1074189.0	1168770.0	1069401.0	759405.0	1068136.0	1066892.0	941899.0	1055121.0	1061133.0	1068672.0	1016404.0	854462.0	802407.0	1025299.0	675228.0	1016822.0	1069122.0	969850.0	1076769.0	1057695.0	1061403.0	1072171.0	995149.0	1063540.0	850380.0	788611.0	1066848.0	697543.0	1050956.0
XieH_2016__YSZC12003_36474__bin.121	2086820.0	1971542.0	1975856.0	2006195.0	1435386.0	1857949.0	2022928.0	1918226.0	1664246.0	1553496.0	966221.0	1974036.0	2094043.0	1986791.0	1999745.0	978957.0	1906954.0	1993498.0	1966926.0	1934580.0	1069401.0	2334187.0	1369695.0	1942544.0	2086778.0	1743792.0	2030327.0	2001116.0	2058203.0	1876600.0	1475606.0	1439922.0	1855484.0	1207878.0	1754088.0	2066702.0	1776453.0	1953577.0	2122081.0	1906597.0	2056845.0	1883022.0	1961550.0	1423739.0	1305444.0	1909838.0	1254165.0	1876875.0
XieH_2016__YSZC12003_37543__bin.26	1468077.0	1332533.0	1345776.0	1386139.0	1067884.0	1310518.0	1342343.0	1265879.0	1200594.0	1119197.0	749078.0	1319720.0	1370848.0	1360433.0	1366812.0	749319.0	1260394.0	1374104.0	1311252.0	1302356.0	759405.0	1369695.0	1496604.0	1304507.0	1412498.0	1219905.0	1420410.0	1367210.0	1381781.0	1342929.0	1086552.0	1074363.0	1302392.0	906046.0	1237132.0	1413689.0	1253230.0	1306980.0	1366708.0	1318620.0	1401533.0	1255034.0	1345274.0	1057204.0	949650.0	1291213.0	933462.0	1278875.0
CosteaPI_2017__SID713A056-11-90-0__bin.79	1934627.0	1867696.0	1869601.0	1900857.0	1345183.0	1814375.0	1904385.0	1891111.0	1563003.0	1448912.0	929935.0	1858777.0	1908739.0	1884858.0	1918226.0	955115.0	1930899.0	1904214.0	2010419.0	1988811.0	1068136.0	1942544.0	1304507.0	2250465.0	1923646.0	1656820.0	1897983.0	1904859.0	1888688.0	1784701.0	1396130.0	1354819.0	1755688.0	1124665.0	1791125.0	1928823.0	1679500.0	2011233.0	1872624.0	1841673.0	1914475.0	1709846.0	1884004.0	1353219.0	1328150.0	1946757.0	1168419.0	1840527.0
ZeeviD_2015__PNP_Main_433__bin.48	2135997.0	1982160.0	2001157.0	2087327.0	1472755.0	1885658.0	2032800.0	1895391.0	1673288.0	1602852.0	960705.0	1973217.0	2065936.0	2031943.0	2000870.0	997931.0	1885322.0	2020077.0	1958446.0	1920493.0	1066892.0	2086778.0	1412498.0	1923646.0	2360982.0	1757293.0	2111280.0	2028727.0	2059724.0	1973387.0	1476547.0	1463590.0	1882890.0	1242919.0	1770498.0	2156772.0	1810667.0	1953876.0	2022804.0	1934345.0	2130995.0	1838488.0	1963117.0	1433548.0	1314204.0	1898428.0	1282609.0	1875245.0
ZeeviD_2015__PNP_Main_352__bin.44	1755541.0	1694114.0	1711169.0	1742695.0	1273785.0	1638392.0	1700640.0	1646062.0	1452680.0	1369635.0	891658.0	1672655.0	1735504.0	1717436.0	1718896.0	906248.0	1627687.0	1728946.0	1703304.0	1658318.0	941899.0	1743792.0	1219905.0	1656820.0	1757293.0	1892920.0	1727877.0	1729319.0	1738207.0	1644700.0	1318072.0	1305529.0	1615175.0	1080708.0	1544395.0	1760504.0	1542851.0	1693250.0	1731781.0	1649449.0	1773590.0	1623949.0	1701709.0	1275884.0	1152472.0	1681658.0	1107306.0	1631725.0
ZellerG_2014__CCMD18872694ST-21-0__bin.26	2119050.0	1945839.0	1990255.0	2038911.0	1448238.0	1862945.0	1994041.0	1881966.0	1671493.0	1564992.0	970765.0	1930957.0	2029725.0	2022754.0	1969269.0	986420.0	1856923.0	1975725.0	1942919.0	1899572.0	1055121.0	2030327.0	1420410.0	1897983.0	2111280.0	1727877.0	2332215.0	1994714.0	2017840.0	1999445.0	1490900.0	1467705.0	1872411.0	1224064.0	1755187.0	2075415.0	1806079.0	1920551.0	2000430.0	1898241.0	2122337.0	1803957.0	1943388.0	1434906.0	1318567.0	1888159.0	1275997.0	1853122.0
ZeeviD_2015__PNP_Main_681__bin.32	2061552.0	1959804.0	1994676.0	2013544.0	1408364.0	1900117.0	1997189.0	1894145.0	1668527.0	1525469.0	978761.0	1945800.0	1995359.0	1954565.0	2000476.0	1002202.0	1862253.0	2153226.0	1941295.0	1911970.0	1061133.0	2001116.0	1367210.0	1904859.0	2028727.0	1729319.0	1994714.0	2255575.0	1985633.0	1848697.0	1473967.0	1413994.0	1880701.0	1192993.0	1763800.0	2038846.0	1781957.0	1935339.0	1959890.0	1932992.0	2011368.0	1802500.0	1950120.0	1409445.0	1313116.0	1903142.0	1238475.0	1873253.0
SchirmerM_2016__G89063__bin.16	2062891.0	1937067.0	1940478.0	2003356.0	1442969.0	1878169.0	1965479.0	1885571.0	1644651.0	1571734.0	960171.0	1922575.0	2057342.0	1962229.0	1968378.0	985956.0	1872054.0	1968933.0	1938402.0	1887498.0	1068672.0	2058203.0	1381781.0	1888688.0	2059724.0	1738207.0	2017840.0	1985633.0	2261287.0	1892064.0	1478447.0	1436126.0	1845911.0	1208801.0	1761159.0	2046582.0	1761454.0	1924517.0	2016792.0	1914078.0	2020470.0	1846823.0	1940981.0	1446508.0	1317869.0	1893446.0	1263547.0	1885977.0
ZellerG_2014__CCIS29210128ST-4-0__bin.16	1973428.0	1827037.0	1861808.0	1907866.0	1429137.0	1760649.0	1859373.0	1748356.0	1576799.0	1506660.0	958195.0	1818139.0	1896558.0	1907402.0	1842490.0	949160.0	1734489.0	1829822.0	1825657.0	1813449.0	1016404.0	1876600.0	1342929.0	1784701.0	1973387.0	1644700.0	1999445.0	1848697.0	1892064.0	2118368.0	1408596.0	1449998.0	1747969.0	1190299.0	1663094.0	1934759.0	1690121.0	1801071.0	1857835.0	1755334.0	1954173.0	1705846.0	1842474.0	1389831.0	1255558.0	1782010.0	1228708.0	1734206.0
