	CM_cf__CF_TNFC045IS_t1M15__bin.5	CM_cf__CF_TNFC034IS_t5M16__bin.2	CM_cf__CF_FIFC013SS_t7M17__bin.1	CM_cf__CF_TNFC039IS_t3M15__bin.1	CM_cf__CF_TNFC045IS_t2M15__bin.5	CM_cf__CF_TNFC045IS_t3M15__bin.1	OlmMR_2017__S2_005_012W1__bin.8	CM_cf__CF_TNFC060IS_t1M15__bin.5	OlmMR_2017__S2_005_014G1__bin.7	CM_cf__CF_TNFC048IS_t2M15__bin.3	CM_cf__CF_FIFC003SS_t3M17__bin.2	OlmMR_2017__S2_005_011G1__bin.2	XieH_2016__YSZC12003_37193R1__bin.44	CM_cf__CF_FIFC013SS_t9M16__bin.2	CM_cf__CF_TNFC003IS_t2M15__bin.14	CM_cf__CF_TNFC034SS_t1M15__bin.12	LoombaR_2017__SID5640_ijm__bin.11	CM_cf__CF_FIFC013SS_t1M15__bin.1	CM_cf__CF_FIFC013SS_t4M15__bin.2	CM_cf__CF_TNFC051IS_t3M15__bin.4	VincentC_2016__MM074.2__bin.1	CM_cf__CF_TNFC003IS_t1M15__bin.11	CM_cf__CF_TNFC002IS_t3M15__bin.1	CM_cf__CF_TNFC065IS_t2M15__bin.1	CM_cf__CF_TNFC045IS_t4M15__bin.2	CM_cf__CF_TNFC034IS_t3M15__bin.1	CM_cf__CF_TNFC051IS_t4M15__bin.1	CM_cf__CF_TNFC059IS_t2M15__bin.9	CM_cf__CF_TNFC002IS_t1M15__bin.3	VincentC_2016__MM022.2__bin.33	OlmMR_2017__S2_005_015G1__bin.2	CM_cf__CF_TNFC051IS_t5M16__bin.1	CM_cf__CF_FIFC013SS_t6M16__bin.1	CM_cf__CF_TNFC059IS_t1M15__bin.3	CM_cf__CF_TNFC051IS_t1M15__bin.3	GeversD_2014__SKBSTL067__bin.12	OlmMR_2017__S2_005_022W1__bin.4	OhJ_2014__MET0227__bin.3	OhJ_2014__MET0042__bin.4
CM_cf__CF_TNFC002IS_t3M15__bin.1	18234.0	18705.0	18828.0	20927.0	18399.0	18556.0	16019.0	17733.0	29288.0	18202.0	18159.0	35418.0	18132.0	14708.0	18050.0	18176.0	17834.0	14561.0	16845.0	18939.0	17079.0	15752.0	0.0	18953.0	18399.0	17775.0	17740.0	15561.0	2420.0	18393.0	35532.0	14555.0	16877.0	17286.0	17160.0	12401.0	35992.0	19977.0	14633.0
CM_cf__CF_TNFC065IS_t2M15__bin.1	33879.0	33721.0	31738.0	35032.0	34170.0	34044.0	23279.0	26721.0	48281.0	27622.0	28252.0	64572.0	28786.0	22413.0	30721.0	30123.0	30583.0	20198.0	24668.0	31009.0	26517.0	27183.0	18953.0	0.0	33758.0	29536.0	28338.0	22670.0	28644.0	29568.0	64402.0	20498.0	25280.0	26023.0	26072.0	17639.0	63356.0	34647.0	22465.0
CM_cf__CF_TNFC045IS_t4M15__bin.2	1164.0	32479.0	32560.0	35792.0	1116.0	660.0	22507.0	27406.0	47104.0	28768.0	29266.0	61239.0	19590.0	22431.0	31824.0	30080.0	32786.0	22043.0	26084.0	32553.0	26912.0	27938.0	18399.0	33758.0	0.0	28820.0	29592.0	23939.0	28694.0	27867.0	60810.0	21713.0	26264.0	26035.0	27198.0	17274.0	60279.0	34576.0	22564.0
CM_cf__CF_TNFC034IS_t3M15__bin.1	28690.0	2894.0	28823.0	32739.0	29065.0	28779.0	20400.0	25155.0	40365.0	26729.0	26519.0	52553.0	24634.0	21059.0	27304.0	25648.0	28860.0	19952.0	23057.0	29165.0	24038.0	24607.0	17775.0	29536.0	28820.0	0.0	26914.0	22459.0	25961.0	27212.0	52808.0	19986.0	23910.0	24656.0	24653.0	15957.0	52166.0	30834.0	22811.0
CM_cf__CF_TNFC051IS_t4M15__bin.1	29686.0	29564.0	2941.0	35576.0	30209.0	29952.0	21933.0	27444.0	44980.0	28918.0	4361.0	58451.0	26685.0	3865.0	32126.0	27165.0	29921.0	3295.0	3163.0	2471.0	4716.0	28922.0	17740.0	28338.0	29592.0	26914.0	0.0	22041.0	26809.0	31425.0	59284.0	3775.0	3605.0	25522.0	3433.0	16748.0	58826.0	34068.0	22664.0
CM_cf__CF_TNFC059IS_t2M15__bin.9	23479.0	24164.0	25985.0	25924.0	23830.0	23668.0	18989.0	8724.0	35788.0	9297.0	24048.0	44264.0	20871.0	20328.0	24173.0	22228.0	24248.0	18458.0	21063.0	24329.0	20908.0	22187.0	15561.0	22670.0	23939.0	22459.0	22041.0	0.0	21461.0	23350.0	44721.0	18709.0	21201.0	12546.0	21865.0	14471.0	43782.0	24269.0	18759.0
CM_cf__CF_TNFC002IS_t1M15__bin.3	28594.0	28787.0	28547.0	32133.0	28699.0	28534.0	21129.0	25118.0	43674.0	25557.0	26591.0	54896.0	26317.0	20273.0	26856.0	27598.0	27880.0	19950.0	22576.0	28547.0	25085.0	24036.0	2420.0	28644.0	28694.0	25961.0	26809.0	21461.0	0.0	26878.0	54837.0	18940.0	23370.0	24736.0	24002.0	16346.0	54667.0	30677.0	20366.0
VincentC_2016__MM022.2__bin.33	28017.0	30776.0	35473.0	36221.0	28293.0	27866.0	22099.0	29970.0	44964.0	30995.0	32758.0	54204.0	27448.0	25872.0	33491.0	28145.0	33192.0	23560.0	29915.0	34905.0	30049.0	30295.0	18393.0	29568.0	27867.0	27212.0	31425.0	23350.0	26878.0	0.0	54704.0	25604.0	29543.0	26266.0	32022.0	16824.0	54621.0	30821.0	22883.0
OlmMR_2017__S2_005_015G1__bin.2	61179.0	61247.0	71706.0	70947.0	61839.0	62426.0	418.0	52926.0	426.0	56454.0	62124.0	782.0	50794.0	49149.0	66244.0	60423.0	62932.0	42849.0	56664.0	66905.0	54002.0	56774.0	35532.0	64402.0	60810.0	52808.0	59284.0	44721.0	54837.0	54704.0	0.0	42414.0	57178.0	52970.0	55542.0	28889.0	5246.0	63230.0	41354.0
CM_cf__CF_TNFC051IS_t5M16__bin.1	22071.0	21800.0	5038.0	29947.0	22317.0	22320.0	17830.0	22976.0	33912.0	23665.0	5727.0	42147.0	20967.0	5221.0	27159.0	20552.0	24468.0	4631.0	5819.0	2547.0	5230.0	24352.0	14555.0	20498.0	21713.0	19986.0	3775.0	18709.0	18940.0	25604.0	42414.0	0.0	5734.0	20883.0	3900.0	14872.0	42484.0	25055.0	21145.0
CM_cf__CF_FIFC013SS_t6M16__bin.1	25701.0	25761.0	3172.0	34762.0	26441.0	26053.0	21872.0	27387.0	45013.0	29199.0	4318.0	55459.0	23091.0	4939.0	34045.0	24258.0	29742.0	2558.0	5148.0	5687.0	5638.0	29291.0	16877.0	25280.0	26264.0	23910.0	3605.0	21201.0	23370.0	29543.0	57178.0	5734.0	0.0	25370.0	6521.0	17081.0	52458.0	31801.0	27266.0
CM_cf__CF_TNFC059IS_t1M15__bin.3	25978.0	26701.0	30793.0	31163.0	25894.0	26095.0	23078.0	13540.0	43512.0	14995.0	28839.0	51848.0	21967.0	23394.0	28619.0	26448.0	28238.0	20584.0	25505.0	27691.0	25089.0	25734.0	17286.0	26023.0	26035.0	24656.0	25522.0	12546.0	24736.0	26266.0	52970.0	20883.0	25370.0	0.0	25193.0	15398.0	50487.0	27078.0	22151.0
CM_cf__CF_TNFC051IS_t1M15__bin.3	27002.0	27503.0	6210.0	38189.0	27599.0	27469.0	21255.0	28242.0	43286.0	29511.0	6415.0	54634.0	24609.0	6551.0	33180.0	24990.0	30920.0	4110.0	5760.0	2779.0	5967.0	29737.0	17160.0	26072.0	27198.0	24653.0	3433.0	21865.0	24002.0	32022.0	55542.0	3900.0	6521.0	25193.0	0.0	16330.0	53419.0	31849.0	24287.0
GeversD_2014__SKBSTL067__bin.12	17176.0	17529.0	19469.0	20212.0	17602.0	17201.0	15046.0	15411.0	26623.0	16857.0	17927.0	28100.0	15990.0	15144.0	18535.0	16559.0	17476.0	13828.0	17592.0	18016.0	16409.0	16627.0	12401.0	17639.0	17274.0	15957.0	16748.0	14471.0	16346.0	16824.0	28889.0	14872.0	17081.0	15398.0	16330.0	0.0	27538.0	16589.0	13617.0
OlmMR_2017__S2_005_022W1__bin.4	60151.0	60431.0	65236.0	64710.0	60908.0	60383.0	1162.0	53298.0	3408.0	54273.0	57440.0	5225.0	50628.0	43247.0	63686.0	60051.0	60995.0	42261.0	51054.0	63120.0	53271.0	55571.0	35992.0	63356.0	60279.0	52166.0	58826.0	43782.0	54667.0	54621.0	5246.0	42484.0	52458.0	50487.0	53419.0	27538.0	0.0	61492.0	38863.0
OhJ_2014__MET0227__bin.3	34165.0	35286.0	38816.0	41008.0	34591.0	34721.0	22058.0	28450.0	48701.0	30167.0	35929.0	63083.0	30120.0	28460.0	38282.0	31629.0	34944.0	24587.0	31428.0	37269.0	32737.0	32162.0	19977.0	34647.0	34576.0	30834.0	34068.0	24269.0	30677.0	30821.0	63230.0	25055.0	31801.0	27078.0	31849.0	16589.0	61492.0	0.0	22629.0
OhJ_2014__MET0042__bin.4	22850.0	25098.0	29112.0	25776.0	22960.0	22956.0	16765.0	23553.0	33276.0	25198.0	28075.0	40122.0	21244.0	23751.0	25280.0	20189.0	25967.0	19662.0	26984.0	26908.0	22946.0	23483.0	14633.0	22465.0	22564.0	22811.0	22664.0	18759.0	20366.0	22883.0	41354.0	21145.0	27266.0	22151.0	24287.0	13617.0	38863.0	22629.0	0.0
