	HMP_2012__SRS022071__bin.72	KarlssonFH_2013__S278__bin.14	RaymondF_2016__P1E0__bin.43	NielsenHB_2014__O2_UC31_0__bin.13	NielsenHB_2014__O2_UC40_2__bin.1	ZeeviD_2015__PNP_Main_223__bin.14	RampelliS_2015__H16__bin.44	RampelliS_2015__H15__bin.1	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.22	ZeeviD_2015__PNP_Main_282__bin.34	NielsenHB_2014__V1_CD38_0__bin.62	XieH_2016__YSZC12003_37583__bin.3	LiJ_2014__O2.UC31-1__bin.33	RampelliS_2015__H27__bin.20	NielsenHB_2014__O2_UC44_0__bin.31	XieH_2016__YSZC12003_36526__bin.4	ZeeviD_2015__PNP_Validation_93__bin.16	XieH_2016__YSZC12003_37196__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.64	LeChatelierE_2013__MH0430__bin.89	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.59	LeChatelierE_2013__MH0457__bin.85	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.101	NielsenHB_2014__MH0069__bin.2	ZeeviD_2015__PNP_Main_643__bin.24	ZeeviD_2015__PNP_Main_756__bin.41	RaymondF_2016__P1E7__bin.24	ZeeviD_2015__PNP_Main_116__bin.30	ZeeviD_2015__PNP_Main_744__bin.5	CosteaPI_2017__SID713B040-11-90-0__bin.59	XieH_2016__YSZC12003_35561__bin.37	LeChatelierE_2013__MH0069__bin.18	ZellerG_2014__CCIS00146684ST-4-0__bin.38	XieH_2016__YSZC12003_35550__bin.17	LeChatelierE_2013__MH0126__bin.18	LiJ_2014__V1.FI14__bin.49	CosteaPI_2017__SID713B063-11-0-0__bin.59	QinN_2014__HD-18__bin.24	XieH_2016__YSZC12003_35698__bin.46	XieH_2016__YSZC12003_37181R1__bin.36	LiJ_2014__O2.UC40-1__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.41
VogtmannE_2016__MMRS94549160ST-27-0-0__bin.59	13782.0	14869.0	30639.0	22533.0	33672.0	29064.0	23755.0	31123.0	21730.0	22169.0	37070.0	20428.0	14725.0	24915.0	42412.0	40936.0	20940.0	39893.0	35548.0	18617.0	0.0	27009.0	25744.0	23387.0	22829.0	12874.0	30716.0	26134.0	19914.0	20347.0	17462.0	26608.0	18226.0	30720.0	30964.0	20953.0	12796.0	42686.0	36227.0	34096.0	27609.0	38218.0
LeChatelierE_2013__MH0457__bin.85	20094.0	18080.0	4389.0	25796.0	19633.0	24864.0	22725.0	26860.0	26028.0	19749.0	4121.0	15161.0	14991.0	23092.0	23421.0	23947.0	25327.0	23529.0	20833.0	11375.0	27009.0	0.0	16389.0	21396.0	20846.0	17241.0	4809.0	23565.0	24092.0	1899.0	14187.0	23835.0	21457.0	19021.0	18734.0	25915.0	20337.0	23430.0	19172.0	19599.0	13771.0	22171.0
Bengtsson-PalmeJ_2015__TRAVELRES11__bin.101	19217.0	16709.0	18235.0	25394.0	10536.0	23007.0	18817.0	21159.0	25558.0	17912.0	21471.0	12778.0	15870.0	19833.0	1888.0	2043.0	24625.0	2212.0	11330.0	4811.0	25744.0	16389.0	0.0	20154.0	19953.0	18198.0	18147.0	21875.0	23971.0	8842.0	11720.0	22539.0	21423.0	3144.0	6850.0	25287.0	21138.0	11511.0	1393.0	9959.0	5720.0	11023.0
NielsenHB_2014__MH0069__bin.2	16993.0	16137.0	24936.0	23137.0	25995.0	2928.0	22565.0	26459.0	24145.0	2494.0	28270.0	10465.0	13591.0	23077.0	29549.0	29343.0	22853.0	29520.0	26076.0	13069.0	23387.0	21396.0	20154.0	0.0	3139.0	14656.0	24917.0	2669.0	21865.0	15280.0	8507.0	783.0	19885.0	23616.0	23064.0	23272.0	17579.0	30274.0	25438.0	24943.0	19280.0	27982.0
ZeeviD_2015__PNP_Main_643__bin.24	16252.0	15911.0	24021.0	22695.0	23749.0	2706.0	20808.0	25065.0	23349.0	2036.0	27957.0	9779.0	14838.0	22133.0	29563.0	28474.0	22160.0	28908.0	25536.0	14592.0	22829.0	20846.0	19953.0	3139.0	0.0	15373.0	24345.0	2281.0	21584.0	13425.0	8194.0	3238.0	20061.0	23376.0	21241.0	22499.0	17539.0	29202.0	24212.0	23617.0	17310.0	27632.0
ZeeviD_2015__PNP_Main_756__bin.41	10604.0	9658.0	19960.0	14056.0	21422.0	17711.0	15406.0	18844.0	13556.0	14496.0	21793.0	11418.0	10056.0	16509.0	25399.0	24891.0	13227.0	24975.0	23210.0	13697.0	12874.0	17241.0	18198.0	14656.0	15373.0	0.0	19968.0	16023.0	13174.0	10022.0	8816.0	16061.0	12655.0	20198.0	19701.0	13683.0	10454.0	26226.0	20856.0	21956.0	14722.0	24907.0
RaymondF_2016__P1E7__bin.24	22851.0	20129.0	1480.0	29634.0	22890.0	29059.0	24510.0	29459.0	30040.0	22711.0	4414.0	17889.0	18277.0	26764.0	27243.0	27223.0	29195.0	26693.0	23501.0	12913.0	30716.0	4809.0	18147.0	24917.0	24345.0	19968.0	0.0	26838.0	27673.0	1691.0	16124.0	27257.0	24714.0	22726.0	20095.0	28995.0	24385.0	27405.0	21347.0	22321.0	15846.0	24852.0
ZeeviD_2015__PNP_Main_116__bin.30	18237.0	18039.0	25979.0	25479.0	26896.0	290.0	24521.0	28974.0	25826.0	1403.0	30194.0	10311.0	15083.0	24700.0	33029.0	32954.0	24652.0	32730.0	28277.0	14925.0	26134.0	23565.0	21875.0	2669.0	2281.0	16023.0	26838.0	0.0	23846.0	16458.0	7873.0	3183.0	21027.0	25465.0	24861.0	25534.0	19427.0	33003.0	28215.0	27359.0	21162.0	30517.0
ZeeviD_2015__PNP_Main_744__bin.5	12487.0	6348.0	27323.0	5235.0	29787.0	25608.0	22030.0	27160.0	4503.0	20146.0	32330.0	19297.0	3756.0	22771.0	35175.0	35163.0	4498.0	35011.0	31158.0	15132.0	19914.0	24092.0	23971.0	21865.0	21584.0	13174.0	27673.0	23846.0	0.0	17868.0	16184.0	24629.0	2284.0	26884.0	26807.0	4662.0	15796.0	36818.0	30778.0	30080.0	23675.0	33966.0
CosteaPI_2017__SID713B040-11-90-0__bin.59	14596.0	12198.0	1325.0	19032.0	12588.0	17945.0	17488.0	19949.0	19950.0	12356.0	1486.0	16894.0	4756.0	15576.0	14810.0	14794.0	18992.0	15042.0	12611.0	675.0	20347.0	1899.0	8842.0	15280.0	13425.0	10022.0	1691.0	16458.0	17868.0	0.0	17679.0	17440.0	13992.0	10764.0	12241.0	19111.0	13886.0	14294.0	15485.0	12076.0	15167.0	13301.0
