	FerrettiP_2018__CA_C10052IS2920FE_t5M16__bin.18	BackhedF_2015__SID637_12M__bin.13	HanniganGD_2017__MG100141__bin.3	LiJ_2017__H3M515101__bin.28	BritoIL_2016__M2.11.ST__bin.78	BackhedF_2015__SID532_B__bin.4	BackhedF_2015__SID532_4M__bin.27	FerrettiP_2018__CA_C10055IS2962FE_t1M16__bin.7	BackhedF_2015__SID150_4M__bin.4	FerrettiP_2018__CA_C10008IS2123FE_t2M15__bin.1	LiJ_2017__H1M513852__bin.3	HeQ_2017__SZAXPI029549-142__bin.2	RaymondF_2016__P12E7__bin.2	NielsenHB_2014__V1_UC21_4__bin.50	QinJ_2012__CON-028__bin.32	FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.12	FerrettiP_2018__CA_C10002IS2028FE_t4M15__bin.1	FengQ_2015__SID530756__bin.23	QinJ_2012__CON-092__bin.31	QinN_2014__LV-7__bin.2	LiJ_2017__H1M613825__bin.35	FerrettiP_2018__CA_C10008IS2127FE_t3M15__bin.2	VatanenT_2016__G80482__bin.10	LiuW_2016__SRR3992991__bin.57	LiJ_2017__H1F513818__bin.2	QinJ_2012__DOM005__bin.7	LiJ_2017__H3M516909__bin.27	VatanenT_2016__G80272__bin.10	QinJ_2012__DOF008__bin.42	KosticAD_2015__PRJNA231909.3113669__bin.9	VincentC_2016__MM074.2__bin.4	VatanenT_2016__G78861__bin.2	XieH_2016__YSZC12003_35550__bin.126	BackhedF_2015__SID335_4M__bin.7	LiJ_2017__nHM612836__bin.16	LiJ_2014__DOM005-IE__bin.4	ZellerG_2014__CCIS78318719ST-4-0__bin.28	BackhedF_2015__SID70_4M__bin.12	VatanenT_2016__G78488__bin.1
FerrettiP_2018__CA_C10008IS2127FE_t3M15__bin.2	3860258.0	4247496.0	4011689.0	3463861.0	4177575.0	4413241.0	3693001.0	3041126.0	2995390.0	4398945.0	3968299.0	3933574.0	3258467.0	4216379.0	3819767.0	3901575.0	4040211.0	3964437.0	2643595.0	3502657.0	3704323.0	4597956.0	3983234.0	3546993.0	3672309.0	3817466.0	3566643.0	3892759.0	3828902.0	2740084.0	3915581.0	3662158.0	2308916.0	4308532.0	3842051.0	3863667.0	4017931.0	3695943.0	2776503.0
VatanenT_2016__G80482__bin.10	3808742.0	4042572.0	4178206.0	3467599.0	4073368.0	4114628.0	3826900.0	2859024.0	2991790.0	4044818.0	3930329.0	3940390.0	3231859.0	3949369.0	3794282.0	4044595.0	4162764.0	4296735.0	2556258.0	3634526.0	3771053.0	3983234.0	4830016.0	3678017.0	3751272.0	3978759.0	3677924.0	3885535.0	3806365.0	2794994.0	3792389.0	3490644.0	2404496.0	3970624.0	3959052.0	4049288.0	3997315.0	3536113.0	2895477.0
LiuW_2016__SRR3992991__bin.57	3420509.0	3591286.0	3674607.0	3114111.0	3615936.0	3600992.0	3345610.0	2591785.0	2624766.0	3574925.0	3533010.0	3484968.0	2901757.0	3498812.0	3360821.0	3571147.0	3665622.0	3624234.0	2269648.0	3203967.0	3453003.0	3546993.0	3678017.0	4080329.0	3418484.0	3499162.0	3339032.0	3440447.0	3402815.0	2506310.0	3354296.0	3114955.0	2151934.0	3525237.0	3534732.0	3556415.0	3567287.0	3123729.0	2548348.0
LiJ_2017__H1F513818__bin.2	3462396.0	3727773.0	3779971.0	3283316.0	3708836.0	3710904.0	3504081.0	2649972.0	2723607.0	3701975.0	3683965.0	3609384.0	3013658.0	3645604.0	3558555.0	3693164.0	3792519.0	3730457.0	2377784.0	3309930.0	3630712.0	3672309.0	3751272.0	3418484.0	3850187.0	3607893.0	3492213.0	3597157.0	3524299.0	2636783.0	3486269.0	3262035.0	2201320.0	3670763.0	3691830.0	3668512.0	3684172.0	3274804.0	2631195.0
QinJ_2012__DOM005__bin.7	3570906.0	3882655.0	3989721.0	3340360.0	3873811.0	3875429.0	3756645.0	2713784.0	2899899.0	3849294.0	3788168.0	3730449.0	3117799.0	3792754.0	3653807.0	3952259.0	4010633.0	3921654.0	2484343.0	3535393.0	3643216.0	3817466.0	3978759.0	3499162.0	3607893.0	4288363.0	3536619.0	3728907.0	3684877.0	2702959.0	3633001.0	3378546.0	2283954.0	3794299.0	3835516.0	4119091.0	3826303.0	3408198.0	2774544.0
LiJ_2017__H3M516909__bin.27	3405660.0	3634102.0	3691324.0	3185763.0	3626220.0	3600385.0	3458489.0	2572480.0	2648044.0	3589111.0	3563106.0	3562073.0	2898298.0	3520502.0	3456558.0	3630712.0	3713822.0	3672256.0	2296826.0	3231616.0	3539236.0	3566643.0	3677924.0	3339032.0	3492213.0	3536619.0	3948736.0	3495959.0	3436445.0	2518919.0	3388228.0	3132888.0	2127190.0	3572851.0	3628468.0	3628876.0	3601850.0	3167782.0	2554754.0
VatanenT_2016__G80272__bin.10	3684880.0	3977609.0	3895633.0	3420166.0	3959700.0	3954323.0	3595370.0	2806840.0	2907174.0	3951775.0	3858607.0	3852055.0	3194699.0	3894986.0	3747385.0	3793116.0	3898242.0	3833860.0	2558379.0	3415996.0	3608530.0	3892759.0	3885535.0	3440447.0	3597157.0	3728907.0	3495959.0	4215607.0	3822004.0	2644512.0	3702965.0	3464138.0	2270015.0	3917286.0	3748527.0	3779598.0	3958449.0	3504385.0	2727925.0
QinJ_2012__DOF008__bin.42	3654622.0	3928462.0	3799286.0	3350708.0	3877789.0	3901352.0	3536395.0	2757269.0	2940402.0	3870208.0	3835649.0	3826391.0	3116945.0	3819665.0	3716676.0	3728704.0	3837015.0	3782280.0	2495651.0	3377359.0	3549128.0	3828902.0	3806365.0	3402815.0	3524299.0	3684877.0	3436445.0	3822004.0	4141962.0	2594905.0	3664390.0	3415844.0	2217753.0	3848068.0	3671195.0	3742112.0	3901985.0	3435795.0	2676665.0
KosticAD_2015__PRJNA231909.3113669__bin.9	2503928.0	2771189.0	2820928.0	2378738.0	2737821.0	2766934.0	2596981.0	2084391.0	2034244.0	2759852.0	2689791.0	2657205.0	2267428.0	2711388.0	2607385.0	2766950.0	2827715.0	2783598.0	1825752.0	2510773.0	2594902.0	2740084.0	2794994.0	2506310.0	2636783.0	2702959.0	2518919.0	2644512.0	2594905.0	2981741.0	2584037.0	2456082.0	1749229.0	2725130.0	2689310.0	2734001.0	2703010.0	2427366.0	2067462.0
VincentC_2016__MM074.2__bin.4	3848727.0	3963415.0	3811464.0	3306114.0	3972980.0	4009251.0	3512035.0	2800330.0	2851918.0	3954693.0	3756066.0	3751683.0	3062007.0	3893005.0	3628550.0	3718056.0	3838720.0	3756280.0	2513850.0	3329928.0	3511165.0	3915581.0	3792389.0	3354296.0	3486269.0	3633001.0	3388228.0	3702965.0	3664390.0	2584037.0	4227473.0	3452918.0	2199534.0	3920529.0	3650776.0	3676280.0	3840208.0	3474605.0	2636478.0
VatanenT_2016__G78861__bin.2	3347359.0	3731530.0	3535790.0	3105178.0	3666946.0	3717086.0	3232416.0	2702462.0	2675754.0	3728974.0	3499845.0	3460050.0	2924899.0	3681601.0	3391510.0	3438708.0	3542847.0	3451028.0	2395168.0	3143504.0	3253191.0	3662158.0	3490644.0	3114955.0	3262035.0	3378546.0	3132888.0	3464138.0	3415844.0	2456082.0	3452918.0	3859239.0	2089095.0	3668285.0	3376917.0	3395469.0	3568694.0	3303998.0	2508417.0
XieH_2016__YSZC12003_35550__bin.126	2131657.0	2338794.0	2371553.0	2025587.0	2330984.0	2346691.0	2176269.0	1880635.0	1736455.0	2321493.0	2297882.0	2242069.0	1963331.0	2309986.0	2203538.0	2351149.0	2389974.0	2392609.0	1567588.0	2143176.0	2206040.0	2308916.0	2404496.0	2151934.0	2201320.0	2283954.0	2127190.0	2270015.0	2217753.0	1749229.0	2199534.0	2089095.0	2490106.0	2286183.0	2292838.0	2304876.0	2288610.0	2097363.0	1778448.0
BackhedF_2015__SID335_4M__bin.7	3922274.0	4266228.0	4027541.0	3482792.0	4168564.0	4423924.0	3706067.0	3059268.0	2987455.0	4353006.0	3949569.0	3926693.0	3252501.0	4259066.0	3825896.0	3883386.0	4035270.0	3962992.0	2635764.0	3496828.0	3705525.0	4308532.0	3970624.0	3525237.0	3670763.0	3794299.0	3572851.0	3917286.0	3848068.0	2725130.0	3920529.0	3668285.0	2286183.0	4627506.0	3859463.0	3861026.0	4044182.0	3676511.0	2767088.0
LiJ_2017__nHM612836__bin.16	3582963.0	3903169.0	3977924.0	3403512.0	3886484.0	3922994.0	3708156.0	2738682.0	2853276.0	3881475.0	3847309.0	3783754.0	3147982.0	3816453.0	3671053.0	3873292.0	3997914.0	3940076.0	2485673.0	3489511.0	3739885.0	3842051.0	3959052.0	3534732.0	3691830.0	3835516.0	3628468.0	3748527.0	3671195.0	2689310.0	3650776.0	3376917.0	2292838.0	3859463.0	4193947.0	3925662.0	3849690.0	3401653.0	2755108.0
LiJ_2014__DOM005-IE__bin.4	3628068.0	3936213.0	4060994.0	3395163.0	3929153.0	3914107.0	3820002.0	2726710.0	2933065.0	3885186.0	3827907.0	3807298.0	3157994.0	3827086.0	3704251.0	3999469.0	4075837.0	4008893.0	2497505.0	3580406.0	3721759.0	3863667.0	4049288.0	3556415.0	3668512.0	4119091.0	3628876.0	3779598.0	3742112.0	2734001.0	3676280.0	3395469.0	2304876.0	3861026.0	3925662.0	4343846.0	3879364.0	3438868.0	2798981.0
ZellerG_2014__CCIS78318719ST-4-0__bin.28	3829398.0	4126760.0	4025990.0	3509597.0	4128909.0	4098193.0	3664573.0	2853574.0	3061916.0	4100096.0	4011004.0	4041215.0	3329967.0	4005941.0	3843749.0	3910874.0	4063405.0	3950787.0	2606024.0	3517076.0	3724386.0	4017931.0	3997315.0	3567287.0	3684172.0	3826303.0	3601850.0	3958449.0	3901985.0	2703010.0	3840208.0	3568694.0	2288610.0	4044182.0	3849690.0	3879364.0	4409051.0	3571096.0	2787132.0
BackhedF_2015__SID70_4M__bin.12	3405614.0	3793117.0	3548159.0	3139201.0	3708422.0	3763182.0	3261140.0	2736978.0	2756645.0	3722560.0	3506864.0	3476974.0	2939738.0	3706358.0	3423965.0	3481519.0	3560805.0	3512578.0	2467864.0	3147829.0	3300172.0	3695943.0	3536113.0	3123729.0	3274804.0	3408198.0	3167782.0	3504385.0	3435795.0	2427366.0	3474605.0	3303998.0	2097363.0	3676511.0	3401653.0	3438868.0	3571096.0	4068592.0	2505329.0
VatanenT_2016__G78488__bin.1	2513500.0	2829013.0	2891687.0	2457856.0	2811530.0	2825812.0	2661769.0	2150219.0	2120452.0	2812644.0	2773139.0	2748101.0	2339209.0	2750352.0	2634657.0	2803225.0	2905924.0	2838649.0	1881051.0	2566201.0	2637898.0	2776503.0	2895477.0	2548348.0	2631195.0	2774544.0	2554754.0	2727925.0	2676665.0	2067462.0	2636478.0	2508417.0	1778448.0	2767088.0	2755108.0	2798981.0	2787132.0	2505329.0	3163290.0
