	KarlssonFH_2013__S353__bin.6	ZeeviD_2015__PNP_Main_251__bin.30	WenC_2017__RA064__bin.43	KarlssonFH_2013__S397__bin.10	QinN_2014__LD-45__bin.10	FengQ_2015__SID532826__bin.13	ZeeviD_2015__PNP_Main_124__bin.16	GeversD_2014__SKBSTL023__bin.18	BackhedF_2015__SID229_12M__bin.34	LiJ_2014__O2.UC15-0__bin.11	BackhedF_2015__SID274_M__bin.36	NielsenHB_2014__V1_CD18_0__bin.7	KarlssonFH_2013__S195__bin.42	NielsenHB_2014__V1_CD10_0__bin.8	IjazUZ_2017__S47_a_WGS__bin.4	LoombaR_2017__SID1049_baw__bin.4	FengQ_2015__SID31582__bin.27	BackhedF_2015__SID598_M__bin.5	HeQ_2017__RSZAXPI003097-131__bin.25	ZeeviD_2015__PNP_Main_108__bin.39	BackhedF_2015__SID195_12M__bin.32	YuJ_2015__SZAXPI015210-17__bin.59	HeQ_2017__SZAXPI029466-158__bin.40	BackhedF_2015__SID1_4M__bin.5	XieH_2016__YSZC12003_35563__bin.69	XieH_2016__YSZC12003_37399__bin.52	XieH_2016__YSZC12003_35734__bin.1	XieH_2016__YSZC12003_37400__bin.21	FengQ_2015__SID31236__bin.21	GeversD_2014__SKBSTL006__bin.30	BackhedF_2015__SID103_B__bin.11	XieH_2016__YSZC12003_37754__bin.94	FengQ_2015__SID31398__bin.3	ZeeviD_2015__PNP_Main_396__bin.81	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.25	ZeeviD_2015__PNP_Main_240__bin.1	QinJ_2012__CON-104__bin.37	ZeeviD_2015__PNP_Main_191__bin.9
BackhedF_2015__SID195_12M__bin.32	1806312.0	2216923.0	2209279.0	1693362.0	2256723.0	2021588.0	2314433.0	2304971.0	2305927.0	1199120.0	2263231.0	2322613.0	1180876.0	1137971.0	1370389.0	1277424.0	2312502.0	2192416.0	1877583.0	1693552.0	3262134.0	1461799.0	2282949.0	1475883.0	2297947.0	1953831.0	2225496.0	1362962.0	2268212.0	2199195.0	2262304.0	2153535.0	2294127.0	2289764.0	2004360.0	2254508.0	2021842.0	2213655.0
YuJ_2015__SZAXPI015210-17__bin.59	1394436.0	1535359.0	1534858.0	1241396.0	1637056.0	1425268.0	1662092.0	1634497.0	1629790.0	860273.0	1565908.0	1638387.0	858952.0	1269782.0	1012555.0	1025887.0	1664850.0	1514540.0	1503020.0	1208000.0	1461799.0	1839108.0	1680392.0	1028769.0	1655140.0	1374748.0	1534024.0	935510.0	1635810.0	1526668.0	1593603.0	1555601.0	1647094.0	1636596.0	1396685.0	1600292.0	1450895.0	1533285.0
HeQ_2017__SZAXPI029466-158__bin.40	1979120.0	2545276.0	2541427.0	1911458.0	2657581.0	2247585.0	2679394.0	2735968.0	2676057.0	1312893.0	2552176.0	2704125.0	1259317.0	1267444.0	1548053.0	1392687.0	2666195.0	2492077.0	2187658.0	1878750.0	2282949.0	1680392.0	3040945.0	1575984.0	2627323.0	2185830.0	2534246.0	1426786.0	2568794.0	2506438.0	2598989.0	2466056.0	2654402.0	2705189.0	2218228.0	2606578.0	2401206.0	2579052.0
BackhedF_2015__SID1_4M__bin.5	1246404.0	1508819.0	1483735.0	1210928.0	1547876.0	1330152.0	1574935.0	1598956.0	1550848.0	903491.0	1524869.0	1577528.0	882236.0	816875.0	997390.0	1039010.0	1550367.0	1448228.0	1334973.0	1187996.0	1475883.0	1028769.0	1575984.0	1776641.0	1580845.0	1379005.0	1479056.0	1020309.0	1559688.0	1486192.0	1539006.0	1465289.0	1544194.0	1563542.0	1474102.0	1522338.0	1348816.0	1469582.0
XieH_2016__YSZC12003_35563__bin.69	1985491.0	2516155.0	2460347.0	1912193.0	2560313.0	2268638.0	2723865.0	2658991.0	2637776.0	1305119.0	2526475.0	2640000.0	1253314.0	1241576.0	1514743.0	1373391.0	2694934.0	2516370.0	2091538.0	1857594.0	2297947.0	1655140.0	2627323.0	1580845.0	2968294.0	2158435.0	2556360.0	1431087.0	2606619.0	2477785.0	2631633.0	2469972.0	2684561.0	2637657.0	2163994.0	2556129.0	2342766.0	2544398.0
XieH_2016__YSZC12003_37399__bin.52	1694453.0	2110806.0	2112092.0	1600536.0	2145679.0	1923833.0	2186212.0	2213267.0	2243702.0	1141982.0	2158616.0	2257829.0	1101012.0	1066760.0	1309527.0	1211483.0	2191095.0	2081657.0	1784888.0	1604488.0	1953831.0	1374748.0	2185830.0	1379005.0	2158435.0	3151091.0	2084749.0	1283352.0	2153301.0	2067969.0	2154037.0	2048795.0	2207140.0	2222596.0	1938272.0	2129511.0	1941521.0	2145242.0
XieH_2016__YSZC12003_35734__bin.1	1932487.0	2454424.0	2406539.0	1826974.0	2459956.0	2253915.0	2591842.0	2576719.0	2552359.0	1232356.0	2453734.0	2556249.0	1197504.0	1178233.0	1453845.0	1364247.0	2618667.0	2465178.0	1999734.0	1803815.0	2225496.0	1534024.0	2534246.0	1479056.0	2556360.0	2084749.0	2851170.0	1366195.0	2486993.0	2399888.0	2518619.0	2396416.0	2596765.0	2557552.0	2061864.0	2461914.0	2275488.0	2535555.0
XieH_2016__YSZC12003_37400__bin.21	1193546.0	1391661.0	1385580.0	1077654.0	1403585.0	1245867.0	1449069.0	1428873.0	1431244.0	797914.0	1407828.0	1442721.0	805617.0	742707.0	873400.0	854650.0	1439606.0	1345077.0	1198547.0	1125895.0	1362962.0	935510.0	1426786.0	1020309.0	1431087.0	1283352.0	1366195.0	3070923.0	1429693.0	1383913.0	1414198.0	1377570.0	1436686.0	1427290.0	1323110.0	1381285.0	1244491.0	1363834.0
FengQ_2015__SID31236__bin.21	1986334.0	2456453.0	2445242.0	1892668.0	2529017.0	2228006.0	2645220.0	2581484.0	2594445.0	1276706.0	2479253.0	2576501.0	1250064.0	1238088.0	1487161.0	1374697.0	2634909.0	2471389.0	2051970.0	1836497.0	2268212.0	1635810.0	2568794.0	1559688.0	2606619.0	2153301.0	2486993.0	1429693.0	3041707.0	2425391.0	2608196.0	2461585.0	2648672.0	2586500.0	2146907.0	2478899.0	2298013.0	2481734.0
GeversD_2014__SKBSTL006__bin.30	1906053.0	2420589.0	2366952.0	1793208.0	2436769.0	2127088.0	2510141.0	2526488.0	2530087.0	1269756.0	2429179.0	2556314.0	1213053.0	1188944.0	1451870.0	1319380.0	2488120.0	2363953.0	1995233.0	1820916.0	2199195.0	1526668.0	2506438.0	1486192.0	2477785.0	2067969.0	2399888.0	1383913.0	2425391.0	2807620.0	2450930.0	2334061.0	2491425.0	2540336.0	2113100.0	2421463.0	2192103.0	2440592.0
BackhedF_2015__SID103_B__bin.11	2001346.0	2492608.0	2446079.0	1943102.0	2545765.0	2243709.0	2702358.0	2621088.0	2598013.0	1266531.0	2507124.0	2603910.0	1243540.0	1212937.0	1491865.0	1362762.0	2694544.0	2514262.0	2070895.0	1835581.0	2262304.0	1593603.0	2598989.0	1539006.0	2631633.0	2154037.0	2518619.0	1414198.0	2608196.0	2450930.0	2950664.0	2502728.0	2731285.0	2619748.0	2129674.0	2531188.0	2350267.0	2523552.0
XieH_2016__YSZC12003_37754__bin.94	1957189.0	2361616.0	2347478.0	1807651.0	2416562.0	2116466.0	2516742.0	2474886.0	2460623.0	1209686.0	2380764.0	2471331.0	1198053.0	1189191.0	1420526.0	1325409.0	2535063.0	2364182.0	1966916.0	1771290.0	2153535.0	1555601.0	2466056.0	1465289.0	2469972.0	2048795.0	2396416.0	1377570.0	2461585.0	2334061.0	2502728.0	2809016.0	2575126.0	2486492.0	2040871.0	2375856.0	2193583.0	2402217.0
FengQ_2015__SID31398__bin.3	2042552.0	2535203.0	2512842.0	1974872.0	2607692.0	2277537.0	2723143.0	2691008.0	2690786.0	1291722.0	2559607.0	2689623.0	1280375.0	1245341.0	1510331.0	1382628.0	2822306.0	2551096.0	2091179.0	1869481.0	2294127.0	1647094.0	2654402.0	1544194.0	2684561.0	2207140.0	2596765.0	1436686.0	2648672.0	2491425.0	2731285.0	2575126.0	2986735.0	2682820.0	2178852.0	2558973.0	2377460.0	2582921.0
ZeeviD_2015__PNP_Main_396__bin.81	1992980.0	2581128.0	2598465.0	1898664.0	2602600.0	2256026.0	2673230.0	2761417.0	2762526.0	1378246.0	2644921.0	2849837.0	1252997.0	1259023.0	1574316.0	1415077.0	2714509.0	2515042.0	2149923.0	1892860.0	2289764.0	1636596.0	2705189.0	1563542.0	2637657.0	2222596.0	2557552.0	1427290.0	2586500.0	2540336.0	2619748.0	2486492.0	2682820.0	3043666.0	2283848.0	2660579.0	2368821.0	2696504.0
VogtmannE_2016__MMRS73787048ST-27-0-0__bin.25	1719401.0	2117099.0	2136617.0	1615915.0	2151666.0	1896270.0	2171781.0	2242458.0	2308382.0	1197843.0	2257662.0	2366460.0	1145655.0	1102317.0	1339691.0	1268807.0	2167988.0	2032251.0	1842596.0	1614643.0	2004360.0	1396685.0	2218228.0	1474102.0	2163994.0	1938272.0	2061864.0	1323110.0	2146907.0	2113100.0	2129674.0	2040871.0	2178852.0	2283848.0	3433263.0	2180686.0	1909488.0	2181647.0
ZeeviD_2015__PNP_Main_240__bin.1	1927763.0	2464181.0	2454187.0	1842042.0	2494849.0	2194672.0	2566414.0	2628516.0	2580627.0	1286413.0	2483169.0	2658912.0	1209196.0	1228202.0	1517148.0	1362573.0	2581025.0	2426629.0	2165506.0	1825208.0	2254508.0	1600292.0	2606578.0	1522338.0	2556129.0	2129511.0	2461914.0	1381285.0	2478899.0	2421463.0	2531188.0	2375856.0	2558973.0	2660579.0	2180686.0	3154331.0	2270079.0	2520359.0
QinJ_2012__CON-104__bin.37	1765704.0	2234545.0	2244140.0	1737002.0	2323271.0	2068596.0	2368250.0	2386134.0	2350155.0	1131633.0	2247505.0	2348012.0	1072839.0	1067958.0	1350955.0	1186387.0	2405822.0	2257593.0	1852434.0	1634798.0	2021842.0	1450895.0	2401206.0	1348816.0	2342766.0	1941521.0	2275488.0	1244491.0	2298013.0	2192103.0	2350267.0	2193583.0	2377460.0	2368821.0	1909488.0	2270079.0	2850745.0	2292750.0
ZeeviD_2015__PNP_Main_191__bin.9	1933008.0	2496788.0	2469454.0	1842356.0	2486378.0	2209326.0	2576830.0	2608405.0	2708101.0	1328259.0	2563012.0	2697696.0	1197686.0	1149046.0	1469182.0	1338684.0	2591824.0	2449193.0	2050107.0	1836239.0	2213655.0	1533285.0	2579052.0	1469582.0	2544398.0	2145242.0	2535555.0	1363834.0	2481734.0	2440592.0	2523552.0	2402217.0	2582921.0	2696504.0	2181647.0	2520359.0	2292750.0	2845532.0
